Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Шигонская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506					
14	Число неиспользованных открепительных удостоверений	61	2	0	1	1	0	1	2	1	2	0	0	0	1	0	0	2	1	0	3	0	9	1	19	15					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	566	15	6	6	1	47	24	11	6	1	25	24	18	17	32	6	17	19	4	68	21	29	20	70	79					
		4.33%	4.56%	2.78%	2.75%	0.43%	5.56%	4.66%	5.29%	2.84%	0.75%	2.93%	2.91%	4.22%	4.05%	5.21%	2.36%	7.05%	5.74%	1.63%	5.24%	3.16%	5.05%	4.25%	5.02%	5.08%					
19	. Малышкин Олег Александрович	366	4	6	9	8	32	20	8	7	2	31	21	14	13	8	7	10	7	9	17	18	22	17	33	43					
		2.80%	1.22%	2.78%	4.13%	3.43%	3.78%	3.88%	3.85%	3.32%	1.49%	3.64%	2.55%	3.28%	3.10%	1.30%	2.76%	4.15%	2.11%	3.67%	1.31%	2.71%	3.83%	3.61%	2.37%	2.77%					
20	. Миронов Сергей Михайлович	99	1	2	2	3	11	9	1	2	1	4	4	6	4	4	2	0	2	4	7	6	3	3	11	7					
		0.76%	0.30%	0.93%	0.92%	1.29%	1.30%	1.75%	0.48%	0.95%	0.75%	0.47%	0.49%	1.41%	0.95%	0.65%	0.79%	0.00%	0.60%	1.63%	0.54%	0.90%	0.52%	0.64%	0.79%	0.45%					
21	. Путин Владимир Владимирович	8228	236	149	139	160	547	354	142	138	93	538	468	253	254	360	174	137	202	142	834	483	361	347	839	878					
		62.94%	71.73%	68.98%	63.76%	68.67%	64.66%	68.74%	68.27%	65.40%	69.40%	63.15%	56.80%	59.25%	60.48%	58.63%	68.50%	56.85%	61.03%	57.96%	64.25%	72.74%	62.89%	73.67%	60.19%	56.50%					
22	. Хакамада Ирина Муцуовна	267	9	1	7	1	17	9	5	4	1	14	15	15	6	10	0	7	2	2	44	8	13	8	32	37					
		2.04%	2.74%	0.46%	3.21%	0.43%	2.01%	1.75%	2.40%	1.90%	0.75%	1.64%	1.82%	3.51%	1.43%	1.63%	0.00%	2.90%	0.60%	0.82%	3.39%	1.20%	2.26%	1.70%	2.30%	2.38%					
23	. Харитонов Николай Михайлович	2933	55	46	51	56	167	89	29	47	36	194	244	95	99	169	55	68	82	76	250	106	123	68	321	407					
		22.44%	16.72%	21.30%	23.39%	24.03%	19.74%	17.28%	13.94%	22.27%	26.87%	22.77%	29.61%	22.25%	23.57%	27.52%	21.65%	28.22%	24.77%	31.02%	19.26%	15.96%	21.43%	14.44%	23.03%	26.19%					
																															
24	Против всех	423	3	4	4	2	12	8	7	4	0	33	23	15	14	18	6	1	9	7	68	14	18	5	77	71					
		3.24%	0.91%	1.85%	1.83%	0.86%	1.42%	1.55%	3.37%	1.90%	0.00%	3.87%	2.79%	3.51%	3.33%	2.93%	2.36%	0.41%	2.72%	2.86%	5.24%	2.11%	3.14%	1.06%	5.52%	4.57%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
