Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Кушнаренковская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828					
		0.14%	0.00%	0.32%	0.07%	0.32%	0.33%	0.00%	0.18%	0.00%	0.00%	0.35%	0.99%	0.00%	0.39%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.79%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.19%	0.00%	0.19%	0.00%	0.26%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	25	0	0	2	3	6	0	2	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0					
		0.13%	0.00%	0.00%	0.14%	0.24%	0.50%	0.00%	0.36%	0.00%	0.00%	0.35%	0.00%	0.35%	0.00%	0.37%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.19%	0.00%	0.00%	0.26%	0.28%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	18	0	0	2	3	3	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
		0.09%	0.00%	0.00%	0.14%	0.24%	0.25%	0.34%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.21%	0.61%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	18781	1125	1517	1392	1230	1120	576	539	69	247	281	97	280	505	265	87	446	143	303	74	374	358	490	125	470	160	153	158	75	201	262	135	104	511	183	66	530	256	146	335	130	112	521	510	537	289	372	346	471	105					
		98.03%	98.08%	98.12%	98.72%	98.01%	93.18%	98.13%	98.36%	97.18%	98.41%	98.25%	96.04%	97.90%	98.63%	98.15%	87.88%	97.59%	98.62%	98.38%	98.67%	99.20%	98.62%	100.00%	98.43%	98.12%	98.16%	92.17%	98.14%	97.40%	97.57%	98.13%	98.54%	98.11%	99.22%	98.39%	98.51%	99.62%	98.46%	98.65%	97.95%	98.48%	100.00%	97.93%	99.03%	99.44%	98.97%	97.89%	98.30%	99.79%	99.06%					
22	. Хакамада Ирина Муцуовна	30	0	0	2	4	3	0	0	0	0	1	0	2	1	1	0	2	0	0	0	1	1	0	0	3	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0					
		0.16%	0.00%	0.00%	0.14%	0.32%	0.25%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.70%	0.20%	0.37%	0.00%	0.44%	0.00%	0.00%	0.00%	0.27%	0.28%	0.00%	0.00%	0.63%	0.61%	0.00%	0.00%	0.00%	0.49%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.68%	0.29%	0.00%	0.00%	0.19%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	192	21	17	7	5	49	3	3	2	4	1	3	3	4	2	3	2	2	5	1	1	3	0	1	2	1	1	2	0	1	4	2	2	2	3	1	1	3	1	3	2	0	2	2	2	3	3	5	1	1					
		1.00%	1.83%	1.10%	0.50%	0.40%	4.08%	0.51%	0.55%	2.82%	1.59%	0.35%	2.97%	1.05%	0.78%	0.74%	3.03%	0.44%	1.38%	1.62%	1.33%	0.27%	0.83%	0.00%	0.79%	0.42%	0.61%	0.60%	1.24%	0.00%	0.49%	1.50%	1.46%	1.89%	0.39%	1.61%	1.49%	0.19%	1.15%	0.68%	0.88%	1.52%	0.00%	0.38%	0.39%	0.37%	1.03%	0.79%	1.42%	0.21%	0.94%					
																																																								
24	Против всех	34	0	7	2	3	8	3	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.18%	0.00%	0.45%	0.14%	0.24%	0.67%	0.51%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.60%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
