Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267					
		11.98%	16.78%	9.03%	7.06%	7.01%	5.79%	17.19%	10.10%	14.90%	17.69%	14.88%	16.32%	7.03%	16.84%	18.71%	12.86%	8.10%	11.71%	4.80%	21.88%	8.36%	16.67%	11.83%	13.64%	7.38%	8.97%	13.46%	13.43%	16.42%	17.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	285	15	20	1	3	1	16	10	17	11	18	14	3	24	15	26	3	31	1	16	2	3	10	5	0	1	5	2	10	2					
		0.99%	1.44%	1.37%	0.08%	0.26%	0.08%	1.33%	0.94%	1.43%	1.47%	2.08%	1.61%	0.24%	1.95%	1.35%	1.76%	0.22%	2.16%	0.05%	1.02%	0.10%	1.28%	1.74%	2.27%	0.00%	1.28%	1.53%	0.60%	1.68%	0.69%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3231	213	120	71	78	94	220	139	149	146	155	143	61	164	182	207	86	237	204	219	35	19	97	27	12	4	67	11	58	13					
		11.28%	20.42%	8.21%	5.33%	6.83%	7.16%	18.27%	13.13%	12.54%	19.57%	17.88%	16.44%	4.93%	13.34%	16.37%	14.01%	6.39%	16.52%	9.60%	13.93%	1.77%	8.12%	16.87%	12.27%	4.92%	5.13%	20.49%	3.28%	9.72%	4.48%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	510	27	40	3	6	2	40	35	37	21	25	19	7	30	38	46	16	49	10	26	6	2	6	7	1	0	2	3	6	0					
		1.78%	2.59%	2.74%	0.23%	0.53%	0.15%	3.32%	3.31%	3.11%	2.82%	2.88%	2.18%	0.57%	2.44%	3.42%	3.11%	1.19%	3.41%	0.47%	1.65%	0.30%	0.85%	1.04%	3.18%	0.41%	0.00%	0.61%	0.90%	1.01%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17701	460	950	1083	884	1013	550	623	629	311	400	406	939	642	509	839	1024	778	1681	721	1574	118	264	98	203	61	147	263	326	205					
		61.82%	44.10%	65.02%	81.37%	77.41%	77.21%	45.68%	58.83%	52.95%	41.69%	46.14%	46.67%	75.91%	52.24%	45.77%	56.80%	76.08%	54.22%	79.07%	45.87%	79.74%	50.43%	45.91%	44.55%	83.20%	78.21%	44.95%	78.51%	54.61%	70.69%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	170	11	10	2	6	3	12	9	12	3	8	8	3	11	7	9	8	7	1	17	7	3	5	2	0	0	1	0	5	0					
		0.59%	1.05%	0.68%	0.15%	0.53%	0.23%	0.99%	0.85%	1.01%	0.40%	0.92%	0.92%	0.24%	0.90%	0.63%	0.61%	0.59%	0.49%	0.05%	1.08%	0.35%	1.28%	0.87%	0.91%	0.00%	0.00%	0.31%	0.00%	0.84%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
