Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Камызякская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
14	Число неиспользованных открепительных удостоверений	343	8	12	4	7	4	2	4	4	6	6	10	6	12	9	5	4	3	15	8	12	4	6	6	4	4	3	7	5	6	6	6	4	2	9	8	4	0	2	17	4	4	10	10	5	4	11	4	4	14	6	0	3	4	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																														
18	. Глазьев Сергей Юрьевич	572	13	24	6	10	4	10	1	3	35	23	25	16	22	23	12	22	6	39	3	5	0	11	7	1	0	3	20	2	5	0	10	6	5	10	14	3	0	2	17	6	2	20	16	9	4	22	2	7	22	2	4	18	3	13	4					
		2.63%	2.39%	2.39%	1.72%	2.27%	4.21%	1.84%	0.52%	0.93%	3.91%	3.59%	3.85%	3.76%	3.94%	5.36%	2.70%	3.18%	2.84%	4.41%	0.77%	0.88%	0.00%	2.66%	2.06%	0.87%	0.00%	1.71%	3.02%	0.84%	1.48%	0.00%	2.38%	2.79%	2.18%	2.02%	2.73%	1.22%	0.00%	3.08%	1.63%	2.86%	1.37%	3.13%	2.95%	3.18%	5.41%	3.37%	2.35%	5.56%	2.82%	0.74%	2.78%	3.33%	2.91%	2.09%	1.47%					
19	. Малышкин Олег Александрович	434	11	23	4	4	2	7	4	9	16	29	23	11	11	5	9	22	2	23	3	10	1	8	1	2	0	2	12	10	3	0	5	4	2	15	15	2	0	0	17	4	5	35	8	0	3	12	0	6	3	2	0	14	2	12	1					
		1.99%	2.02%	2.29%	1.15%	0.91%	2.11%	1.29%	2.06%	2.80%	1.79%	4.52%	3.54%	2.59%	1.97%	1.17%	2.03%	3.18%	0.95%	2.60%	0.77%	1.76%	0.55%	1.94%	0.29%	1.74%	0.00%	1.14%	1.81%	4.20%	0.89%	0.00%	1.19%	1.86%	0.87%	3.03%	2.92%	0.81%	0.00%	0.00%	1.63%	1.90%	3.42%	5.48%	1.48%	0.00%	4.05%	1.84%	0.00%	4.76%	0.39%	0.74%	0.00%	2.59%	1.94%	1.93%	0.37%					
20	. Миронов Сергей Михайлович	147	5	10	7	1	0	7	1	0	7	3	10	4	7	2	2	5	0	2	3	2	1	3	3	0	2	2	3	2	0	0	3	1	0	1	3	2	0	0	5	1	1	23	2	1	0	2	0	0	1	2	0	2	0	2	1					
		0.67%	0.92%	1.00%	2.01%	0.23%	0.00%	1.29%	0.52%	0.00%	0.78%	0.47%	1.54%	0.94%	1.25%	0.47%	0.45%	0.72%	0.00%	0.23%	0.77%	0.35%	0.55%	0.73%	0.88%	0.00%	2.56%	1.14%	0.45%	0.84%	0.00%	0.00%	0.71%	0.47%	0.00%	0.20%	0.58%	0.81%	0.00%	0.00%	0.48%	0.48%	0.68%	3.60%	0.37%	0.35%	0.00%	0.31%	0.00%	0.00%	0.13%	0.74%	0.00%	0.37%	0.00%	0.32%	0.37%					
21	. Путин Владимир Владимирович	15333	391	749	288	325	58	351	162	238	621	408	429	281	360	291	302	436	138	619	290	451	136	303	228	90	60	127	401	160	291	103	358	192	206	352	363	157	100	51	724	148	118	433	403	236	41	374	51	87	431	168	87	418	87	427	234					
		70.38%	71.74%	74.53%	82.52%	73.70%	61.05%	64.64%	83.51%	74.14%	69.46%	63.65%	66.10%	66.12%	64.40%	67.83%	68.02%	63.10%	65.40%	70.02%	74.36%	79.26%	74.32%	73.37%	67.26%	78.26%	76.92%	72.57%	60.57%	67.23%	86.09%	77.44%	85.04%	89.30%	89.96%	71.11%	70.76%	63.82%	85.47%	78.46%	69.28%	70.48%	80.82%	67.76%	74.35%	83.39%	55.41%	57.36%	60.00%	69.05%	55.33%	61.99%	60.42%	77.41%	84.47%	68.76%	86.03%					
22	. Хакамада Ирина Муцуовна	421	6	10	5	5	4	17	0	8	19	15	20	9	8	11	7	21	5	28	9	9	4	10	5	0	1	2	13	5	5	1	4	2	0	7	5	3	0	0	20	5	1	22	12	6	1	18	0	7	8	7	2	7	1	16	5					
		1.93%	1.10%	1.00%	1.43%	1.13%	4.21%	3.13%	0.00%	2.49%	2.13%	2.34%	3.08%	2.12%	1.43%	2.56%	1.58%	3.04%	2.37%	3.17%	2.31%	1.58%	2.19%	2.42%	1.47%	0.00%	1.28%	1.14%	1.96%	2.10%	1.48%	0.75%	0.95%	0.93%	0.00%	1.41%	0.97%	1.22%	0.00%	0.00%	1.91%	2.38%	0.68%	3.44%	2.21%	2.12%	1.35%	2.76%	0.00%	5.56%	1.03%	2.58%	1.39%	1.30%	0.97%	2.58%	1.84%					
23	. Харитонов Николай Михайлович	4165	105	161	29	84	20	133	19	51	153	140	111	95	133	78	98	148	47	131	74	80	39	69	87	20	9	30	196	52	29	23	33	6	16	93	101	69	17	11	230	39	16	89	91	31	19	177	28	17	295	88	45	57	6	121	26					
		19.12%	19.27%	16.02%	8.31%	19.05%	21.05%	24.49%	9.79%	15.89%	17.11%	21.84%	17.10%	22.35%	23.79%	18.18%	22.07%	21.42%	22.27%	14.82%	18.97%	14.06%	21.31%	16.71%	25.66%	17.39%	11.54%	17.14%	29.61%	21.85%	8.58%	17.29%	7.84%	2.79%	6.99%	18.79%	19.69%	28.05%	14.53%	16.92%	22.01%	18.57%	10.96%	13.93%	16.79%	10.95%	25.68%	27.15%	32.94%	13.49%	37.87%	32.47%	31.25%	10.56%	5.83%	19.48%	9.56%					
																																																														
24	Против всех	477	12	19	8	4	0	8	3	11	25	19	24	7	8	17	12	32	11	34	4	7	2	4	3	2	2	5	8	5	3	0	3	4	0	5	7	2	0	1	18	3	3	13	4	0	4	47	4	2	12	0	0	19	4	22	1					
		2.19%	2.20%	1.89%	2.29%	0.91%	0.00%	1.47%	1.55%	3.43%	2.80%	2.96%	3.70%	1.65%	1.43%	3.96%	2.70%	4.63%	5.21%	3.85%	1.03%	1.23%	1.09%	0.97%	0.88%	1.74%	2.56%	2.86%	1.21%	2.10%	0.89%	0.00%	0.71%	1.86%	0.00%	1.01%	1.36%	0.81%	0.00%	1.54%	1.72%	1.43%	2.05%	2.03%	0.74%	0.00%	5.41%	7.21%	4.71%	1.59%	1.54%	0.00%	0.00%	3.52%	3.88%	3.54%	0.37%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
