Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Судиславская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №215	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	107	2	2	1	5	4	1	2	3	3	0	0	12	3	0	1	6	3	1	5	14	5	1	1	12	9	11					
		1.53%	1.32%	1.15%	1.15%	1.99%	3.12%	0.52%	0.85%	2.17%	1.94%	0.00%	0.00%	2.61%	2.26%	0.00%	0.39%	1.85%	1.45%	0.86%	1.99%	2.15%	3.18%	0.64%	0.70%	1.80%	1.46%	1.48%					
19	. Малышкин Олег Александрович	178	3	4	1	6	5	14	7	2	4	2	8	16	3	1	2	11	2	3	5	15	7	4	1	22	11	19					
		2.55%	1.97%	2.30%	1.15%	2.39%	3.91%	7.22%	2.99%	1.45%	2.58%	0.85%	2.62%	3.49%	2.26%	1.89%	0.78%	3.38%	0.97%	2.59%	1.99%	2.30%	4.46%	2.56%	0.70%	3.30%	1.79%	2.56%					
20	. Миронов Сергей Михайлович	54	1	1	1	2	0	0	1	0	1	0	0	4	1	0	1	6	4	0	2	1	0	1	3	10	9	5					
		0.77%	0.66%	0.57%	1.15%	0.80%	0.00%	0.00%	0.43%	0.00%	0.65%	0.00%	0.00%	0.87%	0.75%	0.00%	0.39%	1.85%	1.93%	0.00%	0.80%	0.15%	0.00%	0.64%	2.11%	1.50%	1.46%	0.67%					
21	. Путин Владимир Владимирович	5261	126	136	58	170	86	131	155	108	105	197	261	366	81	36	218	231	166	105	193	502	117	134	114	458	479	528					
		75.32%	82.89%	78.16%	66.67%	67.73%	67.19%	67.53%	66.24%	78.26%	67.74%	83.83%	85.57%	79.74%	60.90%	67.92%	85.16%	71.08%	80.19%	90.52%	76.89%	76.99%	74.52%	85.90%	80.28%	68.77%	77.76%	71.06%					
22	. Хакамада Ирина Муцуовна	126	3	0	2	4	1	4	3	1	1	2	5	15	2	0	1	6	0	2	2	21	2	0	1	9	18	21					
		1.80%	1.97%	0.00%	2.30%	1.59%	0.78%	2.06%	1.28%	0.72%	0.65%	0.85%	1.64%	3.27%	1.50%	0.00%	0.39%	1.85%	0.00%	1.72%	0.80%	3.22%	1.27%	0.00%	0.70%	1.35%	2.92%	2.83%					
23	. Харитонов Николай Михайлович	1050	15	26	23	55	21	36	57	23	31	32	24	16	40	13	29	59	29	5	37	85	23	13	20	120	80	138					
		15.03%	9.87%	14.94%	26.44%	21.91%	16.41%	18.56%	24.36%	16.67%	20.00%	13.62%	7.87%	3.49%	30.08%	24.53%	11.33%	18.15%	14.01%	4.31%	14.74%	13.04%	14.65%	8.33%	14.08%	18.02%	12.99%	18.57%					
																																	
24	Против всех	171	2	4	1	5	10	4	8	1	10	2	4	27	3	2	2	6	3	0	5	13	1	2	2	28	7	19					
		2.45%	1.32%	2.30%	1.15%	1.99%	7.81%	2.06%	3.42%	0.72%	6.45%	0.85%	1.31%	5.88%	2.26%	3.77%	0.78%	1.85%	1.45%	0.00%	1.99%	1.99%	0.64%	1.28%	1.41%	4.20%	1.14%	2.56%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
