Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Ивдельская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1815	УИК №1816	УИК №1818	УИК №1819	УИК №1820	УИК №1821									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	1	1	2	0	1	2	0	2	3	0	1	0	0	0	1	0	1									
		0.23%	0.00%	0.34%	0.12%	0.27%	0.00%	0.63%	0.22%	0.00%	0.47%	0.48%	0.00%	1.64%	0.00%	0.00%	0.00%	0.51%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	2	5	7	7	0	1	5	6	3	4	0	3	0	1	0	0	0	6									
		0.76%	0.34%	1.72%	0.83%	0.93%	0.00%	0.63%	0.56%	1.03%	0.70%	0.64%	0.00%	4.92%	0.00%	0.44%	0.00%	0.00%	0.00%	1.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	710	73	44	99	95	12	15	79	69	44	89	3	5	6	9	9	13	15	31									
		10.85%	12.50%	15.17%	11.76%	12.67%	8.89%	9.38%	8.82%	11.79%	10.23%	14.15%	6.25%	8.20%	12.77%	3.96%	7.14%	6.60%	7.73%	9.12%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	2	0	1	4	0	1	3	3	2	5	0	0	0	1	0	3	1	2									
		0.43%	0.34%	0.00%	0.12%	0.53%	0.00%	0.63%	0.33%	0.51%	0.47%	0.79%	0.00%	0.00%	0.00%	0.44%	0.00%	1.52%	0.52%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	341	40	9	56	48	7	9	77	27	19	19	2	2	2	0	6	6	6	6									
		5.21%	6.85%	3.10%	6.65%	6.40%	5.19%	5.63%	8.59%	4.62%	4.42%	3.02%	4.17%	3.28%	4.26%	0.00%	4.76%	3.05%	3.09%	1.76%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
