Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Юкаменская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224					
		0.34%	0.40%	0.10%	1.04%	0.00%	1.64%	0.00%	0.50%	1.91%	0.00%	0.00%	0.00%	0.00%	0.00%	3.75%	0.00%	0.00%	0.21%	0.00%	1.27%	0.64%	0.00%	0.41%	0.49%	0.00%					
21	. Путин Владимир Владимирович	6224	847	851	323	341	103	155	179	119	121	275	485	110	178	61	219	180	418	58	202	139	273	198	180	209					
		84.48%	83.70%	83.68%	83.90%	85.89%	84.43%	85.16%	88.61%	75.80%	93.08%	88.42%	85.99%	85.94%	83.96%	76.25%	80.51%	80.72%	85.83%	90.62%	85.23%	89.10%	83.49%	80.49%	88.67%	82.61%					
22	. Хакамада Ирина Муцуовна	72	13	18	5	9	1	0	0	1	1	3	5	0	0	0	1	0	1	1	1	2	4	0	2	4					
		0.98%	1.28%	1.77%	1.30%	2.27%	0.82%	0.00%	0.00%	0.64%	0.77%	0.96%	0.89%	0.00%	0.00%	0.00%	0.37%	0.00%	0.21%	1.56%	0.42%	1.28%	1.22%	0.00%	0.99%	1.58%					
23	. Харитонов Николай Михайлович	571	58	60	35	19	5	12	10	20	3	13	54	14	20	14	43	31	38	3	22	10	27	27	8	25					
		7.75%	5.73%	5.90%	9.09%	4.79%	4.10%	6.59%	4.95%	12.74%	2.31%	4.18%	9.57%	10.94%	9.43%	17.50%	15.81%	13.90%	7.80%	4.69%	9.28%	6.41%	8.26%	10.98%	3.94%	9.88%					
																															
24	Против всех	95	25	15	5	5	1	2	1	3	0	4	2	0	1	0	2	1	5	1	4	1	8	8	1	0					
		1.29%	2.47%	1.47%	1.30%	1.26%	0.82%	1.10%	0.50%	1.91%	0.00%	1.29%	0.35%	0.00%	0.47%	0.00%	0.74%	0.45%	1.03%	1.56%	1.69%	0.64%	2.45%	3.25%	0.49%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
