Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    район Раменки																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №3187	УИК №3188					
		6.56%	6.42%	6.28%	6.31%	5.05%	7.34%	7.60%	6.44%	7.99%	19.44%	2.32%	9.50%	11.69%	5.25%	7.17%	4.47%	5.32%	2.18%	4.72%	1.87%	10.05%	3.87%	4.40%	9.16%	2.15%	2.09%	8.49%	9.57%	9.38%	4.05%	8.86%	6.59%	10.92%	7.98%	12.50%	2.96%	13.95%	8.67%					
																																												
24	Против всех	3081	72	57	88	41	80	72	77	117	83	22	109	132	167	200	95	129	47	82	19	126	4	147	122	29	60	127	106	80	49	72	65	92	84	59	160	2	8					
		6.31%	5.44%	7.46%	5.85%	3.45%	5.02%	5.59%	7.87%	8.50%	9.61%	1.42%	7.61%	9.08%	17.18%	21.39%	8.85%	8.17%	2.56%	5.03%	1.19%	8.56%	0.32%	14.71%	8.47%	1.30%	2.50%	5.99%	8.53%	7.98%	2.88%	4.62%	4.16%	6.02%	7.21%	5.55%	17.56%	2.33%	4.62%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
