Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Зеленодольская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550					
11	Число полученных открепительных  удостоверений	1185	10	30	40	30	20	20	30	40	20	0	30	30	40	10	30	30	40	25	30	30	30	30	30	30	20	5	25	30	40	10	10	30	30	40	40	50	50	40	40	20	50					
12	Число выданных открепительных удостоверений	723	4	14	20	16	14	9	19	26	14	0	16	23	22	0	10	15	27	20	16	25	22	26	25	13	15	1	11	24	23	5	8	17	14	12	35	25	32	29	30	16	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	345	50	5	16	3	3	3	2	5	6	87	1	9	4	16	0	2	6	2	9	5	4	16	4	3	2	1	3	5	9	2	7	3	5	4	10	8	8	6	7	0	4					
14	Число неиспользованных открепительных удостоверений	462	6	16	20	14	6	11	11	14	6	0	14	7	18	10	20	15	13	5	14	5	8	4	5	17	5	4	14	6	17	5	2	13	16	28	5	25	18	11	10	4	20					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	2220	22	35	82	85	54	49	39	56	83	11	43	63	41	2	63	46	65	35	42	66	58	86	74	55	44	5	46	55	76	12	24	68	88	72	67	86	55	68	81	46	72					
		3.98%	3.44%	4.02%	5.18%	5.41%	4.04%	3.64%	2.90%	3.43%	5.75%	4.74%	3.76%	4.23%	3.55%	1.37%	4.62%	4.09%	4.70%	2.85%	2.49%	5.16%	3.92%	5.61%	4.92%	3.65%	4.01%	1.12%	3.00%	3.74%	4.86%	2.41%	3.23%	3.75%	4.84%	3.95%	3.25%	3.85%	3.00%	3.66%	3.92%	4.87%	3.57%					
19	. Малышкин Олег Александрович	1075	16	21	27	19	26	52	23	19	28	5	21	23	24	3	19	29	28	14	32	23	27	31	21	32	13	4	37	25	34	13	18	30	32	39	34	55	38	38	40	18	44					
		1.92%	2.50%	2.41%	1.71%	1.21%	1.94%	3.86%	1.71%	1.16%	1.94%	2.16%	1.83%	1.54%	2.08%	2.05%	1.39%	2.58%	2.03%	1.14%	1.89%	1.80%	1.82%	2.02%	1.40%	2.12%	1.19%	0.90%	2.42%	1.70%	2.17%	2.62%	2.43%	1.66%	1.76%	2.14%	1.65%	2.46%	2.07%	2.04%	1.94%	1.90%	2.18%					
20	. Миронов Сергей Михайлович	605	10	4	11	20	13	12	17	7	16	4	12	16	18	1	22	28	18	13	20	10	13	14	19	18	13	5	23	11	21	4	5	25	16	18	19	22	11	19	26	10	21					
		1.08%	1.56%	0.46%	0.69%	1.27%	0.97%	0.89%	1.26%	0.43%	1.11%	1.72%	1.05%	1.07%	1.56%	0.68%	1.61%	2.49%	1.30%	1.06%	1.18%	0.78%	0.88%	0.91%	1.26%	1.19%	1.19%	1.12%	1.50%	0.75%	1.34%	0.80%	0.67%	1.38%	0.88%	0.99%	0.92%	0.99%	0.60%	1.02%	1.26%	1.06%	1.04%					
21	. Путин Владимир Владимирович	39498	459	641	1112	1072	953	918	926	1221	964	165	798	1057	832	115	883	787	934	866	1266	839	978	1031	1044	996	709	366	1099	1039	1072	375	549	1200	1279	1320	1497	1627	1429	1387	1510	697	1486					
		70.73%	71.83%	73.59%	70.25%	68.19%	71.23%	68.15%	68.75%	74.68%	66.81%	71.12%	69.69%	70.89%	71.97%	78.77%	64.78%	69.96%	67.58%	70.58%	74.96%	65.65%	66.04%	67.30%	69.46%	66.09%	64.63%	82.25%	71.78%	70.63%	68.50%	75.45%	73.99%	66.26%	70.39%	72.37%	72.67%	72.86%	77.92%	74.61%	73.16%	73.76%	73.60%					
22	. Хакамада Ирина Муцуовна	2722	32	39	51	104	63	50	69	62	102	6	60	61	63	4	75	56	61	58	79	71	82	85	54	85	77	14	66	66	78	16	20	87	76	79	115	98	84	94	132	40	108					
		4.87%	5.01%	4.48%	3.22%	6.62%	4.71%	3.71%	5.12%	3.79%	7.07%	2.59%	5.24%	4.09%	5.45%	2.74%	5.50%	4.98%	4.41%	4.73%	4.68%	5.56%	5.54%	5.55%	3.59%	5.64%	7.02%	3.15%	4.31%	4.49%	4.98%	3.22%	2.70%	4.80%	4.18%	4.33%	5.58%	4.39%	4.58%	5.06%	6.40%	4.23%	5.35%					
23	. Харитонов Николай Михайлович	6717	76	80	218	178	142	199	202	208	169	36	137	206	132	13	218	120	185	178	199	192	235	202	231	224	151	29	185	193	201	58	85	283	220	185	186	238	154	148	185	83	153					
		12.03%	11.89%	9.18%	13.77%	11.32%	10.61%	14.77%	15.00%	12.72%	11.71%	15.52%	11.97%	13.82%	11.42%	8.90%	15.99%	10.67%	13.39%	14.51%	11.78%	15.02%	15.87%	13.19%	15.37%	14.86%	13.76%	6.52%	12.08%	13.12%	12.84%	11.67%	11.46%	15.63%	12.11%	10.14%	9.03%	10.66%	8.40%	7.96%	8.96%	8.78%	7.58%					
																																																
24	Против всех	1970	15	22	47	69	51	38	49	35	66	3	47	49	36	6	60	40	49	39	51	55	59	63	38	69	50	9	39	53	63	16	24	68	71	78	108	69	37	71	78	30	50					
		3.53%	2.35%	2.53%	2.97%	4.39%	3.81%	2.82%	3.64%	2.14%	4.57%	1.29%	4.10%	3.29%	3.11%	4.11%	4.40%	3.56%	3.55%	3.18%	3.02%	4.30%	3.98%	4.11%	2.53%	4.58%	4.56%	2.02%	2.55%	3.60%	4.03%	3.22%	3.23%	3.75%	3.91%	4.28%	5.24%	3.09%	2.02%	3.82%	3.78%	3.17%	2.48%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
