Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мазановская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
11	Число полученных открепительных  удостоверений	230	10	20	20	10	0	10	10	0	10	10	0	10	0	10	10	10	0	0	10	0	0	0	0	10	0	0	10	0	10	10	0	0	0	0	0	10	10	10	10					
12	Число выданных открепительных удостоверений	49	3	10	17	3	0	0	2	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	1	5	2	1	0	0	0	1	0	1	1	1	0	3	2	2	1	0	1	1	0	1	0	0	0	0	1	0	0	1	1	2	0	1	2	3	4	0	0					
14	Число неиспользованных открепительных удостоверений	181	7	10	3	7	0	10	8	0	10	10	0	10	0	10	5	8	0	0	9	0	0	0	0	10	0	0	9	0	10	9	0	0	0	0	0	8	10	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	228	6	27	29	4	1	3	5	5	5	2	2	10	0	29	8	12	0	0	10	6	0	2	1	10	0	0	3	1	5	3	2	5	1	1	1	10	8	9	2					
		2.74%	1.73%	2.82%	3.14%	1.54%	0.87%	1.64%	2.87%	8.33%	3.40%	0.74%	1.96%	4.72%	0.00%	5.74%	1.96%	2.59%	0.00%	0.00%	5.21%	4.41%	0.00%	3.85%	2.56%	2.87%	0.00%	0.00%	1.94%	1.05%	2.25%	1.14%	3.08%	6.25%	3.03%	1.18%	1.56%	1.92%	3.52%	4.02%	2.04%					
19	. Малышкин Олег Александрович	289	14	15	26	13	1	4	4	0	3	4	2	5	4	33	6	17	0	5	14	9	2	2	8	12	0	1	3	2	5	19	2	3	1	8	4	20	11	2	5					
		3.47%	4.03%	1.57%	2.81%	5.02%	0.87%	2.19%	2.30%	0.00%	2.04%	1.47%	1.96%	2.36%	14.29%	6.53%	1.47%	3.67%	0.00%	9.62%	7.29%	6.62%	4.88%	3.85%	20.51%	3.44%	0.00%	0.99%	1.94%	2.11%	2.25%	7.22%	3.08%	3.75%	3.03%	9.41%	6.25%	3.85%	4.85%	0.89%	5.10%					
20	. Миронов Сергей Михайлович	56	5	5	8	2	0	2	1	2	1	4	0	3	0	5	1	0	0	0	1	1	0	0	0	2	0	0	0	0	4	2	0	0	0	0	0	5	0	0	2					
		0.67%	1.44%	0.52%	0.87%	0.77%	0.00%	1.09%	0.57%	3.33%	0.68%	1.47%	0.00%	1.42%	0.00%	0.99%	0.25%	0.00%	0.00%	0.00%	0.52%	0.74%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	1.80%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	2.04%					
21	. Путин Владимир Владимирович	5453	232	624	557	175	93	127	117	40	82	178	66	163	18	314	278	281	32	38	90	81	12	40	20	228	31	86	107	67	160	161	52	60	26	60	46	335	154	144	78					
		65.52%	66.86%	65.27%	60.28%	67.57%	80.87%	69.40%	67.24%	66.67%	55.78%	65.44%	64.71%	76.89%	64.29%	62.18%	68.14%	60.69%	78.05%	73.08%	46.88%	59.56%	29.27%	76.92%	51.28%	65.33%	91.18%	85.15%	69.03%	70.53%	72.07%	61.22%	80.00%	75.00%	78.79%	70.59%	71.88%	64.42%	67.84%	64.29%	79.59%					
22	. Хакамада Ирина Муцуовна	186	7	32	20	2	3	1	3	3	6	4	1	4	0	13	7	6	1	1	2	7	1	0	1	6	2	2	4	0	5	7	1	0	0	5	1	13	9	4	2					
		2.23%	2.02%	3.35%	2.16%	0.77%	2.61%	0.55%	1.72%	5.00%	4.08%	1.47%	0.98%	1.89%	0.00%	2.57%	1.72%	1.30%	2.44%	1.92%	1.04%	5.15%	2.44%	0.00%	2.56%	1.72%	5.88%	1.98%	2.58%	0.00%	2.25%	2.66%	1.54%	0.00%	0.00%	5.88%	1.56%	2.50%	3.96%	1.79%	2.04%					
23	. Харитонов Николай Михайлович	1810	76	238	163	52	16	40	40	10	46	72	26	23	6	93	106	136	7	7	69	27	26	3	7	88	1	11	32	22	39	64	8	9	4	11	10	123	35	60	4					
		21.75%	21.90%	24.90%	17.64%	20.08%	13.91%	21.86%	22.99%	16.67%	31.29%	26.47%	25.49%	10.85%	21.43%	18.42%	25.98%	29.37%	17.07%	13.46%	35.94%	19.85%	63.41%	5.77%	17.95%	25.21%	2.94%	10.89%	20.65%	23.16%	17.57%	24.33%	12.31%	11.25%	12.12%	12.94%	15.62%	23.65%	15.42%	26.79%	4.08%					
																																														
24	Против всех	122	5	9	8	8	1	2	2	0	2	4	4	2	0	15	2	7	1	1	5	2	0	5	2	1	0	0	2	2	1	4	0	3	1	0	2	8	6	1	4					
		1.47%	1.44%	0.94%	0.87%	3.09%	0.87%	1.09%	1.15%	0.00%	1.36%	1.47%	3.92%	0.94%	0.00%	2.97%	0.49%	1.51%	2.44%	1.92%	2.60%	1.47%	0.00%	9.62%	5.13%	0.29%	0.00%	0.00%	1.29%	2.11%	0.45%	1.52%	0.00%	3.75%	3.03%	0.00%	3.12%	1.54%	2.64%	0.45%	4.08%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
