Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Тулунская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241					
		4.65%	2.18%	6.44%	3.44%	3.41%	1.10%	7.10%	4.86%	5.40%	5.01%	3.94%	6.83%	8.17%	6.28%	5.00%	3.37%	2.29%	2.22%	3.78%	5.55%	2.30%	2.62%	3.40%	2.87%	4.80%	5.15%	3.53%	7.05%	2.05%	3.04%	3.28%	2.91%	5.99%	4.80%	3.62%	4.01%	8.16%	5.99%	13.24%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
