Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Красноярская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №656					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	645	1	4	3	4	20	120	5	20	14	13	17	6	2	12	0	30	7	25	9	28	33	24	41	18	35	20	25	14	12	1	28	14	14	8	2	13	3					
		3.68%	0.72%	1.65%	1.09%	1.41%	3.77%	8.49%	1.27%	3.59%	1.67%	2.52%	3.57%	2.84%	1.85%	1.76%	0.00%	3.35%	5.79%	5.43%	2.90%	3.43%	3.54%	4.62%	4.86%	3.23%	4.81%	3.83%	5.09%	3.27%	2.10%	0.34%	5.18%	3.57%	2.55%	4.00%	1.47%	4.91%	1.35%					
19	. Малышкин Олег Александрович	278	5	2	3	2	7	34	5	6	5	17	12	4	1	7	0	22	1	2	3	9	23	8	20	12	9	10	8	6	11	2	1	0	8	4	2	3	4					
		1.58%	3.60%	0.82%	1.09%	0.71%	1.32%	2.40%	1.27%	1.08%	0.60%	3.30%	2.52%	1.90%	0.93%	1.02%	0.00%	2.46%	0.83%	0.43%	0.97%	1.10%	2.47%	1.54%	2.37%	2.15%	1.24%	1.92%	1.63%	1.40%	1.92%	0.68%	0.18%	0.00%	1.45%	2.00%	1.47%	1.13%	1.79%					
20	. Миронов Сергей Михайлович	101	1	1	0	3	1	6	4	4	6	1	10	2	1	2	1	6	0	3	1	1	5	4	7	6	4	3	1	4	1	1	3	0	5	1	1	1	0					
		0.58%	0.72%	0.41%	0.00%	1.06%	0.19%	0.42%	1.02%	0.72%	0.72%	0.19%	2.10%	0.95%	0.93%	0.29%	1.27%	0.67%	0.00%	0.65%	0.32%	0.12%	0.54%	0.77%	0.83%	1.08%	0.55%	0.57%	0.20%	0.93%	0.17%	0.34%	0.55%	0.00%	0.91%	0.50%	0.74%	0.38%	0.00%					
21	. Путин Владимир Владимирович	12363	109	201	193	222	391	944	261	398	568	322	361	153	82	519	56	610	93	327	211	525	667	332	583	400	525	364	342	278	420	229	375	307	442	119	94	177	163					
		70.46%	78.42%	82.72%	69.93%	78.45%	73.63%	66.76%	66.41%	71.45%	67.70%	62.52%	75.84%	72.51%	75.93%	75.99%	70.89%	68.08%	76.86%	71.09%	68.06%	64.26%	71.49%	63.97%	69.16%	71.68%	72.12%	69.73%	69.65%	64.95%	73.43%	77.63%	69.32%	78.32%	80.36%	59.50%	69.12%	66.79%	73.09%					
22	. Хакамада Ирина Муцуовна	402	4	2	3	7	16	39	7	9	23	7	6	2	1	17	7	12	1	8	7	35	20	14	10	7	15	15	26	19	9	2	9	9	10	2	0	17	5					
		2.29%	2.88%	0.82%	1.09%	2.47%	3.01%	2.76%	1.78%	1.62%	2.74%	1.36%	1.26%	0.95%	0.93%	2.49%	8.86%	1.34%	0.83%	1.74%	2.26%	4.28%	2.14%	2.70%	1.19%	1.25%	2.06%	2.87%	5.30%	4.44%	1.57%	0.68%	1.66%	2.30%	1.82%	1.00%	0.00%	6.42%	2.24%					
23	. Харитонов Николай Михайлович	3136	12	31	70	29	81	194	100	110	202	136	55	33	21	106	14	181	16	80	71	193	155	119	139	98	110	86	64	98	100	40	106	46	55	62	33	44	46					
		17.87%	8.63%	12.76%	25.36%	10.25%	15.25%	13.72%	25.45%	19.75%	24.08%	26.41%	11.55%	15.64%	19.44%	15.52%	17.72%	20.20%	13.22%	17.39%	22.90%	23.62%	16.61%	22.93%	16.49%	17.56%	15.11%	16.48%	13.03%	22.90%	17.48%	13.56%	19.59%	11.73%	10.00%	31.00%	24.26%	16.60%	20.63%					
																																												
24	Против всех	373	1	1	2	3	6	67	7	8	8	12	7	8	0	7	0	19	2	11	3	14	14	11	34	11	18	17	20	7	8	1	5	13	13	4	1	9	1					
		2.13%	0.72%	0.41%	0.72%	1.06%	1.13%	4.74%	1.78%	1.44%	0.95%	2.33%	1.47%	3.79%	0.00%	1.02%	0.00%	2.12%	1.65%	2.39%	0.97%	1.71%	1.50%	2.12%	4.03%	1.97%	2.47%	3.26%	4.07%	1.64%	1.40%	0.34%	0.92%	3.32%	2.36%	2.00%	0.74%	3.40%	0.45%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
