Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Любинская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
11	Число полученных открепительных  удостоверений	889	25	5	5	5	5	25	5	5	5	25	5	5	5	5	15	5	5	5	5	25	5	5	5	5	15	15	5	48	5	10	25	25	25	25	25	15	22	25	15	15	10	15	17	5	15	5	5	15	5	15	5	5	40	5	5	15	7	5	25	5	15	5	15	5	5	45	15	5	5	15	5	5					
12	Число выданных открепительных удостоверений	526	6	0	3	0	1	16	5	0	1	5	0	2	0	5	2	0	1	1	1	4	2	0	0	2	11	15	2	48	5	10	11	8	9	0	25	13	19	22	15	15	10	8	17	3	4	2	5	2	0	4	5	5	33	0	4	15	7	1	25	5	0	1	8	0	0	45	15	5	0	5	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	318	13	1	1	0	3	1	1	2	1	1	0	1	0	0	4	0	2	0	0	1	1	2	1	0	7	0	1	11	3	6	9	8	8	1	18	11	9	7	11	7	6	22	57	7	7	1	1	5	1	3	0	1	8	2	2	2	1	1	9	2	4	2	3	3	0	5	1	3	1	1	3	1					
14	Число неиспользованных открепительных удостоверений	363	19	5	2	5	4	9	0	5	4	20	5	3	5	0	13	5	4	4	4	21	3	5	5	3	4	0	3	0	0	0	14	17	16	25	0	2	3	3	0	0	0	7	0	2	11	3	0	13	5	11	0	0	7	5	1	0	0	4	0	0	15	4	7	5	5	0	0	0	5	10	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																															
18	. Глазьев Сергей Юрьевич	455	11	0	2	0	0	8	0	1	0	11	1	2	0	0	3	1	0	0	0	22	0	0	5	7	27	4	10	18	4	2	21	17	19	6	20	32	13	25	15	14	9	7	14	8	10	3	6	14	0	2	3	1	0	0	0	3	7	2	9	2	9	1	6	0	0	11	0	1	0	3	0	3					
		1.88%	1.33%	0.00%	1.94%	0.00%	0.00%	2.06%	0.00%	0.79%	0.00%	2.22%	1.01%	1.47%	0.00%	0.00%	0.79%	1.04%	0.00%	0.00%	0.00%	5.02%	0.00%	0.00%	4.85%	4.58%	5.61%	1.33%	4.39%	2.19%	2.01%	0.90%	2.00%	1.63%	2.50%	1.72%	2.38%	3.51%	1.87%	3.05%	1.70%	3.43%	1.98%	1.75%	2.52%	4.12%	1.60%	1.75%	2.53%	1.70%	0.00%	0.44%	1.90%	0.78%	0.00%	0.00%	0.00%	1.03%	4.22%	1.10%	0.99%	1.09%	1.87%	0.90%	1.42%	0.00%	0.00%	1.55%	0.00%	0.86%	0.00%	0.99%	0.00%	2.27%					
19	. Малышкин Олег Александрович	944	30	2	2	1	3	12	2	8	8	40	9	10	0	0	13	1	1	0	0	18	7	10	2	6	17	21	11	31	22	6	46	49	50	19	31	36	39	16	45	10	14	18	13	4	16	6	5	20	10	33	11	1	7	4	0	4	9	0	34	4	17	13	14	4	3	21	0	3	5	12	2	3					
		3.91%	3.64%	2.33%	1.94%	1.69%	1.40%	3.08%	2.35%	6.30%	11.43%	8.06%	9.09%	7.35%	0.00%	0.00%	3.42%	1.04%	0.85%	0.00%	0.00%	4.11%	6.25%	8.93%	1.94%	3.92%	3.53%	7.00%	4.82%	3.77%	11.06%	2.70%	4.37%	4.70%	6.58%	5.46%	3.69%	3.95%	5.62%	1.95%	5.10%	2.45%	3.08%	4.49%	2.34%	2.06%	2.56%	3.51%	2.11%	2.43%	5.05%	7.33%	6.96%	0.78%	1.67%	3.20%	0.00%	1.38%	5.42%	0.00%	3.75%	2.19%	3.53%	11.71%	3.31%	2.74%	2.07%	2.95%	0.00%	2.59%	3.70%	3.95%	2.02%	2.27%					
20	. Миронов Сергей Михайлович	146	5	0	0	0	0	2	0	0	3	2	1	1	3	0	3	1	1	0	0	0	0	2	1	1	0	1	1	12	1	1	10	13	10	3	3	3	9	5	7	1	1	1	3	0	2	0	0	1	6	4	2	0	0	0	0	1	0	0	5	0	1	0	4	0	0	5	2	0	0	2	0	0					
		0.60%	0.61%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	4.29%	0.40%	1.01%	0.74%	7.69%	0.00%	0.79%	1.04%	0.85%	0.00%	0.00%	0.00%	0.00%	1.79%	0.97%	0.65%	0.00%	0.33%	0.44%	1.46%	0.50%	0.45%	0.95%	1.25%	1.32%	0.86%	0.36%	0.33%	1.30%	0.61%	0.79%	0.25%	0.22%	0.25%	0.54%	0.00%	0.32%	0.00%	0.00%	0.12%	3.03%	0.89%	1.27%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.55%	0.00%	0.21%	0.00%	0.95%	0.00%	0.00%	0.70%	2.11%	0.00%	0.00%	0.66%	0.00%	0.00%					
21	. Путин Владимир Владимирович	16950	617	78	71	54	203	286	71	91	40	255	63	94	29	19	235	59	88	67	77	302	79	85	78	128	334	218	166	541	146	164	560	614	476	226	565	673	490	569	639	288	321	289	412	158	433	131	180	476	138	324	105	86	377	111	76	249	120	143	636	150	361	76	291	130	128	496	87	96	120	207	88	117					
		70.14%	74.79%	90.70%	68.93%	91.53%	94.42%	73.52%	83.53%	71.65%	57.14%	51.41%	63.64%	69.12%	74.36%	31.67%	61.84%	61.46%	75.21%	63.81%	77.00%	68.95%	70.54%	75.89%	75.73%	83.66%	69.44%	72.67%	72.81%	65.82%	73.37%	73.87%	53.23%	58.87%	62.63%	64.94%	67.34%	73.79%	70.61%	69.31%	72.37%	70.59%	70.55%	72.07%	74.10%	81.44%	69.39%	76.61%	75.95%	57.84%	69.70%	72.00%	66.46%	66.67%	90.19%	88.80%	88.37%	85.86%	72.29%	78.57%	70.20%	81.97%	75.05%	68.47%	68.79%	89.04%	88.28%	69.76%	91.58%	82.76%	88.89%	68.09%	88.89%	88.64%					
22	. Хакамада Ирина Муцуовна	530	11	1	2	0	0	11	2	2	1	8	5	2	2	1	4	4	1	0	2	13	1	4	3	4	17	11	6	17	5	5	27	27	20	15	32	20	13	21	19	11	4	11	15	2	9	1	12	28	0	22	3	1	1	3	1	1	4	3	15	2	8	2	3	1	3	15	0	0	0	8	1	1					
		2.19%	1.33%	1.16%	1.94%	0.00%	0.00%	2.83%	2.35%	1.57%	1.43%	1.61%	5.05%	1.47%	5.13%	1.67%	1.05%	4.17%	0.85%	0.00%	2.00%	2.97%	0.89%	3.57%	2.91%	2.61%	3.53%	3.67%	2.63%	2.07%	2.51%	2.25%	2.57%	2.59%	2.63%	4.31%	3.81%	2.19%	1.87%	2.56%	2.15%	2.70%	0.88%	2.74%	2.70%	1.03%	1.44%	0.58%	5.06%	3.40%	0.00%	4.89%	1.90%	0.78%	0.24%	2.40%	1.16%	0.34%	2.41%	1.65%	1.66%	1.09%	1.66%	1.80%	0.71%	0.68%	2.07%	2.11%	0.00%	0.00%	0.00%	2.63%	1.01%	0.76%					
23	. Харитонов Николай Михайлович	4119	131	3	25	4	9	46	10	17	16	160	19	21	5	38	115	19	24	35	16	64	18	7	13	7	65	34	30	171	19	34	320	261	148	67	155	105	119	152	129	73	89	60	78	15	133	24	28	224	41	55	22	34	29	4	7	30	25	22	108	20	47	17	87	4	8	108	6	14	7	63	4	2					
		17.04%	15.88%	3.49%	24.27%	6.78%	4.19%	11.83%	11.76%	13.39%	22.86%	32.26%	19.19%	15.44%	12.82%	63.33%	30.26%	19.79%	20.51%	33.33%	16.00%	14.61%	16.07%	6.25%	12.62%	4.58%	13.51%	11.33%	13.16%	20.80%	9.55%	15.32%	30.42%	25.02%	19.47%	19.25%	18.47%	11.51%	17.15%	18.51%	14.61%	17.89%	19.56%	14.96%	14.03%	7.73%	21.31%	14.04%	11.81%	27.22%	20.71%	12.22%	13.92%	26.36%	6.94%	3.20%	8.14%	10.34%	15.06%	12.09%	11.92%	10.93%	9.77%	15.32%	20.57%	2.74%	5.52%	15.19%	6.32%	12.07%	5.19%	20.72%	4.04%	1.52%					
																																																																															
24	Против всех	590	7	1	1	0	0	14	0	8	2	15	0	4	0	1	4	0	2	2	5	13	4	3	1	0	18	9	2	19	2	10	46	50	23	7	27	33	11	27	23	8	10	12	11	7	7	1	6	15	2	10	10	4	2	3	2	2	1	10	23	2	1	1	13	5	0	14	0	1	3	1	4	5					
		2.44%	0.85%	1.16%	0.97%	0.00%	0.00%	3.60%	0.00%	6.30%	2.86%	3.02%	0.00%	2.94%	0.00%	1.67%	1.05%	0.00%	1.71%	1.90%	5.00%	2.97%	3.57%	2.68%	0.97%	0.00%	3.74%	3.00%	0.88%	2.31%	1.01%	4.50%	4.37%	4.79%	3.03%	2.01%	3.22%	3.62%	1.59%	3.29%	2.60%	1.96%	2.20%	2.99%	1.98%	3.61%	1.12%	0.58%	2.53%	1.82%	1.01%	2.22%	6.33%	3.10%	0.48%	2.40%	2.33%	0.69%	0.60%	5.49%	2.54%	1.09%	0.21%	0.90%	3.07%	3.42%	0.00%	1.97%	0.00%	0.86%	2.22%	0.33%	4.04%	3.79%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
