Выборы Президента Российской Федерации																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																										
																																																																																																																										
Итоги голосования 																																																																																																																										
																																																																																																																										
		Сумма	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585					
11	Число полученных открепительных  удостоверений	3540	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	30	30	30	30	100	30	30					
12	Число выданных открепительных удостоверений	1500	11	17	4	5	7	1	15	23	22	7	9	10	14	11	21	19	17	11	12	17	22	23	0	22	16	19	13	17	20	13	11	13	2	13	12	24	6	27	21	22	19	8	19	22	21	16	14	7	18	4	8	1	3	21	15	22	17	11	17	25	23	10	18	23	3	22	15	10	0	6	12	15	16	0	5	1	2	2	1	0	1	15	3	5	17	26	11	17	14	12	15	9	9	7	7	2	13	18	31	7	13	17	12	19	3	7	11	16	10	4	22	0	59	4	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1176	7	6	7	8	6	8	5	13	11	8	8	26	20	7	11	8	16	3	13	9	8	16	18	28	30	20	20	13	15	7	11	15	17	4	12	15	11	27	27	7	12	2	8	6	11	4	6	6	5	4	6	2	13	9	8	3	5	7	9	8	5	4	2	13	5	6	13	11	4	11	14	10	5	44	46	4	10	5	7	3	2	0	8	5	10	13	2	8	6	4	26	11	2	4	2	1	5	6	13	8	4	7	7	8	4	16	4	12	3	12	10	1	7	10	58					
14	Число неиспользованных открепительных удостоверений	2040	19	13	26	25	23	29	15	7	8	23	21	20	16	19	9	11	13	19	18	13	8	7	30	8	14	11	17	13	10	17	19	17	28	17	18	6	24	3	9	8	11	22	11	8	9	14	16	23	12	26	22	29	27	9	15	8	13	19	13	5	7	20	12	7	27	8	15	20	30	24	18	15	14	30	25	29	28	28	29	30	29	15	27	25	13	4	19	13	16	18	15	21	21	23	23	28	17	12	19	23	17	13	18	11	27	23	19	14	20	26	8	30	41	26	7					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																										
18	. Глазьев Сергей Юрьевич	7428	103	110	57	34	27	19	101	88	108	93	88	30	105	91	120	86	114	79	80	108	117	87	47	78	75	111	72	81	94	109	35	38	37	46	90	72	60	108	100	142	111	68	123	112	121	64	65	30	58	51	14	3	39	53	84	83	73	27	105	143	86	78	69	119	41	104	100	81	20	37	84	106	129	8	68	41	38	8	10	13	48	30	35	37	101	116	27	88	104	36	56	19	27	8	11	8	25	14	57	16	24	102	66	81	10	25	41	55	32	33	100	23	13	14	39					
		6.76%	7.80%	7.82%	9.50%	7.47%	7.28%	6.07%	7.89%	7.41%	9.17%	9.39%	9.70%	11.45%	6.44%	9.16%	8.61%	8.63%	8.27%	7.22%	6.11%	8.56%	8.30%	6.35%	7.82%	8.46%	7.63%	9.00%	6.16%	7.06%	7.41%	8.09%	5.63%	6.45%	13.41%	7.13%	7.03%	6.09%	10.47%	6.93%	7.61%	8.54%	6.95%	9.28%	9.42%	7.91%	7.69%	5.41%	5.62%	5.24%	6.46%	5.51%	2.62%	4.41%	6.68%	4.77%	6.51%	7.00%	7.21%	3.14%	9.80%	10.58%	8.02%	7.78%	6.10%	8.57%	7.44%	6.32%	6.60%	5.91%	7.12%	5.92%	5.26%	6.63%	10.22%	5.63%	9.97%	6.21%	6.96%	2.52%	7.69%	5.28%	10.69%	3.90%	3.97%	4.46%	6.73%	8.21%	4.00%	5.00%	5.83%	4.31%	5.70%	4.59%	5.20%	2.09%	2.60%	3.86%	5.02%	2.49%	3.75%	2.77%	3.58%	7.15%	4.42%	5.49%	2.56%	3.86%	4.54%	3.62%	4.81%	7.32%	7.15%	5.56%	2.51%	3.46%	5.01%					
19	. Малышкин Олег Александрович	1709	19	24	11	5	8	12	13	15	13	12	8	5	38	12	17	16	27	16	26	26	10	21	8	14	11	21	16	8	15	16	11	7	1	7	13	32	8	20	8	26	19	11	12	24	25	22	29	11	14	15	16	3	16	17	13	14	12	17	18	16	14	9	15	28	9	16	23	20	7	8	32	10	11	1	5	12	9	7	4	3	6	13	16	13	36	24	8	57	21	11	11	10	12	8	8	4	9	9	25	17	12	22	26	22	4	19	12	36	10	8	14	7	8	11	17					
		1.56%	1.44%	1.71%	1.83%	1.10%	2.16%	3.83%	1.02%	1.26%	1.10%	1.21%	0.88%	1.91%	2.33%	1.21%	1.22%	1.60%	1.96%	1.46%	1.98%	2.06%	0.71%	1.53%	1.33%	1.52%	1.12%	1.70%	1.37%	0.70%	1.18%	1.19%	1.77%	1.19%	0.36%	1.09%	1.01%	2.71%	1.40%	1.28%	0.61%	1.56%	1.19%	1.50%	0.92%	1.69%	1.59%	1.86%	2.51%	1.92%	1.56%	1.62%	2.99%	4.41%	2.74%	1.53%	1.01%	1.18%	1.19%	1.98%	1.68%	1.18%	1.31%	0.90%	1.33%	2.02%	1.63%	0.97%	1.52%	1.46%	2.49%	1.28%	2.00%	0.63%	0.87%	0.70%	0.73%	1.82%	1.65%	2.20%	3.08%	1.22%	1.34%	1.69%	1.82%	1.57%	2.40%	1.70%	1.19%	3.24%	1.18%	1.32%	1.12%	2.42%	2.31%	2.09%	1.89%	1.93%	1.81%	1.60%	1.65%	2.94%	1.79%	1.54%	1.74%	1.49%	1.03%	2.93%	1.33%	2.37%	1.50%	1.77%	1.00%	1.69%	1.55%	2.72%	2.19%					
20	. Миронов Сергей Михайлович	582	9	5	6	2	1	2	2	5	8	4	8	0	5	5	5	2	6	4	8	0	4	7	2	3	7	3	4	4	8	7	5	4	5	7	2	6	1	11	2	13	12	4	12	6	14	4	13	2	5	3	0	0	4	2	5	6	8	5	5	10	7	3	4	8	6	3	3	4	2	7	9	13	2	0	0	3	1	0	0	1	6	6	2	3	14	5	8	29	12	10	2	1	1	4	2	6	2	4	4	2	3	12	11	5	3	5	4	4	2	2	6	3	1	2	8					
		0.53%	0.68%	0.36%	1.00%	0.44%	0.27%	0.64%	0.16%	0.42%	0.68%	0.40%	0.88%	0.00%	0.31%	0.50%	0.36%	0.20%	0.44%	0.37%	0.61%	0.00%	0.28%	0.51%	0.33%	0.33%	0.71%	0.24%	0.34%	0.35%	0.63%	0.52%	0.80%	0.68%	1.81%	1.09%	0.16%	0.51%	0.17%	0.71%	0.15%	0.78%	0.75%	0.55%	0.92%	0.42%	0.89%	0.34%	1.12%	0.35%	0.56%	0.32%	0.00%	0.00%	0.68%	0.18%	0.39%	0.51%	0.79%	0.58%	0.47%	0.74%	0.65%	0.30%	0.35%	0.58%	1.09%	0.18%	0.20%	0.29%	0.71%	1.12%	0.56%	0.81%	0.16%	0.00%	0.00%	0.45%	0.18%	0.00%	0.00%	0.41%	1.34%	0.78%	0.23%	0.36%	0.93%	0.35%	1.19%	1.65%	0.67%	1.20%	0.20%	0.24%	0.19%	1.05%	0.47%	2.90%	0.40%	0.71%	0.26%	0.35%	0.45%	0.84%	0.74%	0.34%	0.77%	0.77%	0.44%	0.26%	0.30%	0.44%	0.43%	0.72%	0.19%	0.49%	1.03%					
21	. Путин Владимир Владимирович	76784	930	983	404	336	265	229	857	818	776	646	624	180	1111	629	933	679	907	749	866	881	971	938	446	639	662	782	853	806	879	933	433	398	193	470	833	818	366	1107	858	1077	1031	468	860	895	1094	832	826	433	651	685	441	51	406	835	936	828	707	666	707	820	735	722	842	916	361	1142	1076	945	210	426	1197	1159	840	107	453	466	422	254	90	172	332	587	649	611	1054	884	485	967	1351	677	738	268	366	289	287	144	340	430	1152	429	487	985	1134	1078	330	506	648	1149	511	346	973	271	451	321	582					
		69.92%	70.40%	69.86%	67.33%	73.85%	71.43%	73.16%	66.95%	68.86%	65.87%	65.25%	68.80%	68.70%	68.16%	63.34%	66.93%	68.10%	65.77%	68.46%	66.11%	69.81%	68.91%	68.47%	74.21%	69.31%	67.34%	63.37%	72.97%	70.21%	69.32%	69.27%	69.61%	67.57%	69.93%	72.87%	65.03%	69.20%	63.87%	71.05%	65.30%	64.76%	64.52%	63.85%	65.85%	63.21%	69.50%	70.39%	71.45%	75.57%	72.49%	74.05%	82.43%	75.00%	69.52%	75.09%	72.50%	69.87%	69.86%	77.53%	66.01%	60.70%	68.56%	72.06%	74.45%	65.99%	65.52%	69.38%	70.98%	68.98%	74.73%	68.16%	74.95%	72.48%	66.56%	75.35%	66.42%	70.61%	77.29%	79.87%	69.23%	69.92%	73.94%	76.33%	73.67%	73.61%	70.27%	62.56%	71.85%	54.94%	75.69%	81.08%	75.08%	64.73%	70.52%	75.65%	67.85%	69.57%	68.27%	76.51%	75.84%	74.22%	72.58%	69.07%	76.01%	73.08%	84.62%	78.09%	71.68%	75.59%	76.84%	76.72%	69.60%	65.46%	87.23%	79.26%	74.81%					
22	. Хакамада Ирина Муцуовна	4137	46	62	17	11	16	5	48	57	64	42	22	8	65	57	42	41	54	51	64	47	45	70	13	46	39	44	44	50	44	56	25	35	0	25	62	54	29	78	85	83	84	54	78	72	68	26	30	16	13	17	8	2	16	28	46	44	28	16	62	88	42	30	41	73	38	79	34	65	11	24	41	48	61	8	31	27	7	3	2	2	15	10	28	17	66	93	22	33	57	22	34	8	11	2	7	2	11	4	64	13	12	74	56	87	2	4	14	17	28	5	52	17	8	15	18					
		3.77%	3.48%	4.41%	2.83%	2.42%	4.31%	1.60%	3.75%	4.80%	5.43%	4.24%	2.43%	3.05%	3.99%	5.74%	3.01%	4.11%	3.92%	4.66%	4.89%	3.72%	3.19%	5.11%	2.16%	4.99%	3.97%	3.57%	3.76%	4.36%	3.47%	4.16%	4.02%	5.94%	0.00%	3.88%	4.84%	4.57%	5.06%	5.01%	6.47%	4.99%	5.26%	7.37%	5.97%	5.08%	4.32%	2.20%	2.60%	2.79%	1.45%	1.84%	1.50%	2.94%	2.74%	2.52%	3.56%	3.71%	2.77%	1.86%	5.79%	6.51%	3.92%	2.99%	3.63%	5.26%	6.90%	4.80%	2.24%	4.74%	3.91%	3.84%	2.57%	3.00%	4.83%	5.63%	4.55%	4.09%	1.28%	0.94%	1.54%	0.81%	3.34%	1.30%	3.18%	2.05%	4.40%	6.58%	3.26%	1.87%	3.19%	2.63%	3.46%	1.93%	2.12%	0.52%	1.65%	0.97%	2.21%	0.71%	4.21%	2.25%	1.79%	5.19%	3.75%	5.90%	0.51%	0.62%	1.55%	1.12%	4.21%	1.11%	3.72%	4.11%	1.55%	3.70%	2.31%					
23	. Харитонов Николай Михайлович	12634	134	148	76	55	31	25	195	143	146	129	114	23	160	143	198	114	191	141	185	146	172	171	56	85	123	204	121	137	153	143	80	70	3	59	208	122	85	112	173	225	227	78	126	192	181	188	124	52	113	112	46	5	73	124	138	133	138	92	105	160	117	106	103	140	50	183	196	141	12	82	159	187	147	13	100	72	32	30	20	46	35	78	109	117	125	204	85	186	146	47	92	92	73	58	80	24	94	78	107	83	101	115	122	117	33	70	147	202	56	49	191	77	12	22	65					
		11.50%	10.14%	10.52%	12.67%	12.09%	8.36%	7.99%	15.23%	12.04%	12.39%	13.03%	12.57%	8.78%	9.82%	14.40%	14.20%	11.43%	13.85%	12.89%	14.12%	11.57%	12.21%	12.48%	9.32%	9.22%	12.51%	16.53%	10.35%	11.93%	12.07%	10.62%	12.86%	11.88%	1.09%	9.15%	16.24%	10.32%	14.83%	7.19%	13.17%	13.53%	14.21%	10.64%	9.65%	13.56%	11.50%	15.91%	10.73%	9.08%	12.58%	12.11%	8.60%	7.35%	12.50%	11.15%	10.69%	11.22%	13.64%	10.71%	9.80%	11.84%	10.91%	10.58%	9.11%	10.09%	9.07%	11.12%	12.93%	10.29%	4.27%	13.12%	9.96%	11.69%	11.65%	9.15%	14.66%	10.91%	5.86%	9.43%	15.38%	18.70%	7.80%	10.14%	12.37%	14.10%	8.33%	14.44%	12.59%	10.57%	8.18%	5.63%	9.36%	22.22%	14.07%	15.18%	18.91%	11.59%	18.88%	13.88%	7.04%	14.36%	15.05%	8.06%	8.18%	7.93%	8.46%	10.80%	16.26%	13.29%	8.42%	10.86%	13.66%	18.60%	2.32%	5.43%	8.35%					
																																																																																																																										
24	Против всех	5641	73	70	22	10	22	16	56	49	57	56	43	10	124	54	71	54	73	51	70	45	70	62	26	44	57	62	51	47	61	80	28	35	34	25	63	68	24	116	86	90	97	46	90	100	64	34	56	19	36	34	7	3	20	31	61	63	34	29	64	99	59	40	46	97	41	108	68	94	11	31	67	65	69	5	21	35	33	8	4	9	7	36	31	14	91	80	25	375	83	25	40	10	20	7	20	17	11	19	101	15	20	110	73	79	4	15	31	47	23	4	48	15	23	20	49					
		5.14%	5.53%	4.98%	3.67%	2.20%	5.93%	5.11%	4.38%	4.12%	4.84%	5.66%	4.74%	3.82%	7.61%	5.44%	5.09%	5.42%	5.29%	4.66%	5.34%	3.57%	4.97%	4.53%	4.33%	4.77%	5.80%	5.02%	4.36%	4.09%	4.81%	5.94%	4.50%	5.94%	12.32%	3.88%	4.92%	5.75%	4.19%	7.45%	6.54%	5.41%	6.07%	6.28%	6.89%	7.06%	4.07%	2.88%	4.84%	3.32%	4.01%	3.68%	1.31%	4.41%	3.42%	2.79%	4.73%	5.32%	3.36%	3.38%	5.98%	7.33%	5.50%	3.99%	4.07%	6.99%	7.44%	6.56%	4.49%	6.86%	3.91%	4.96%	4.20%	4.07%	5.47%	3.52%	3.08%	5.30%	6.04%	2.52%	3.08%	3.66%	1.56%	4.68%	3.52%	1.69%	6.07%	5.66%	3.70%	21.31%	4.65%	2.99%	4.07%	2.42%	3.85%	1.83%	4.73%	8.21%	2.21%	3.38%	6.65%	2.60%	2.98%	7.71%	4.89%	5.36%	1.03%	2.31%	3.43%	3.09%	3.46%	0.89%	3.43%	3.62%	4.45%	4.94%	6.30%					
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
