Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Березовская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
		0.71%	0.64%	0.40%	0.23%	0.60%	0.57%	0.94%	0.69%	0.65%	1.00%	0.81%	0.86%	0.98%	0.50%	0.54%	0.67%	1.47%	0.95%	0.37%	0.70%	1.64%	0.84%	0.66%	0.86%	1.30%	0.50%	0.72%	0.10%	0.00%	0.00%	2.15%	1.08%	0.58%	0.49%	0.37%	1.87%	0.00%	0.78%	0.00%					
21	. Путин Владимир Владимирович	22816	735	990	1343	1409	1477	87	787	746	777	502	282	320	1104	732	487	392	345	213	758	799	554	831	1290	623	475	107	764	100	98	74	720	680	157	896	624	87	326	125					
		78.75%	78.27%	79.65%	75.92%	76.49%	76.06%	82.08%	77.54%	80.30%	77.54%	81.10%	80.80%	78.24%	78.63%	79.65%	81.99%	82.18%	81.75%	78.60%	76.18%	77.12%	77.27%	78.47%	79.48%	80.70%	78.77%	77.54%	79.09%	89.29%	80.99%	79.57%	77.50%	78.34%	76.96%	82.43%	83.42%	79.09%	84.46%	81.70%					
22	. Хакамада Ирина Муцуовна	1445	52	82	146	102	135	3	54	51	38	32	16	27	70	47	24	20	14	17	69	48	38	65	77	15	30	3	28	1	1	2	23	26	7	38	23	7	5	9					
		4.99%	5.54%	6.60%	8.25%	5.54%	6.95%	2.83%	5.32%	5.49%	3.79%	5.17%	4.58%	6.60%	4.99%	5.11%	4.04%	4.19%	3.32%	6.27%	6.93%	4.63%	5.30%	6.14%	4.74%	1.94%	4.98%	2.17%	2.90%	0.89%	0.83%	2.15%	2.48%	3.00%	3.43%	3.50%	3.07%	6.36%	1.30%	5.88%					
23	. Харитонов Николай Михайлович	1757	47	53	76	143	129	9	59	48	66	28	15	19	94	46	35	17	20	14	74	65	44	66	84	47	39	17	92	5	9	12	81	74	3	52	46	2	20	7					
		6.06%	5.01%	4.26%	4.30%	7.76%	6.64%	8.49%	5.81%	5.17%	6.59%	4.52%	4.30%	4.65%	6.70%	5.01%	5.89%	3.56%	4.74%	5.17%	7.44%	6.27%	6.14%	6.23%	5.18%	6.09%	6.47%	12.32%	9.52%	4.46%	7.44%	12.90%	8.72%	8.53%	1.47%	4.78%	6.15%	1.82%	5.18%	4.58%					
																																													
24	Против всех	673	29	36	61	50	67	0	21	23	27	11	10	8	38	24	17	4	6	5	14	21	13	31	28	12	6	1	15	1	0	1	10	24	7	34	5	8	3	2					
		2.32%	3.09%	2.90%	3.45%	2.71%	3.45%	0.00%	2.07%	2.48%	2.69%	1.78%	2.87%	1.96%	2.71%	2.61%	2.86%	0.84%	1.42%	1.85%	1.41%	2.03%	1.81%	2.93%	1.73%	1.55%	1.00%	0.72%	1.55%	0.89%	0.00%	1.08%	1.08%	2.76%	3.43%	3.13%	0.67%	7.27%	0.78%	1.31%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
