Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Сладковская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
12	Число выданных открепительных удостоверений	216	14	0	3	1	4	17	2	4	10	0	15	1	10	4	1	10	0	5	0	0	6	1	9	25	50	1	3	1	4	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	4	1	1	1	0	4	0	1	1	0	5	1	3	1	3	2	0	4	0	1	1	2	2	32	8	6	2	1	0	3					
14	Число неиспользованных открепительных удостоверений	31	3	1	0	0	0	0	2	0	0	4	0	3	0	0	0	0	4	0	4	4	0	0	0	0	0	3	0	3	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	242	13	2	1	2	6	9	7	4	15	2	14	0	8	2	1	10	2	11	0	2	3	9	11	26	47	0	3	3	10	19					
		2.44%	2.80%	1.27%	0.70%	1.63%	5.94%	2.27%	4.40%	2.16%	3.14%	2.33%	1.12%	0.00%	2.54%	1.55%	0.61%	2.40%	3.39%	1.98%	0.00%	0.94%	1.26%	3.44%	6.79%	2.62%	3.55%	0.00%	0.80%	2.26%	5.43%	3.02%					
19	. Малышкин Олег Александрович	389	28	7	6	10	4	20	3	8	19	1	31	3	12	4	17	21	6	29	0	9	4	3	4	40	60	2	9	1	7	21					
		3.92%	6.03%	4.46%	4.20%	8.13%	3.96%	5.05%	1.89%	4.32%	3.97%	1.16%	2.47%	3.23%	3.81%	3.10%	10.43%	5.04%	10.17%	5.23%	0.00%	4.23%	1.67%	1.15%	2.47%	4.03%	4.53%	2.86%	2.39%	0.75%	3.80%	3.33%					
20	. Миронов Сергей Михайлович	61	5	2	3	1	1	3	0	2	1	0	2	3	0	0	0	8	1	5	0	0	0	4	2	5	7	0	2	1	0	3					
		0.61%	1.08%	1.27%	2.10%	0.81%	0.99%	0.76%	0.00%	1.08%	0.21%	0.00%	0.16%	3.23%	0.00%	0.00%	0.00%	1.92%	1.69%	0.90%	0.00%	0.00%	0.00%	1.53%	1.23%	0.50%	0.53%	0.00%	0.53%	0.75%	0.00%	0.48%					
21	. Путин Владимир Владимирович	6855	310	78	79	76	57	263	110	123	367	70	1005	59	192	67	122	307	45	384	58	163	195	184	103	557	748	64	337	120	120	492					
		69.05%	66.81%	49.68%	55.24%	61.79%	56.44%	66.41%	69.18%	66.49%	76.78%	81.40%	80.14%	63.44%	60.95%	51.94%	74.85%	73.62%	76.27%	69.19%	90.62%	76.53%	81.59%	70.23%	63.58%	56.09%	56.45%	91.43%	89.63%	90.23%	65.22%	78.10%					
22	. Хакамада Ирина Муцуовна	159	23	4	2	2	1	12	0	5	8	2	8	2	2	1	0	3	1	7	0	5	4	4	4	24	24	1	3	2	1	4					
		1.60%	4.96%	2.55%	1.40%	1.63%	0.99%	3.03%	0.00%	2.70%	1.67%	2.33%	0.64%	2.15%	0.63%	0.78%	0.00%	0.72%	1.69%	1.26%	0.00%	2.35%	1.67%	1.53%	2.47%	2.42%	1.81%	1.43%	0.80%	1.50%	0.54%	0.63%					
23	. Харитонов Николай Михайлович	1923	69	61	48	29	32	77	28	41	50	9	191	23	88	49	21	53	4	94	5	27	30	46	34	295	372	3	18	6	39	81					
		19.37%	14.87%	38.85%	33.57%	23.58%	31.68%	19.44%	17.61%	22.16%	10.46%	10.47%	15.23%	24.73%	27.94%	37.98%	12.88%	12.71%	6.78%	16.94%	7.81%	12.68%	12.55%	17.56%	20.99%	29.71%	28.08%	4.29%	4.79%	4.51%	21.20%	12.86%					
																																					
24	Против всех	225	12	2	2	2	0	9	6	0	15	1	3	3	8	2	2	7	0	17	0	6	3	9	4	39	56	0	4	0	6	7					
		2.27%	2.59%	1.27%	1.40%	1.63%	0.00%	2.27%	3.77%	0.00%	3.14%	1.16%	0.24%	3.23%	2.54%	1.55%	1.23%	1.68%	0.00%	3.06%	0.00%	2.82%	1.26%	3.44%	2.47%	3.93%	4.23%	0.00%	1.06%	0.00%	3.26%	1.11%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
