Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Шаранская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555	УИК №3556	УИК №3557	УИК №3558	УИК №3559	УИК №3560	УИК №3561	УИК №3562	УИК №3563	УИК №3564	УИК №3565	УИК №3566	УИК №3567	УИК №3568	УИК №3569	УИК №3570	УИК №3571	УИК №3572	УИК №3573	УИК №3574	УИК №3575	УИК №3576					
14	Число неиспользованных открепительных удостоверений	121	0	0	4	0	2	4	0	0	2	0	3	3	5	4	1	3	4	1	0	3	0	12	0	0	4	0	5	5	3	3	2	2	10	6	0	4	5	5	3	0	3	0	0	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	27	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	3	3	0	0	0	2	0	0	1	2	6	2	1	0					
		0.17%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	1.03%	0.69%	0.00%	0.00%	0.00%	1.40%	0.00%	0.00%	0.14%	0.15%	0.65%	0.31%	0.17%	0.00%					
19	. Малышкин Олег Александрович	16	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	5	0	1	0					
		0.10%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.29%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.15%	0.54%	0.00%	0.17%	0.00%					
20	. Миронов Сергей Михайлович	10	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0					
		0.06%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.17%	0.00%					
21	. Путин Владимир Владимирович	15986	420	172	171	459	559	406	216	343	271	198	311	683	172	96	538	310	335	144	351	194	161	542	98	198	607	93	329	307	316	226	142	287	424	186	136	194	141	625	433	688	1265	897	632	565	145					
		98.58%	97.90%	99.42%	98.28%	98.92%	99.47%	99.75%	99.54%	98.00%	97.83%	99.00%	97.80%	98.56%	98.29%	100.00%	99.08%	98.41%	98.53%	99.31%	99.15%	99.49%	100.00%	99.63%	98.00%	98.02%	99.18%	98.94%	98.50%	98.08%	99.37%	98.26%	98.61%	98.29%	98.15%	97.38%	99.27%	98.98%	98.60%	99.05%	99.31%	97.87%	97.99%	96.87%	99.22%	97.92%	99.32%					
22	. Хакамада Ирина Муцуовна	26	3	0	0	1	0	1	0	1	0	0	0	2	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	2	3	1	0	1	0					
		0.16%	0.70%	0.00%	0.00%	0.22%	0.00%	0.25%	0.00%	0.29%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.18%	0.32%	0.29%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.30%	0.00%	0.00%	0.87%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.16%	0.23%	0.28%	0.23%	0.11%	0.00%	0.17%	0.00%					
23	. Харитонов Николай Михайлович	130	3	1	2	2	1	0	1	2	5	2	5	2	2	0	3	3	2	1	1	1	0	2	1	1	3	0	2	6	2	2	1	2	2	5	1	2	0	5	2	8	18	15	2	8	1					
		0.80%	0.70%	0.58%	1.15%	0.43%	0.18%	0.00%	0.46%	0.57%	1.81%	1.00%	1.57%	0.29%	1.14%	0.00%	0.55%	0.95%	0.59%	0.69%	0.28%	0.51%	0.00%	0.37%	1.00%	0.50%	0.49%	0.00%	0.60%	1.92%	0.63%	0.87%	0.69%	0.68%	0.46%	2.62%	0.73%	1.02%	0.00%	0.79%	0.46%	1.14%	1.39%	1.62%	0.31%	1.39%	0.68%					
																																																				
24	Против всех	17	0	0	1	1	1	0	0	1	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	0					
		0.10%	0.00%	0.00%	0.57%	0.22%	0.18%	0.00%	0.00%	0.29%	0.36%	0.00%	0.63%	0.14%	0.00%	0.00%	0.18%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.08%	0.00%	0.16%	0.00%	0.00%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
