Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Шербакульская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	228	19	18	31	18	1	4	13	1	0	0	11	3	0	14	1	1	2	0	7	2	8	0	3	20	1	9	3	3	1	1	2	13	0	0	0	7	1	0	0	0	10					
		1.77%	1.51%	1.61%	2.61%	4.01%	1.16%	2.84%	2.31%	1.00%	0.00%	0.00%	1.43%	8.11%	0.00%	1.71%	0.70%	0.84%	0.71%	0.00%	1.19%	0.88%	4.12%	0.00%	1.85%	2.57%	1.06%	1.56%	1.04%	1.31%	1.27%	1.18%	1.94%	2.37%	0.00%	0.00%	0.00%	1.80%	0.84%	0.00%	0.00%	0.00%	3.98%					
19	. Малышкин Олег Александрович	435	59	49	73	38	2	3	14	0	4	6	13	2	0	18	0	1	6	7	16	11	2	1	1	25	0	20	7	8	4	5	0	15	4	2	1	14	1	0	1	0	2					
		3.38%	4.70%	4.38%	6.16%	8.46%	2.33%	2.13%	2.49%	0.00%	6.45%	5.88%	1.69%	5.41%	0.00%	2.20%	0.00%	0.84%	2.14%	6.86%	2.73%	4.87%	1.03%	1.33%	0.62%	3.21%	0.00%	3.47%	2.43%	3.49%	5.06%	5.88%	0.00%	2.73%	2.96%	1.67%	1.39%	3.60%	0.84%	0.00%	0.74%	0.00%	0.80%					
20	. Миронов Сергей Михайлович	58	8	5	4	2	0	1	5	1	0	1	3	0	0	10	0	0	0	0	0	1	0	0	0	4	0	1	5	1	0	0	0	2	0	1	0	1	0	0	0	0	2					
		0.45%	0.64%	0.45%	0.34%	0.45%	0.00%	0.71%	0.89%	1.00%	0.00%	0.98%	0.39%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.51%	0.00%	0.17%	1.74%	0.44%	0.00%	0.00%	0.00%	0.36%	0.00%	0.83%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.80%					
21	. Путин Владимир Владимирович	9430	913	776	822	279	65	118	424	71	47	66	617	25	90	683	65	78	211	84	413	164	103	49	96	479	83	431	168	181	60	74	81	427	113	111	62	326	86	70	117	112	190					
		73.18%	72.75%	69.41%	69.31%	62.14%	75.58%	83.69%	75.31%	71.00%	75.81%	64.71%	80.23%	67.57%	81.08%	83.60%	45.45%	65.55%	75.36%	82.35%	70.36%	72.57%	53.09%	65.33%	59.26%	61.57%	88.30%	74.83%	58.33%	79.04%	75.95%	87.06%	78.64%	77.78%	83.70%	92.50%	86.11%	83.80%	72.27%	87.50%	86.03%	94.12%	75.70%					
22	. Хакамада Ирина Муцуовна	231	23	33	28	9	2	0	10	1	0	0	11	0	0	14	3	0	1	1	14	5	6	3	1	10	1	10	7	5	3	0	2	5	1	0	0	12	1	0	2	2	5					
		1.79%	1.83%	2.95%	2.36%	2.00%	2.33%	0.00%	1.78%	1.00%	0.00%	0.00%	1.43%	0.00%	0.00%	1.71%	2.10%	0.00%	0.36%	0.98%	2.39%	2.21%	3.09%	4.00%	0.62%	1.29%	1.06%	1.74%	2.43%	2.18%	3.80%	0.00%	1.94%	0.91%	0.74%	0.00%	0.00%	3.08%	0.84%	0.00%	1.47%	1.68%	1.99%					
23	. Харитонов Николай Михайлович	2223	201	206	204	95	14	14	88	25	11	27	102	6	20	62	71	34	53	10	123	37	73	20	61	212	9	90	92	27	8	3	15	75	15	5	8	19	29	9	16	1	33					
		17.25%	16.02%	18.43%	17.20%	21.16%	16.28%	9.93%	15.63%	25.00%	17.74%	26.47%	13.26%	16.22%	18.02%	7.59%	49.65%	28.57%	18.93%	9.80%	20.95%	16.37%	37.63%	26.67%	37.65%	27.25%	9.57%	15.62%	31.94%	11.79%	10.13%	3.53%	14.56%	13.66%	11.11%	4.17%	11.11%	4.88%	24.37%	11.25%	11.76%	0.84%	13.15%					
																																																
24	Против всех	133	20	19	17	5	0	1	1	1	0	0	5	1	0	6	0	1	5	0	6	2	2	0	0	14	0	7	3	1	2	1	1	1	0	1	0	4	0	0	0	3	3					
		1.03%	1.59%	1.70%	1.43%	1.11%	0.00%	0.71%	0.18%	1.00%	0.00%	0.00%	0.65%	2.70%	0.00%	0.73%	0.00%	0.84%	1.79%	0.00%	1.02%	0.88%	1.03%	0.00%	0.00%	1.80%	0.00%	1.22%	1.04%	0.44%	2.53%	1.18%	0.97%	0.18%	0.00%	0.83%	0.00%	1.03%	0.00%	0.00%	0.00%	2.52%	1.20%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
