Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Озинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897					
21	. Путин Владимир Владимирович	10521	718	949	881	521	885	22	292	459	100	591	420	476	642	84	295	84	373	355	619	374	268	359	309	92	353					
		72.92%	80.04%	77.03%	72.57%	71.57%	74.12%	62.86%	69.19%	75.74%	60.98%	77.46%	77.21%	69.39%	86.76%	50.91%	61.08%	60.43%	72.99%	68.27%	72.82%	68.37%	57.39%	70.81%	67.91%	87.62%	77.75%					
22	. Хакамада Ирина Муцуовна	110	6	5	11	3	10	2	2	3	3	6	2	6	2	2	6	2	5	7	2	10	5	6	3	1	0					
		0.76%	0.67%	0.41%	0.91%	0.41%	0.84%	5.71%	0.47%	0.50%	1.83%	0.79%	0.37%	0.87%	0.27%	1.21%	1.24%	1.44%	0.98%	1.35%	0.24%	1.83%	1.07%	1.18%	0.66%	0.95%	0.00%					
23	. Харитонов Николай Михайлович	2688	107	175	248	148	221	7	93	107	33	90	100	172	53	71	143	20	102	126	117	120	165	127	78	7	58					
		18.63%	11.93%	14.20%	20.43%	20.33%	18.51%	20.00%	22.04%	17.66%	20.12%	11.80%	18.38%	25.07%	7.16%	43.03%	29.61%	14.39%	19.96%	24.23%	13.76%	21.94%	35.33%	25.05%	17.14%	6.67%	12.78%					
																																
24	Против всех	210	30	17	19	20	23	1	7	7	3	21	3	4	8	1	5	2	2	9	9	3	7	1	5	0	3					
		1.46%	3.34%	1.38%	1.57%	2.75%	1.93%	2.86%	1.66%	1.16%	1.83%	2.75%	0.55%	0.58%	1.08%	0.61%	1.04%	1.44%	0.39%	1.73%	1.06%	0.55%	1.50%	0.20%	1.10%	0.00%	0.66%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
