Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Кировская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
		2.85%	2.54%	3.13%	2.12%	2.50%	4.18%	2.51%	3.26%	2.60%	1.99%	2.35%	1.10%	2.05%	5.90%	2.76%	3.32%	4.09%	2.83%	2.39%	2.66%	2.31%	2.44%	2.28%	1.49%	2.92%	4.81%					
19	. Малышкин Олег Александрович	683	25	39	23	33	28	35	11	21	2	33	22	23	23	36	35	50	29	31	31	28	24	30	4	50	17					
		2.43%	1.59%	2.39%	1.35%	2.43%	3.08%	2.75%	1.33%	3.03%	1.32%	2.77%	2.41%	2.35%	1.86%	3.54%	3.05%	3.46%	2.57%	2.75%	2.58%	2.31%	1.67%	2.63%	0.66%	3.04%	2.92%					
20	. Миронов Сергей Михайлович	185	9	12	10	10	9	19	8	5	1	2	5	5	6	10	14	16	5	1	2	8	3	6	1	15	3					
		0.66%	0.57%	0.74%	0.59%	0.74%	0.99%	1.49%	0.97%	0.72%	0.66%	0.17%	0.55%	0.51%	0.49%	0.98%	1.22%	1.11%	0.44%	0.09%	0.17%	0.66%	0.21%	0.53%	0.17%	0.91%	0.52%					
21	. Путин Владимир Владимирович	18579	1196	1151	1235	991	589	899	622	537	108	711	531	535	804	642	678	885	629	611	663	881	868	783	518	1152	360					
		66.08%	76.08%	70.66%	72.65%	72.87%	64.73%	70.57%	75.03%	77.49%	71.52%	59.70%	58.22%	54.76%	65.00%	63.19%	59.16%	61.29%	55.71%	54.17%	55.16%	72.75%	60.57%	68.56%	85.76%	70.07%	61.86%					
22	. Хакамада Ирина Муцуовна	466	19	30	26	33	23	32	18	10	0	15	15	12	9	18	18	39	13	22	16	12	14	27	2	28	15					
		1.66%	1.21%	1.84%	1.53%	2.43%	2.53%	2.51%	2.17%	1.44%	0.00%	1.26%	1.64%	1.23%	0.73%	1.77%	1.57%	2.70%	1.15%	1.95%	1.33%	0.99%	0.98%	2.36%	0.33%	1.70%	2.58%					
23	. Харитонов Николай Михайлович	6482	223	296	306	225	197	197	122	74	29	369	301	379	282	244	322	335	388	390	405	219	461	239	66	274	139					
		23.05%	14.19%	18.17%	18.00%	16.54%	21.65%	15.46%	14.72%	10.68%	19.21%	30.98%	33.00%	38.79%	22.80%	24.02%	28.10%	23.20%	34.37%	34.57%	33.69%	18.08%	32.17%	20.93%	10.93%	16.67%	23.88%					
																																
24	Против всех	704	47	35	57	31	21	45	16	21	5	25	21	3	28	29	33	38	22	37	50	26	13	21	1	60	19					
		2.50%	2.99%	2.15%	3.35%	2.28%	2.31%	3.53%	1.93%	3.03%	3.31%	2.10%	2.30%	0.31%	2.26%	2.85%	2.88%	2.63%	1.95%	3.28%	4.16%	2.15%	0.91%	1.84%	0.17%	3.65%	3.26%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
