Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    район Северное Тушино																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777					
12	Число выданных открепительных удостоверений	1042	31	27	40	24	42	33	30	31	38	29	28	27	19	22	32	23	20	20	22	31	35	26	26	25	17	20	28	41	23	19	16	27	22	26	40	32	28	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	739	23	19	22	17	51	29	8	15	37	24	16	15	32	9	12	22	8	12	25	23	18	14	13	20	13	11	15	15	26	22	22	21	25	19	15	11	20	20	0					
14	Число неиспользованных открепительных удостоверений	1618	39	43	30	46	28	37	40	39	32	41	42	43	51	48	38	47	50	50	48	39	35	44	44	45	53	50	42	29	47	51	54	43	48	44	30	38	42	48	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	2	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	3478	94	105	84	110	77	81	73	95	63	98	65	82	89	83	114	72	75	85	87	74	104	81	91	70	75	84	111	96	149	102	86	104	99	93	114	104	115	90	4					
		6.60%	6.93%	7.04%	5.94%	7.62%	5.62%	5.74%	4.97%	6.27%	4.04%	7.25%	6.10%	6.69%	6.76%	7.24%	8.64%	6.15%	5.36%	5.55%	6.77%	5.32%	7.49%	5.80%	6.71%	6.09%	7.41%	7.50%	8.11%	6.39%	8.82%	6.72%	6.53%	7.96%	6.94%	6.35%	7.91%	5.90%	7.82%	6.49%	1.12%					
19	. Малышкин Олег Александрович	579	14	17	18	17	19	17	23	20	14	17	13	13	12	9	14	12	19	31	8	21	9	9	13	11	13	6	11	18	15	12	11	10	10	20	13	38	13	17	2					
		1.10%	1.03%	1.14%	1.27%	1.18%	1.39%	1.20%	1.56%	1.32%	0.90%	1.26%	1.22%	1.06%	0.91%	0.78%	1.06%	1.03%	1.36%	2.02%	0.62%	1.51%	0.65%	0.64%	0.96%	0.96%	1.28%	0.54%	0.80%	1.20%	0.89%	0.79%	0.84%	0.77%	0.70%	1.37%	0.90%	2.16%	0.88%	1.23%	0.56%					
20	. Миронов Сергей Михайлович	348	9	8	10	11	8	10	7	11	16	12	7	7	6	8	11	3	2	16	5	5	11	6	8	10	6	5	7	15	9	8	10	7	10	11	9	18	6	10	10					
		0.66%	0.66%	0.54%	0.71%	0.76%	0.58%	0.71%	0.48%	0.73%	1.03%	0.89%	0.66%	0.57%	0.46%	0.70%	0.83%	0.26%	0.14%	1.04%	0.39%	0.36%	0.79%	0.43%	0.59%	0.87%	0.59%	0.45%	0.51%	1.00%	0.53%	0.53%	0.76%	0.54%	0.70%	0.75%	0.62%	1.02%	0.41%	0.72%	2.81%					
21	. Путин Владимир Владимирович	36106	885	992	982	992	948	1007	1031	1014	1026	930	721	883	948	772	914	843	986	1083	903	1004	954	995	929	811	707	755	901	1005	1063	1077	901	835	964	995	968	1131	967	1003	281					
		68.55%	65.22%	66.53%	69.50%	68.75%	69.20%	71.32%	70.14%	66.93%	65.85%	68.79%	67.70%	72.08%	71.98%	67.31%	69.29%	72.05%	70.43%	70.69%	70.27%	72.18%	68.68%	71.28%	68.46%	70.52%	69.86%	67.41%	65.81%	66.91%	62.90%	70.95%	68.41%	63.89%	67.55%	67.96%	67.13%	64.19%	65.74%	72.31%	78.93%					
22	. Хакамада Ирина Муцуовна	4292	148	130	102	92	101	115	115	134	184	109	103	106	103	82	81	71	104	108	82	94	114	103	116	95	65	105	139	131	178	118	129	154	109	113	121	133	115	78	12					
		8.15%	10.91%	8.72%	7.22%	6.38%	7.37%	8.14%	7.82%	8.84%	11.81%	8.06%	9.67%	8.65%	7.82%	7.15%	6.14%	6.07%	7.43%	7.05%	6.38%	6.76%	8.21%	7.38%	8.55%	8.26%	6.42%	9.37%	10.15%	8.72%	10.53%	7.77%	9.79%	11.78%	7.64%	7.72%	8.39%	7.55%	7.82%	5.62%	3.37%					
23	. Харитонов Николай Михайлович	3954	106	134	120	122	113	85	99	114	43	91	65	55	99	112	106	90	96	114	108	99	100	92	114	72	87	93	105	128	158	88	91	95	128	106	111	139	141	104	31					
		7.51%	7.81%	8.99%	8.49%	8.45%	8.25%	6.02%	6.73%	7.52%	2.76%	6.73%	6.10%	4.49%	7.52%	9.76%	8.04%	7.69%	6.86%	7.44%	8.40%	7.12%	7.20%	6.59%	8.40%	6.26%	8.60%	8.30%	7.67%	8.52%	9.35%	5.80%	6.91%	7.27%	8.97%	7.24%	7.70%	7.89%	9.59%	7.50%	8.71%					
																																														
24	Против всех	3444	91	97	83	87	90	88	108	113	208	90	84	66	55	72	70	71	114	87	77	78	88	98	76	67	52	63	84	98	105	103	74	95	86	108	98	133	107	73	7					
		6.54%	6.71%	6.51%	5.87%	6.03%	6.57%	6.23%	7.35%	7.46%	13.35%	6.66%	7.89%	5.39%	4.18%	6.28%	5.31%	6.07%	8.14%	5.68%	5.99%	5.61%	6.34%	7.02%	5.60%	5.83%	5.14%	5.62%	6.14%	6.52%	6.21%	6.79%	5.62%	7.27%	6.03%	7.38%	6.80%	7.55%	7.27%	5.26%	1.97%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
