7	Число избирательных бюллетеней в переносных ящиках для голосования	2067	90	77	41	51	36	52	39	33	1	35	7	62	65	57	39	94	63	36	50	42	45	37	25	37	42	29	139	34	182	33	19	24	43	35	39	41	26	25	242	0					
8	Число бюллетеней в стационарных ящиках для голосования	48069	1358	1359	1089	1191	1261	1159	1446	1655	1614	1175	1103	1004	1090	1493	1921	986	1408	1607	1088	1222	1244	1176	1029	941	854	971	1138	1255	1309	1542	1154	1098	1568	1149	1213	1132	1351	1468	188	60					
9	Число недействительных избирательных бюллетеней	1394	59	43	27	25	33	43	27	43	69	46	38	32	34	76	35	20	29	32	21	24	48	49	33	22	17	31	39	39	33	43	33	42	42	45	39	18	29	30	6	0					
10	Число действительных избирательных бюллетеней	48742	1389	1393	1103	1217	1264	1168	1458	1645	1546	1164	1072	1034	1121	1474	1925	1060	1442	1611	1117	1240	1241	1164	1021	956	879	969	1238	1250	1458	1532	1140	1080	1569	1139	1213	1155	1348	1463	424	60					
11	Число полученных открепительных  удостоверений	1938	50	50	65	45	40	50	40	40	30	51	55	35	60	51	70	55	40	55	60	50	60	55	40	40	40	40	44	50	65	55	45	42	48	50	40	67	80	45	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1624	45	48	57	39	36	39	38	30	20	44	51	30	48	51	65	48	31	49	47	42	56	46	39	32	26	29	42	43	59	40	40	41	43	36	37	57	60	39	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1240	18	45	80	18	62	33	34	28	34	33	25	23	32	25	44	41	22	34	24	26	26	28	24	29	22	18	29	25	27	31	12	25	36	29	36	22	28	31	64	17					
14	Число неиспользованных открепительных удостоверений	314	5	2	8	6	4	11	2	10	10	7	4	5	12	0	5	7	9	6	13	8	4	9	1	8	14	11	2	7	6	15	5	1	5	14	3	10	20	6	39	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	16	0	2	0	0	1	2	0	3	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	Богданов Андрей Владимирович	1385	53	36	30	36	35	29	42	24	93	32	45	29	31	28	35	31	29	43	27	35	29	35	26	26	17	32	38	36	52	37	37	41	45	34	28	23	40	55	9	2					
		2.76%	3.66%	2.51%	2.65%	2.90%	2.70%	2.39%	2.83%	1.42%	5.76%	2.64%	4.05%	2.72%	2.68%	1.81%	1.79%	2.87%	1.97%	2.62%	2.37%	2.77%	2.25%	2.89%	2.47%	2.66%	1.90%	3.20%	2.98%	2.79%	3.49%	2.35%	3.15%	3.65%	2.79%	2.87%	2.24%	1.96%	2.90%	3.68%	2.09%	3.33%					
19	Жириновский Владимир Вольфович	4882	119	129	120	131	139	124	169	128	243	129	146	121	116	155	125	98	118	155	115	146	104	112	101	99	81	96	121	148	113	153	106	87	145	128	107	123	141	166	22	3					
		9.74%	8.22%	8.98%	10.62%	10.55%	10.72%	10.24%	11.38%	7.58%	15.05%	10.66%	13.15%	11.35%	10.04%	10.00%	6.38%	9.07%	8.02%	9.43%	10.11%	11.55%	8.07%	9.23%	9.58%	10.12%	9.04%	9.60%	9.48%	11.48%	7.58%	9.71%	9.04%	7.75%	9.00%	10.81%	8.55%	10.49%	10.24%	11.12%	5.12%	5.00%					
20	Зюганов Геннадий Андреевич	10466	384	315	216	248	244	236	307	350	253	239	197	206	232	376	308	231	331	267	238	247	236	251	221	205	192	208	290	289	344	306	290	281	323	263	289	279	352	341	73	8					
		20.88%	26.52%	21.94%	19.12%	19.97%	18.81%	19.49%	20.67%	20.73%	15.67%	19.75%	17.75%	19.32%	20.09%	24.26%	15.71%	21.39%	22.50%	16.25%	20.91%	19.54%	18.31%	20.69%	20.97%	20.96%	21.43%	20.80%	22.71%	22.42%	23.07%	19.43%	24.72%	25.04%	20.05%	22.21%	23.08%	23.79%	25.56%	22.84%	16.98%	13.33%					
21	Медведев Дмитрий Анатольевич	32009	833	913	737	802	846	779	940	1143	957	764	684	678	742	915	1457	700	964	1146	737	812	872	766	673	626	589	633	789	777	949	1036	707	671	1056	714	789	730	815	901	320	47					
		63.84%	57.53%	63.58%	65.22%	64.57%	65.23%	64.33%	63.30%	67.71%	59.26%	63.14%	61.62%	63.60%	64.24%	59.03%	74.34%	64.81%	65.53%	69.75%	64.76%	64.24%	67.65%	63.15%	63.85%	64.01%	65.74%	63.30%	61.79%	60.28%	63.65%	65.78%	60.27%	59.80%	65.55%	60.30%	63.02%	62.23%	59.19%	60.35%	74.42%	78.33%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
