Выборы Президента Российской Федерации																																																																																																																																			
																																																																																																																																			
Наименование Избирательной комиссии:    Йошкар-Олинская городская																																																																																																																																			
																																																																																																																																			
Итоги голосования 																																																																																																																																			
																																																																																																																																			
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124					
11	Число полученных открепительных  удостоверений	2702	30	10	20	38	25	25	0	15	40	20	30	25	20	20	20	25	25	60	20	15	20	25	20	30	15	25	25	20	20	25	25	25	20	20	25	20	15	20	0	20	10	30	25	20	20	25	30	30	40	40	25	3	40	120	15	10	15	15	15	35	42	15	10	10	25	25	20	25	20	20	40	28	60	20	30	15	20	0	0	20	25	25	25	25	23	20	20	15	20	23	15	20	20	10	15	10	25	20	25	20	20	15	20	15	20	15	15	15	20	20	20	15	20	20	15	10	10	15	10	10	10	10	10	45					
12	Число выданных открепительных удостоверений	1983	21	6	14	36	11	25	0	12	25	15	27	21	17	9	15	18	17	49	16	6	14	18	18	10	15	17	21	16	20	22	12	14	17	15	16	15	15	20	0	13	8	17	22	11	12	11	29	21	28	38	25	2	28	120	5	4	9	15	8	21	39	4	1	0	21	20	19	13	17	14	37	28	41	12	19	9	8	0	0	16	14	20	20	16	22	14	16	12	11	22	12	17	17	5	10	6	25	15	20	11	12	9	10	5	17	15	11	15	16	20	13	5	9	13	11	5	6	9	0	2	4	2	4	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2613	20	31	37	23	12	24	231	22	29	22	15	15	14	18	13	18	16	45	21	2	11	22	11	15	8	9	17	12	15	11	8	16	8	19	12	9	15	12	93	14	3	12	15	21	8	9	13	40	22	12	19	7	15	90	12	11	4	10	10	20	8	13	5	0	19	18	20	40	44	22	27	37	27	25	27	11	46	54	174	17	21	23	18	30	6	20	22	10	12	13	11	13	13	5	10	8	11	16	5	11	9	30	18	10	5	5	11	13	13	20	14	13	19	17	18	13	37	22	11	4	43	9	7	22					
14	Число неиспользованных открепительных удостоверений	719	9	4	6	2	14	0	0	3	15	5	3	4	3	11	5	7	8	11	4	9	6	7	2	20	0	8	4	4	0	3	13	11	3	5	9	5	0	0	0	7	2	13	3	9	8	14	1	9	12	2	0	1	12	0	10	6	6	0	7	14	3	11	9	10	4	5	1	12	3	6	3	0	19	8	11	6	12	0	0	4	11	5	5	9	1	6	4	3	9	1	3	3	3	5	5	4	0	5	5	9	8	6	10	10	3	0	4	0	4	0	7	10	11	7	4	5	4	6	10	8	6	8	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	131	0	0	1	0	1	2	0	1	1	1	5	0	3	0	1	0	1	1	0	0	2	2	1	0	0	1	2	0	0	1	0	1	1	1	0	0	3	2	0	2	1	1	2	2	0	5	0	5	0	4	1	0	0	1	2	2	0	2	0	0	0	4	0	0	0	3	2	1	0	1	2	0	2	1	1	0	0	0	0	1	1	1	2	4	1	2	1	1	0	1	1	1	1	0	1	0	2	1	2	1	0	2	0	0	1	0	0	1	0	1	2	0	1	3	3	1	1	2	0	4	1	0	0	1					
16	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																			
18	. Глазьев Сергей Юрьевич	7998	24	36	60	90	71	74	2	43	124	100	100	119	75	43	77	72	92	107	44	52	83	119	129	103	86	119	117	70	92	82	80	97	99	73	118	87	38	28	22	51	44	58	70	68	60	52	95	101	80	98	75	1	54	11	29	26	49	60	41	50	52	19	2	9	93	83	78	84	72	67	84	51	56	80	114	39	32	19	12	49	56	68	110	118	70	107	81	87	81	96	73	69	85	6	49	45	78	78	83	75	88	95	44	58	70	74	60	65	49	62	59	62	82	95	44	26	16	43	14	20	17	7	5	13					
		6.46%	3.83%	5.73%	7.46%	7.60%	7.33%	7.26%	0.63%	6.07%	8.05%	8.42%	6.85%	9.39%	6.91%	4.93%	7.35%	6.58%	7.37%	7.42%	3.53%	7.29%	6.58%	8.17%	11.52%	8.26%	8.46%	8.40%	7.97%	7.07%	7.19%	5.91%	7.49%	7.69%	7.18%	5.38%	8.35%	7.17%	4.53%	3.60%	6.57%	5.00%	6.29%	5.58%	5.71%	5.89%	5.65%	5.60%	8.18%	8.88%	5.71%	8.00%	7.97%	0.64%	5.67%	0.82%	4.10%	6.05%	6.25%	4.74%	5.92%	4.57%	4.32%	3.17%	0.72%	4.09%	6.78%	6.55%	7.41%	6.26%	7.61%	7.62%	6.53%	4.88%	3.85%	7.26%	7.90%	5.77%	4.19%	7.54%	5.45%	5.07%	5.24%	5.87%	7.87%	7.82%	5.98%	7.66%	6.81%	8.67%	7.74%	7.56%	5.81%	6.75%	7.90%	3.33%	6.41%	6.37%	6.29%	6.49%	5.64%	6.94%	7.18%	6.95%	5.18%	5.89%	5.71%	6.04%	5.78%	5.77%	5.94%	5.39%	6.17%	6.30%	6.98%	6.71%	5.07%	5.34%	4.85%	4.47%	5.71%	5.45%	4.50%	3.65%	4.24%	2.63%					
19	. Малышкин Олег Александрович	2556	9	11	15	16	11	15	29	14	25	23	30	19	23	23	15	9	27	21	40	16	29	30	11	29	11	31	28	30	27	26	10	15	23	26	22	23	22	29	6	21	21	18	30	29	24	15	26	15	35	23	40	0	23	33	20	14	21	34	15	20	27	16	11	6	19	19	17	25	18	27	10	21	25	20	40	17	25	4	8	19	24	18	27	24	25	14	17	14	19	16	26	11	29	6	16	22	30	29	36	17	41	28	14	24	18	18	39	44	29	23	17	20	14	31	13	7	3	31	12	8	10	8	2	12					
		2.07%	1.44%	1.75%	1.87%	1.35%	1.14%	1.47%	9.21%	1.98%	1.62%	1.94%	2.06%	1.50%	2.12%	2.64%	1.43%	0.82%	2.16%	1.46%	3.21%	2.24%	2.30%	2.06%	0.98%	2.33%	1.08%	2.19%	1.91%	3.03%	2.11%	1.87%	0.94%	1.19%	1.67%	1.91%	1.56%	1.90%	2.62%	3.73%	1.79%	2.06%	3.00%	1.73%	2.45%	2.51%	2.26%	1.62%	2.24%	1.32%	2.50%	1.88%	4.25%	0.00%	2.42%	2.46%	2.83%	3.26%	2.68%	2.69%	2.16%	1.83%	2.24%	2.67%	3.96%	2.73%	1.39%	1.50%	1.62%	1.86%	1.90%	3.07%	0.78%	2.01%	1.72%	1.81%	2.77%	2.51%	3.27%	1.59%	3.64%	1.97%	2.25%	1.55%	1.93%	1.59%	2.13%	1.00%	1.43%	1.40%	1.82%	1.26%	2.07%	1.08%	2.70%	3.33%	2.09%	3.12%	2.42%	2.41%	2.45%	1.57%	3.34%	2.05%	1.65%	2.44%	1.47%	1.47%	3.76%	3.91%	3.52%	2.00%	1.78%	2.03%	1.19%	2.19%	1.50%	1.44%	0.91%	3.22%	4.90%	2.18%	2.65%	4.17%	1.69%	2.43%					
20	. Миронов Сергей Михайлович	1117	8	6	13	9	6	9	1	6	11	6	14	10	7	13	10	9	16	14	7	6	11	16	6	12	9	14	19	8	11	10	10	14	7	13	14	12	6	7	3	8	7	13	3	15	5	14	13	8	13	15	6	5	10	3	2	3	7	7	2	5	2	6	4	2	15	14	8	11	5	6	20	10	5	6	11	7	6	5	2	8	12	19	10	24	10	16	13	24	12	14	12	14	10	1	2	6	17	10	16	6	10	19	8	9	16	11	9	3	10	15	3	8	4	12	11	3	2	6	0	1	2	1	0	6					
		0.90%	1.28%	0.96%	1.62%	0.76%	0.62%	0.88%	0.32%	0.85%	0.71%	0.51%	0.96%	0.79%	0.64%	1.49%	0.96%	0.82%	1.28%	0.97%	0.56%	0.84%	0.87%	1.10%	0.54%	0.96%	0.89%	0.99%	1.29%	0.81%	0.86%	0.72%	0.94%	1.11%	0.51%	0.96%	0.99%	0.99%	0.72%	0.90%	0.90%	0.79%	1.00%	1.25%	0.24%	1.30%	0.47%	1.51%	1.12%	0.70%	0.93%	1.22%	0.64%	3.21%	1.05%	0.22%	0.28%	0.70%	0.89%	0.55%	0.29%	0.46%	0.17%	1.00%	1.44%	0.91%	1.09%	1.10%	0.76%	0.82%	0.53%	0.68%	1.56%	0.96%	0.34%	0.54%	0.76%	1.04%	0.79%	1.98%	0.91%	0.83%	1.12%	1.64%	0.72%	1.59%	0.85%	1.15%	1.09%	2.39%	1.15%	1.10%	0.95%	1.37%	0.93%	0.56%	0.26%	0.85%	1.37%	0.83%	1.09%	0.56%	0.82%	1.39%	0.94%	0.91%	1.31%	0.90%	0.87%	0.27%	1.21%	1.30%	0.31%	0.81%	0.34%	0.85%	1.27%	0.62%	0.61%	0.62%	0.00%	0.27%	0.53%	0.52%	0.00%	1.21%					
21	. Путин Владимир Владимирович	80243	475	389	491	780	596	652	180	463	950	746	861	761	671	560	663	621	759	942	851	452	789	886	632	701	621	846	903	634	816	926	665	837	897	894	863	740	559	540	230	655	458	703	775	753	723	613	799	742	901	816	627	90	642	1184	487	285	555	904	445	759	881	413	198	140	864	814	641	898	588	525	835	718	1038	710	861	476	528	143	133	635	702	771	840	952	722	865	754	652	636	835	849	641	659	121	499	463	820	804	941	739	822	881	562	627	772	813	644	739	531	693	626	638	739	931	628	321	233	679	156	252	281	146	84	383					
		64.86%	75.76%	61.94%	61.07%	65.88%	61.51%	63.98%	57.14%	65.40%	61.65%	62.79%	59.01%	60.06%	61.79%	64.22%	63.32%	56.76%	60.82%	65.33%	68.35%	63.39%	62.52%	60.85%	56.43%	56.21%	61.12%	59.75%	61.51%	64.04%	63.75%	66.76%	62.27%	66.32%	65.05%	65.83%	61.08%	61.01%	66.63%	69.41%	68.66%	64.28%	65.52%	67.60%	63.21%	65.19%	68.08%	66.06%	68.82%	65.26%	64.31%	66.61%	66.63%	57.69%	67.44%	88.36%	68.88%	66.28%	70.79%	71.46%	64.21%	69.32%	73.17%	68.83%	71.22%	63.64%	63.02%	64.25%	60.93%	66.96%	62.16%	59.73%	64.93%	68.71%	71.39%	64.43%	59.67%	70.41%	69.11%	56.75%	60.45%	65.73%	65.67%	66.52%	60.09%	63.13%	61.66%	61.92%	63.41%	65.00%	60.80%	65.75%	67.54%	62.72%	61.25%	67.22%	65.23%	65.58%	66.08%	66.89%	63.97%	68.36%	67.05%	64.49%	66.20%	63.65%	62.97%	66.31%	62.04%	65.63%	64.36%	60.26%	65.41%	64.84%	62.89%	65.80%	72.35%	65.91%	70.61%	70.51%	63.67%	68.66%	74.34%	76.04%	71.19%	77.53%					
22	. Хакамада Ирина Муцуовна	6107	26	37	51	63	74	78	26	27	74	64	87	76	61	44	59	66	71	76	59	46	61	84	56	72	50	68	89	64	71	71	48	60	69	72	69	68	39	42	8	44	34	60	58	61	48	37	47	54	66	66	53	3	56	18	20	13	22	25	25	33	44	19	7	3	66	65	76	68	39	42	53	45	62	71	97	31	34	6	12	56	41	44	86	94	63	88	49	33	33	69	61	50	74	7	20	11	57	61	87	57	63	68	44	46	64	58	46	42	40	66	54	60	70	66	33	27	19	35	11	17	9	5	6	8					
		4.94%	4.15%	5.89%	6.34%	5.32%	7.64%	7.65%	8.25%	3.81%	4.80%	5.39%	5.96%	6.00%	5.62%	5.05%	5.64%	6.03%	5.69%	5.27%	4.74%	6.45%	4.83%	5.77%	5.00%	5.77%	4.92%	4.80%	6.06%	6.46%	5.55%	5.12%	4.49%	4.75%	5.00%	5.30%	4.88%	5.61%	4.65%	5.40%	2.39%	4.32%	4.86%	5.77%	4.73%	5.28%	4.52%	3.99%	4.05%	4.75%	4.71%	5.39%	5.63%	1.92%	5.88%	1.34%	2.83%	3.02%	2.81%	1.98%	3.61%	3.01%	3.65%	3.17%	2.52%	1.36%	4.81%	5.13%	7.22%	5.07%	4.12%	4.78%	4.12%	4.31%	4.26%	6.44%	6.72%	4.59%	4.45%	2.38%	5.45%	5.80%	3.84%	3.80%	6.15%	6.23%	5.38%	6.30%	4.12%	3.29%	3.15%	5.43%	4.85%	4.89%	6.88%	3.89%	2.61%	1.56%	4.59%	5.07%	5.91%	5.27%	5.14%	4.98%	5.18%	4.67%	5.22%	4.73%	4.43%	3.73%	4.85%	5.74%	5.64%	6.10%	5.96%	4.66%	3.80%	5.54%	5.76%	3.63%	4.49%	4.63%	2.38%	2.60%	5.08%	1.62%					
23	. Харитонов Николай Михайлович	19149	55	113	149	166	149	136	2	122	288	188	268	222	184	149	177	244	212	218	179	114	214	229	230	265	183	256	241	124	195	168	189	181	201	197	235	201	134	92	51	192	108	145	227	181	161	151	136	156	245	139	94	52	97	50	119	70	106	166	138	177	109	102	49	48	246	209	171	194	167	177	204	142	166	159	232	81	104	69	45	159	171	194	234	221	202	238	225	153	218	174	165	176	156	26	130	137	167	164	235	128	128	193	138	165	223	186	186	170	124	225	131	144	207	194	102	72	38	114	39	55	44	19	19	55					
		15.48%	8.77%	17.99%	18.53%	14.02%	15.38%	13.35%	0.63%	17.23%	18.69%	15.82%	18.37%	17.52%	16.94%	17.09%	16.91%	22.30%	16.99%	15.12%	14.38%	15.99%	16.96%	15.73%	20.54%	21.25%	18.01%	18.08%	16.42%	12.53%	15.23%	12.11%	17.70%	14.34%	14.58%	14.51%	16.63%	16.57%	15.97%	11.83%	15.22%	18.84%	15.45%	13.94%	18.52%	15.67%	15.16%	16.27%	11.71%	13.72%	17.49%	11.35%	9.99%	33.33%	10.19%	3.73%	16.83%	16.28%	13.52%	13.12%	19.91%	16.16%	9.05%	17.00%	17.63%	21.82%	17.94%	16.50%	16.25%	14.47%	17.65%	20.14%	15.86%	13.59%	11.42%	14.43%	16.08%	11.98%	13.61%	27.38%	20.45%	16.46%	16.00%	16.74%	16.74%	14.66%	17.25%	17.04%	18.92%	15.25%	20.84%	13.70%	13.13%	17.22%	14.50%	14.44%	16.99%	19.41%	13.46%	13.64%	15.98%	11.84%	10.44%	14.13%	16.25%	16.75%	18.19%	15.17%	17.92%	15.10%	15.03%	19.57%	13.69%	14.63%	17.62%	13.71%	11.75%	14.78%	11.52%	11.84%	15.92%	14.99%	11.64%	9.90%	16.10%	11.13%					
																																																																																																																																			
24	Против всех	5770	26	35	23	57	56	54	56	32	62	58	90	58	60	37	41	62	61	57	61	24	58	86	50	62	53	73	63	58	65	94	60	56	75	79	87	67	37	35	12	43	23	40	59	47	34	38	41	56	56	66	44	1	62	40	30	18	15	52	24	42	78	22	6	7	57	58	59	50	48	31	75	53	99	50	79	19	30	4	6	35	52	35	82	70	70	60	35	33	37	56	59	55	57	10	41	18	63	51	64	54	68	71	33	39	52	61	44	53	30	46	57	47	50	68	35	20	13	50	11	14	12	3	2	12					
		4.66%	4.15%	5.57%	2.86%	4.81%	5.78%	5.30%	17.78%	4.52%	4.02%	4.88%	6.17%	4.58%	5.52%	4.24%	3.92%	5.67%	4.89%	3.95%	4.90%	3.37%	4.60%	5.91%	4.46%	4.97%	5.22%	5.16%	4.29%	5.86%	5.08%	6.78%	5.62%	4.44%	5.44%	5.82%	6.16%	5.52%	4.41%	4.50%	3.58%	4.22%	3.29%	3.85%	4.81%	4.07%	3.20%	4.09%	3.53%	4.93%	4.00%	5.39%	4.68%	0.64%	6.51%	2.99%	4.24%	4.19%	1.91%	4.11%	3.46%	3.84%	6.48%	3.67%	2.16%	3.18%	4.16%	4.58%	5.61%	3.73%	5.07%	3.53%	5.83%	5.07%	6.81%	4.54%	5.47%	2.81%	3.93%	1.59%	2.73%	3.62%	4.86%	3.02%	5.87%	4.64%	5.98%	4.29%	2.94%	3.29%	3.54%	4.41%	4.69%	5.38%	5.30%	5.56%	5.36%	2.55%	5.08%	4.24%	4.35%	5.00%	5.55%	5.20%	3.89%	3.96%	4.24%	4.98%	4.24%	4.71%	3.64%	4.00%	5.96%	4.78%	4.26%	4.81%	4.03%	4.11%	3.94%	5.19%	4.49%	3.81%	3.17%	1.56%	1.69%	2.43%					
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
																																																																																																																																			
