Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Калининская №11																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
19	. Малышкин Олег Александрович	811	6	1	21	13	5	13	8	15	12	11	6	7	8	4	13	8	6	7	5	5	5	5	11	10	4	17	7	4	8	13	6	11	4	4	9	8	8	11	13	17	6	9	9	15	12	9	8	9	3	4	12	10	13	10	12	10	12	12	12	8	6	9	12	16	11	12	9	11	11	8	11	9	5	10	8	7	7	7	7	9	5	8	1	12	14	8	11	2	5	9	7	0					
		0.66%	0.58%	0.10%	1.07%	0.88%	0.35%	0.79%	0.49%	0.95%	0.77%	0.71%	0.38%	0.50%	0.67%	0.35%	1.05%	0.56%	0.50%	0.55%	0.45%	0.38%	0.40%	0.42%	1.00%	0.67%	0.25%	1.11%	0.50%	0.28%	0.58%	0.95%	0.46%	0.88%	0.34%	0.35%	0.72%	0.67%	0.68%	0.73%	0.77%	1.12%	0.47%	0.77%	0.60%	0.98%	0.79%	0.59%	0.52%	0.68%	0.23%	0.29%	0.98%	0.80%	0.99%	0.81%	0.82%	0.70%	0.78%	0.98%	0.92%	0.52%	0.42%	0.60%	0.90%	1.16%	0.73%	0.92%	0.76%	0.81%	0.93%	0.61%	0.81%	0.70%	0.45%	0.69%	0.63%	0.64%	0.56%	0.56%	0.58%	0.78%	0.41%	0.67%	0.12%	0.93%	1.16%	0.62%	1.10%	0.19%	0.38%	0.52%	0.53%	0.00%					
20	. Миронов Сергей Михайлович	2924	17	17	33	21	23	29	14	21	23	17	29	28	27	8	26	19	20	17	17	26	22	24	20	30	25	33	27	21	24	27	16	20	17	21	21	22	18	24	23	31	20	20	35	41	25	28	20	19	25	22	19	24	22	48	47	42	53	33	41	44	45	66	57	64	47	58	55	39	34	46	68	58	29	68	49	37	67	48	32	32	50	28	34	59	51	49	15	34	27	23	27	2					
		2.40%	1.63%	1.64%	1.69%	1.42%	1.61%	1.76%	0.86%	1.33%	1.48%	1.09%	1.83%	2.01%	2.27%	0.71%	2.10%	1.34%	1.66%	1.34%	1.52%	1.99%	1.74%	2.03%	1.82%	2.00%	1.55%	2.15%	1.95%	1.45%	1.75%	1.97%	1.22%	1.61%	1.44%	1.82%	1.67%	1.84%	1.53%	1.59%	1.36%	2.05%	1.57%	1.70%	2.35%	2.69%	1.64%	1.84%	1.31%	1.43%	1.89%	1.60%	1.55%	1.91%	1.67%	3.87%	3.22%	2.92%	3.46%	2.69%	3.13%	2.86%	3.13%	4.42%	4.30%	4.63%	3.10%	4.43%	4.64%	2.86%	2.86%	3.52%	5.03%	4.53%	2.59%	4.72%	3.85%	3.37%	5.41%	3.87%	2.66%	2.76%	4.14%	2.33%	3.93%	4.57%	4.24%	3.81%	1.49%	3.23%	2.04%	1.34%	2.05%	0.81%					
21	. Путин Владимир Владимирович	90067	778	712	1480	1106	991	1226	1168	1177	1127	1163	1121	984	885	853	879	1039	857	897	863	948	933	847	788	1118	1168	1085	944	1040	1028	1065	993	944	862	805	899	906	884	1171	1280	1144	935	854	1108	1140	1153	1117	1158	951	974	1018	875	945	946	928	1070	1047	1213	965	985	1174	1060	1113	979	992	1126	1009	908	1027	920	985	991	949	844	1022	970	818	917	913	912	852	811	910	662	930	889	949	778	727	958	1231	1000	201					
		73.80%	74.74%	68.73%	75.66%	74.53%	69.30%	74.26%	71.48%	74.59%	72.34%	74.74%	70.55%	70.79%	74.24%	75.62%	70.89%	73.38%	70.94%	70.69%	77.12%	72.42%	73.81%	71.48%	71.77%	74.53%	72.46%	70.64%	68.01%	72.02%	75.04%	77.57%	75.86%	75.95%	73.05%	69.70%	71.63%	75.82%	74.92%	77.34%	75.96%	75.56%	73.33%	72.74%	74.26%	74.71%	75.56%	73.54%	75.69%	71.72%	73.51%	73.93%	71.31%	75.18%	71.72%	74.90%	73.34%	72.86%	79.18%	78.71%	75.31%	76.23%	73.82%	74.50%	73.78%	71.73%	74.37%	77.02%	76.62%	75.35%	77.44%	75.48%	73.30%	74.20%	75.36%	70.97%	76.14%	74.50%	74.01%	73.57%	75.68%	73.51%	67.08%	75.71%	76.44%	71.98%	73.84%	73.79%	77.49%	68.98%	72.25%	71.49%	76.05%	81.05%					
22	. Хакамада Ирина Муцуовна	8239	68	120	119	95	121	135	158	124	100	133	143	120	72	87	103	122	89	123	65	111	95	104	78	100	124	124	130	130	94	70	92	60	81	85	94	64	63	106	113	66	89	84	82	91	75	81	99	100	108	90	106	78	88	80	64	112	63	49	81	96	107	85	82	81	106	54	48	68	54	86	84	76	63	113	71	71	65	63	64	80	108	86	54	80	47	75	63	62	102	135	100	9					
		6.75%	6.53%	11.58%	6.08%	6.40%	8.46%	8.18%	9.67%	7.86%	6.42%	8.55%	9.00%	8.63%	6.04%	7.71%	8.31%	8.62%	7.37%	9.69%	5.81%	8.48%	7.52%	8.78%	7.10%	6.67%	7.69%	8.07%	9.37%	9.00%	6.86%	5.10%	7.03%	4.83%	6.86%	7.36%	7.49%	5.36%	5.34%	7.00%	6.71%	4.36%	6.98%	7.16%	5.50%	5.96%	4.91%	5.33%	6.47%	7.54%	8.15%	6.54%	8.64%	6.21%	6.67%	6.46%	4.39%	7.79%	4.11%	4.00%	6.19%	6.23%	7.45%	5.69%	6.18%	5.86%	7.00%	4.12%	4.05%	4.99%	4.55%	6.59%	6.21%	5.94%	5.62%	7.85%	5.57%	6.47%	5.25%	5.08%	5.31%	6.90%	8.93%	7.15%	6.24%	6.19%	3.90%	5.83%	6.27%	5.88%	7.69%	7.84%	7.60%	3.63%					
23	. Харитонов Николай Михайлович	9576	53	89	135	109	168	113	119	87	163	97	128	124	92	84	96	94	111	100	74	105	101	101	107	118	129	129	131	112	109	88	101	120	96	119	129	91	113	113	125	143	122	100	117	101	126	143	121	119	104	139	104	99	128	80	142	100	84	86	108	94	85	104	90	118	101	104	76	107	91	86	88	87	69	109	93	86	80	102	89	92	129	80	64	88	100	108	63	108	113	131	88	14					
		7.85%	5.09%	8.59%	6.90%	7.35%	11.75%	6.84%	7.28%	5.51%	10.46%	6.23%	8.06%	8.92%	7.72%	7.45%	7.74%	6.64%	9.19%	7.88%	6.61%	8.02%	7.99%	8.52%	9.74%	7.87%	8.00%	8.40%	9.44%	7.76%	7.96%	6.41%	7.72%	9.65%	8.14%	10.30%	10.28%	7.62%	9.58%	7.46%	7.42%	9.45%	9.57%	8.52%	7.84%	6.62%	8.26%	9.41%	7.91%	8.97%	7.85%	10.09%	8.48%	7.88%	9.70%	6.46%	9.73%	6.96%	5.48%	7.01%	8.26%	6.10%	5.92%	6.96%	6.78%	8.53%	6.67%	7.94%	6.41%	7.85%	7.66%	6.59%	6.51%	6.80%	6.16%	7.57%	7.30%	7.83%	6.46%	8.22%	7.39%	7.94%	10.67%	6.66%	7.39%	6.81%	8.31%	8.40%	6.27%	10.25%	8.52%	7.61%	6.69%	5.65%					
