Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Актанышская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662					
19	. Малышкин Олег Александрович	75	8	4	9	0	2	0	0	1	1	0	6	0	1	0	4	0	4	7	0	0	1	10	0	3	0	1	0	0	3	0	1	0	2	0	3	0	0	1	2	0	0	0	0	0	0	1					
		0.34%	0.68%	0.31%	0.59%	0.00%	0.29%	0.00%	0.00%	0.32%	0.21%	0.00%	1.76%	0.00%	0.92%	0.00%	1.63%	0.00%	0.59%	2.36%	0.00%	0.00%	0.76%	1.23%	0.00%	0.26%	0.00%	0.23%	0.00%	0.00%	0.38%	0.00%	0.12%	0.00%	0.27%	0.00%	0.45%	0.00%	0.00%	0.18%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%					
20	. Миронов Сергей Михайлович	154	8	13	16	5	16	3	1	4	3	0	5	0	1	0	2	0	6	8	1	1	0	6	1	9	0	1	0	2	4	14	3	1	1	0	4	3	1	1	2	0	0	5	1	0	1	1					
		0.69%	0.68%	1.02%	1.06%	0.63%	2.34%	0.46%	0.44%	1.26%	0.64%	0.00%	1.47%	0.00%	0.92%	0.00%	0.81%	0.00%	0.89%	2.70%	0.52%	0.31%	0.00%	0.74%	0.32%	0.79%	0.00%	0.23%	0.00%	0.29%	0.51%	2.02%	0.36%	0.86%	0.14%	0.00%	0.60%	0.67%	0.47%	0.18%	0.88%	0.00%	0.00%	1.17%	0.66%	0.00%	0.28%	0.44%					
21	. Путин Владимир Владимирович	20897	1120	1222	1440	781	621	629	209	308	447	332	264	87	102	312	188	173	645	241	182	317	121	742	299	1089	206	400	141	659	742	670	801	111	717	711	606	425	206	476	191	372	236	367	133	283	355	218					
		94.03%	94.75%	96.22%	94.99%	98.99%	90.66%	95.88%	92.07%	97.16%	94.90%	96.79%	77.65%	82.86%	93.58%	95.41%	76.42%	98.30%	95.41%	81.42%	95.29%	97.84%	92.37%	90.93%	96.45%	95.86%	99.52%	93.68%	95.92%	95.51%	95.01%	96.54%	96.97%	95.69%	98.08%	96.21%	90.99%	94.87%	97.63%	83.80%	84.14%	97.13%	97.12%	85.95%	88.08%	89.84%	99.16%	95.20%					
22	. Хакамада Ирина Муцуовна	209	5	11	16	3	12	3	1	1	6	0	7	2	2	0	10	1	4	19	2	2	1	8	2	8	1	5	0	4	6	2	11	0	3	0	7	2	1	20	1	5	0	12	1	0	1	1					
		0.94%	0.42%	0.87%	1.06%	0.38%	1.75%	0.46%	0.44%	0.32%	1.27%	0.00%	2.06%	1.90%	1.83%	0.00%	4.07%	0.57%	0.59%	6.42%	1.05%	0.62%	0.76%	0.98%	0.65%	0.70%	0.48%	1.17%	0.00%	0.58%	0.77%	0.29%	1.33%	0.00%	0.41%	0.00%	1.05%	0.45%	0.47%	3.52%	0.44%	1.31%	0.00%	2.81%	0.66%	0.00%	0.28%	0.44%					
23	. Харитонов Николай Михайлович	465	9	6	22	0	22	3	6	3	3	9	37	3	1	15	19	2	10	7	3	2	6	23	5	15	0	11	6	12	8	6	5	2	4	16	32	5	1	61	5	5	7	31	6	5	0	6					
		2.09%	0.76%	0.47%	1.45%	0.00%	3.21%	0.46%	2.64%	0.95%	0.64%	2.62%	10.88%	2.86%	0.92%	4.59%	7.72%	1.14%	1.48%	2.36%	1.57%	0.62%	4.58%	2.82%	1.61%	1.32%	0.00%	2.58%	4.08%	1.74%	1.02%	0.86%	0.61%	1.72%	0.55%	2.17%	4.80%	1.12%	0.47%	10.74%	2.20%	1.31%	2.88%	7.26%	3.97%	1.59%	0.00%	2.62%					
																																																					
24	Против всех	146	19	4	7	0	0	11	1	0	3	0	6	0	0	0	16	0	2	5	2	1	0	13	1	6	0	5	0	0	8	2	3	0	2	3	5	3	2	2	3	1	0	8	0	0	0	2					
		0.66%	1.61%	0.31%	0.46%	0.00%	0.00%	1.68%	0.44%	0.00%	0.64%	0.00%	1.76%	0.00%	0.00%	0.00%	6.50%	0.00%	0.30%	1.69%	1.05%	0.31%	0.00%	1.59%	0.32%	0.53%	0.00%	1.17%	0.00%	0.00%	1.02%	0.29%	0.36%	0.00%	0.27%	0.41%	0.75%	0.67%	0.95%	0.35%	1.32%	0.26%	0.00%	1.87%	0.00%	0.00%	0.00%	0.87%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
