Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Увинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  3001	УИК  3002	УИК  3003	УИК  3004	УИК  3005	УИК  3006	УИК  3007	УИК  3008	УИК  3009	УИК  3010	УИК  3011	УИК  3012	УИК  3013	УИК  3014	УИК  3015	УИК  3016	УИК  3017	УИК  3018	УИК  3019	УИК  3020	УИК  3021	УИК  3022	УИК  3023	УИК  3024	УИК  3025	УИК  3026	УИК  3027	УИК  3028	УИК  3029	УИК  3030	УИК  3031	УИК  3032	УИК  3033	УИК  3034	УИК  3035	УИК  3036	УИК  3037	УИК  3038	УИК  3039					
24	Против всех	363	3	7	6	8	2	4	0	4	1	13	10	6	0	2	4	4	12	2	2	29	8	2	6	4	35	8	4	3	3	17	12	2	1	5	3	34	27	37	33					
		1.69%	0.71%	3.59%	1.17%	1.10%	1.35%	1.02%	0.00%	1.27%	0.69%	1.81%	1.55%	2.21%	0.00%	2.20%	1.56%	0.73%	1.69%	0.57%	3.28%	1.86%	1.50%	0.90%	1.09%	1.90%	2.16%	1.05%	1.09%	0.61%	1.00%	1.55%	1.70%	0.74%	0.49%	1.76%	1.14%	2.59%	2.32%	2.66%	2.57%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
