Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Лазовская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648					
11	Число полученных открепительных  удостоверений	585	42	25	10	10	30	10	10	5	10	5	25	20	25	29	35	5	5	6	7	3	10	7	7	6	5	3	10	5	17	3	9	3	5	5	5	3	3	8	3	3	3	4	3	5	15	3	6	16	8	15	10	10	10	10	20	5	5					
12	Число выданных открепительных удостоверений	514	42	25	8	8	30	10	10	4	10	5	23	16	22	27	35	5	5	6	7	3	8	6	3	6	2	3	10	4	16	3	6	2	4	5	5	0	2	8	1	0	1	2	0	5	14	3	6	10	8	15	5	10	10	10	19	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	389	20	11	4	3	23	10	5	4	5	4	9	41	13	20	15	2	3	3	1	2	5	3	5	4	2	2	2	4	7	2	9	4	3	1	3	1	3	5	4	2	2	1	3	14	13	3	5	4	8	5	6	40	3	4	5	1	3					
14	Число неиспользованных открепительных удостоверений	71	0	0	2	2	0	0	0	1	0	0	2	4	3	2	0	0	0	0	0	0	2	1	4	0	3	0	0	1	1	0	3	1	1	0	0	3	1	0	2	3	2	2	3	0	1	0	0	6	0	0	5	0	0	0	1	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	15	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	1180	86	58	23	22	46	14	45	6	22	0	59	34	45	112	90	5	5	11	14	1	31	13	12	1	4	3	8	3	47	0	34	6	10	15	12	0	1	6	2	1	10	1	4	20	42	5	10	12	28	7	11	20	20	35	41	4	3					
		4.44%	4.33%	4.30%	5.25%	4.45%	3.78%	2.51%	6.50%	1.88%	3.47%	0.00%	5.68%	7.41%	5.25%	6.35%	5.11%	1.49%	1.57%	5.12%	4.17%	1.06%	5.18%	3.42%	3.05%	2.27%	1.88%	4.92%	2.92%	1.67%	7.72%	0.00%	6.73%	5.56%	4.61%	5.02%	4.01%	0.00%	1.23%	2.75%	1.92%	1.02%	4.20%	0.55%	2.82%	5.54%	5.23%	5.88%	2.52%	2.67%	5.17%	2.15%	3.41%	3.60%	3.05%	5.36%	4.92%	2.84%	2.46%					
19	. Малышкин Олег Александрович	1288	102	45	35	13	47	47	31	13	39	7	57	24	46	86	97	14	22	5	24	2	21	13	13	0	0	3	7	8	20	3	27	4	14	11	12	4	10	23	1	10	9	2	3	20	41	5	12	26	24	12	18	40	37	27	30	12	10					
		4.85%	5.14%	3.34%	7.99%	2.63%	3.87%	8.42%	4.48%	4.08%	6.15%	8.14%	5.49%	5.23%	5.37%	4.88%	5.51%	4.18%	6.92%	2.33%	7.14%	2.13%	3.51%	3.42%	3.31%	0.00%	0.00%	4.92%	2.55%	4.44%	3.28%	3.30%	5.35%	3.70%	6.45%	3.68%	4.01%	8.16%	12.35%	10.55%	0.96%	10.20%	3.78%	1.10%	2.11%	5.54%	5.11%	5.88%	3.02%	5.78%	4.43%	3.69%	5.57%	7.21%	5.65%	4.13%	3.60%	8.51%	8.20%					
20	. Миронов Сергей Михайлович	360	35	27	9	8	11	3	16	6	7	1	17	8	9	43	36	7	3	3	3	0	5	8	5	1	1	0	4	1	6	1	5	0	3	5	5	1	0	1	1	0	1	1	0	1	7	0	3	8	7	5	3	5	3	1	9	1	0					
		1.35%	1.76%	2.00%	2.05%	1.62%	0.90%	0.54%	2.31%	1.88%	1.10%	1.16%	1.64%	1.74%	1.05%	2.44%	2.04%	2.09%	0.94%	1.40%	0.89%	0.00%	0.84%	2.11%	1.27%	2.27%	0.47%	0.00%	1.46%	0.56%	0.99%	1.10%	0.99%	0.00%	1.38%	1.67%	1.67%	2.04%	0.00%	0.46%	0.96%	0.00%	0.42%	0.55%	0.00%	0.28%	0.87%	0.00%	0.76%	1.78%	1.29%	1.54%	0.93%	0.90%	0.46%	0.15%	1.08%	0.71%	0.00%					
21	. Путин Владимир Владимирович	17558	1240	866	290	313	856	371	415	225	439	59	605	248	520	980	1035	248	201	154	234	85	394	258	325	35	172	50	229	134	415	66	325	67	145	193	205	35	53	161	79	75	200	152	117	236	488	70	284	317	362	251	236	388	459	453	557	103	85					
		66.07%	62.44%	64.20%	66.21%	63.36%	70.39%	66.49%	59.97%	70.53%	69.24%	68.60%	58.29%	54.03%	60.68%	55.56%	58.77%	74.03%	63.21%	71.63%	69.64%	90.43%	65.89%	67.89%	82.70%	79.55%	80.75%	81.97%	83.58%	74.44%	68.14%	72.53%	64.36%	62.04%	66.82%	64.55%	68.56%	71.43%	65.43%	73.85%	75.96%	76.53%	84.03%	83.98%	82.39%	65.37%	60.77%	82.35%	71.54%	70.44%	66.79%	77.23%	73.07%	69.91%	70.08%	69.37%	66.87%	73.05%	69.67%					
22	. Хакамада Ирина Муцуовна	863	89	69	18	9	65	22	20	6	16	2	39	17	35	71	75	5	11	8	4	0	8	10	11	0	4	1	1	3	18	2	7	6	1	4	5	2	0	3	6	4	1	3	6	8	26	1	11	6	27	10	6	6	13	25	31	3	3					
		3.25%	4.48%	5.11%	4.11%	1.82%	5.35%	3.94%	2.89%	1.88%	2.52%	2.33%	3.76%	3.70%	4.08%	4.02%	4.26%	1.49%	3.46%	3.72%	1.19%	0.00%	1.34%	2.63%	2.80%	0.00%	1.88%	1.64%	0.36%	1.67%	2.96%	2.20%	1.39%	5.56%	0.46%	1.34%	1.67%	4.08%	0.00%	1.38%	5.77%	4.08%	0.42%	1.66%	4.23%	2.22%	3.24%	1.18%	2.77%	1.33%	4.98%	3.08%	1.86%	1.08%	1.98%	3.83%	3.72%	2.13%	2.46%					
23	. Харитонов Николай Михайлович	3938	288	213	50	94	63	73	135	51	85	14	199	102	151	359	302	47	61	28	39	4	121	68	21	4	24	2	18	28	72	14	84	23	37	58	39	4	13	14	11	6	8	18	8	60	155	3	55	59	73	33	41	62	108	81	134	7	14					
		14.82%	14.50%	15.79%	11.42%	19.03%	5.18%	13.08%	19.51%	15.99%	13.41%	16.28%	19.17%	22.22%	17.62%	20.35%	17.15%	14.03%	19.18%	13.02%	11.61%	4.26%	20.23%	17.89%	5.34%	9.09%	11.27%	3.28%	6.57%	15.56%	11.82%	15.38%	16.63%	21.30%	17.05%	19.40%	13.04%	8.16%	16.05%	6.42%	10.58%	6.12%	3.36%	9.94%	5.63%	16.62%	19.30%	3.53%	13.85%	13.11%	13.47%	10.15%	12.69%	11.17%	16.49%	12.40%	16.09%	4.96%	11.48%					
																																																																
24	Против всех	1127	116	61	12	32	121	25	17	9	22	3	54	23	39	96	111	7	12	6	15	0	12	8	3	1	3	1	6	3	25	5	17	1	3	10	19	3	2	8	4	2	8	2	4	11	27	1	12	17	13	4	8	28	10	28	20	10	7					
		4.24%	5.84%	4.52%	2.74%	6.48%	9.95%	4.48%	2.46%	2.82%	3.47%	3.49%	5.20%	5.01%	4.55%	5.44%	6.30%	2.09%	3.77%	2.79%	4.46%	0.00%	2.01%	2.11%	0.76%	2.27%	1.41%	1.64%	2.19%	1.67%	4.11%	5.49%	3.37%	0.93%	1.38%	3.34%	6.35%	6.12%	2.47%	3.67%	3.85%	2.04%	3.36%	1.10%	2.82%	3.05%	3.36%	1.18%	3.02%	3.78%	2.40%	1.23%	2.48%	5.05%	1.53%	4.29%	2.40%	7.09%	5.74%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
