Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Темрюкская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954					
11	Число полученных открепительных  удостоверений	1083	14	28	25	22	17	24	30	30	30	30	18	18	20	16	16	18	17	12	26	20	20	17	15	23	14	28	26	20	16	18	29	19	26	26	14	21	15	22	16	12	20	15	24	22	14	6	21	28	27	14	12	17	15	20					
12	Число выданных открепительных удостоверений	345	0	21	5	3	2	17	5	8	6	14	6	3	0	3	12	10	6	6	6	4	10	5	8	3	1	8	8	4	10	3	7	3	4	12	8	8	2	0	6	4	5	7	0	1	4	0	21	8	13	13	4	11	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	1	0	12	6	1	6	4	5	7	2	3	5	2	3	0	5	9	0	0	0	5	0	2	11	1	3	6	5	3	4	2	2	2	4	4	3	4	1	3	1	1	4	1	8	1	2	4	10	5	5	4	6	1	6					
14	Число неиспользованных открепительных удостоверений	738	14	7	20	19	15	7	25	22	24	16	12	15	20	13	4	8	11	6	20	16	10	12	7	20	13	20	18	16	6	15	22	16	22	14	6	13	13	22	10	8	15	8	24	21	10	6	0	20	14	1	8	6	9	19					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	1	1	2	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	2170	23	9	52	55	40	71	52	73	45	41	38	36	29	31	40	36	31	17	53	35	52	36	50	62	35	64	42	40	31	21	43	18	45	61	23	49	41	40	33	28	149	29	32	47	6	0	40	28	37	38	31	30	41	41					
		3.88%	3.24%	2.25%	4.77%	4.75%	5.52%	4.88%	4.62%	4.87%	3.29%	2.66%	3.66%	3.73%	3.23%	3.12%	4.37%	3.95%	3.05%	2.86%	3.58%	3.09%	4.72%	4.58%	6.13%	4.98%	5.76%	4.41%	3.01%	4.09%	2.72%	2.71%	3.06%	2.11%	3.28%	4.34%	2.19%	4.09%	4.48%	2.79%	4.02%	4.74%	11.19%	3.52%	2.20%	4.23%	0.98%	0.00%	6.73%	1.76%	2.74%	2.89%	5.88%	3.02%	5.26%	4.04%					
19	. Малышкин Олег Александрович	997	9	17	13	26	13	27	15	12	22	43	17	22	11	14	15	20	13	12	20	20	30	21	4	4	8	30	21	9	15	12	23	30	42	21	15	38	16	22	22	11	22	8	42	20	14	2	15	20	21	14	9	18	4	33					
		1.78%	1.27%	4.25%	1.19%	2.25%	1.79%	1.85%	1.33%	0.80%	1.61%	2.79%	1.64%	2.28%	1.23%	1.41%	1.64%	2.19%	1.28%	2.02%	1.35%	1.77%	2.72%	2.67%	0.49%	0.32%	1.32%	2.07%	1.50%	0.92%	1.32%	1.55%	1.64%	3.51%	3.07%	1.49%	1.43%	3.17%	1.75%	1.53%	2.68%	1.86%	1.65%	0.97%	2.89%	1.80%	2.29%	1.27%	2.53%	1.26%	1.56%	1.07%	1.71%	1.81%	0.51%	3.25%					
20	. Миронов Сергей Михайлович	333	2	4	6	5	4	14	9	7	8	4	6	5	7	2	7	6	2	2	10	9	9	3	6	7	6	8	4	3	6	2	7	1	8	8	5	31	5	6	4	6	10	8	21	0	2	1	0	5	14	6	3	2	3	4					
		0.59%	0.28%	1.00%	0.55%	0.43%	0.55%	0.96%	0.80%	0.47%	0.58%	0.26%	0.58%	0.52%	0.78%	0.20%	0.77%	0.66%	0.20%	0.34%	0.68%	0.79%	0.82%	0.38%	0.74%	0.56%	0.99%	0.55%	0.29%	0.31%	0.53%	0.26%	0.50%	0.12%	0.58%	0.57%	0.48%	2.59%	0.55%	0.42%	0.49%	1.02%	0.75%	0.97%	1.44%	0.00%	0.33%	0.63%	0.00%	0.31%	1.04%	0.46%	0.57%	0.20%	0.39%	0.39%					
21	. Путин Владимир Владимирович	38618	542	298	736	763	498	927	734	959	900	1030	667	624	624	729	653	638	792	374	904	726	646	499	585	872	395	951	1051	703	831	544	998	601	865	946	739	777	656	1013	499	381	840	652	1075	878	458	135	478	1238	983	1007	389	650	539	626					
		68.96%	76.45%	74.50%	67.52%	65.95%	68.69%	63.67%	65.24%	64.02%	65.74%	66.84%	64.32%	64.66%	69.57%	73.34%	71.37%	69.96%	77.95%	62.96%	61.04%	64.08%	58.67%	63.49%	71.78%	70.10%	64.97%	65.54%	75.29%	71.95%	72.89%	70.28%	71.03%	70.37%	63.14%	67.33%	70.52%	64.80%	71.62%	70.59%	60.85%	64.47%	63.11%	79.13%	73.93%	79.10%	74.84%	85.44%	80.47%	77.91%	72.87%	76.64%	73.81%	65.33%	69.19%	61.67%					
22	. Хакамада Ирина Муцуовна	1486	21	11	25	43	20	40	47	39	40	50	20	26	22	15	26	28	14	15	41	21	16	19	17	53	20	42	28	18	32	32	45	9	29	24	16	27	20	33	23	27	33	6	59	29	14	3	13	59	35	37	13	36	22	33					
		2.65%	2.96%	2.75%	2.29%	3.72%	2.76%	2.75%	4.18%	2.60%	2.92%	3.24%	1.93%	2.69%	2.45%	1.51%	2.84%	3.07%	1.38%	2.53%	2.77%	1.85%	1.45%	2.42%	2.09%	4.26%	3.29%	2.89%	2.01%	1.84%	2.81%	4.13%	3.20%	1.05%	2.12%	1.71%	1.53%	2.25%	2.18%	2.30%	2.80%	4.57%	2.48%	0.73%	4.06%	2.61%	2.29%	1.90%	2.19%	3.71%	2.59%	2.82%	2.47%	3.62%	2.82%	3.25%					
23	. Харитонов Николай Михайлович	10165	94	39	189	217	118	308	217	328	294	296	247	201	182	183	142	158	124	153	408	284	305	167	138	195	129	296	170	163	186	115	240	158	340	298	223	240	152	276	160	97	221	104	158	121	101	10	27	181	179	164	60	225	139	245					
		18.15%	13.26%	9.75%	17.34%	18.76%	16.28%	21.15%	19.29%	21.90%	21.48%	19.21%	23.82%	20.83%	20.29%	18.41%	15.52%	17.32%	12.20%	25.76%	27.55%	25.07%	27.70%	21.25%	16.93%	15.68%	21.22%	20.40%	12.18%	16.68%	16.32%	14.86%	17.08%	18.50%	24.82%	21.21%	21.28%	20.02%	16.59%	19.23%	19.51%	16.41%	16.60%	12.62%	10.87%	10.90%	16.50%	6.33%	4.55%	11.39%	13.27%	12.48%	11.39%	22.61%	17.84%	24.14%					
																																																													
24	Против всех	1767	13	19	57	40	22	60	39	75	46	77	30	40	22	19	21	26	40	17	39	34	29	30	10	38	10	52	64	30	33	33	34	32	26	38	19	28	20	33	72	35	35	14	48	8	13	5	17	38	60	36	22	26	18	25					
		3.16%	1.83%	4.75%	5.23%	3.46%	3.03%	4.12%	3.47%	5.01%	3.36%	5.00%	2.89%	4.15%	2.45%	1.91%	2.30%	2.85%	3.94%	2.86%	2.63%	3.00%	2.63%	3.82%	1.23%	3.05%	1.64%	3.58%	4.58%	3.07%	2.89%	4.26%	2.42%	3.75%	1.90%	2.70%	1.81%	2.34%	2.18%	2.30%	8.78%	5.92%	2.63%	1.70%	3.30%	0.72%	2.12%	3.16%	2.86%	2.39%	4.45%	2.74%	4.17%	2.61%	2.31%	2.46%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
