Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ташлинская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671					
		0.67%	0.58%	0.43%	0.00%	2.94%	0.00%	0.62%	0.52%	0.00%	0.00%	0.00%	0.62%	0.00%	0.52%	0.51%	1.15%	0.74%	1.90%	0.00%	1.28%	0.42%	0.57%	1.41%	0.47%	0.61%	0.00%	0.29%	0.00%	0.40%	0.71%	0.54%	0.00%	0.68%	1.10%	1.27%	0.55%	0.00%	0.42%	0.00%	0.00%	0.00%	0.50%	0.37%	0.46%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9439	514	221	52	204	135	99	233	50	73	245	305	82	95	140	515	194	186	78	111	150	333	47	250	92	39	184	73	113	420	106	155	913	1136	48	289	84	316	110	106	139	93	290	132	106	183					
		57.69%	74.38%	47.42%	32.70%	60.00%	60.81%	61.49%	60.68%	59.52%	49.66%	59.61%	62.89%	55.41%	49.22%	70.71%	49.14%	47.78%	44.29%	82.11%	71.15%	63.56%	62.83%	66.20%	58.41%	55.76%	55.71%	54.12%	79.35%	45.56%	60.00%	57.61%	82.45%	56.05%	54.41%	60.76%	53.12%	47.73%	66.95%	76.92%	78.52%	50.92%	46.50%	54.00%	60.83%	61.63%	79.57%					
22	. Хакамада Ирина Муцуовна	185	5	9	3	4	6	2	5	2	1	1	3	1	0	3	11	0	1	0	0	4	5	1	7	0	0	5	0	1	12	2	3	26	28	1	6	2	3	1	0	2	1	12	3	3	0					
		1.13%	0.72%	1.93%	1.89%	1.18%	2.70%	1.24%	1.30%	2.38%	0.68%	0.24%	0.62%	0.68%	0.00%	1.52%	1.05%	0.00%	0.24%	0.00%	0.00%	1.69%	0.94%	1.41%	1.64%	0.00%	0.00%	1.47%	0.00%	0.40%	1.71%	1.09%	1.60%	1.60%	1.34%	1.27%	1.10%	1.14%	0.64%	0.70%	0.00%	0.73%	0.50%	2.23%	1.38%	1.74%	0.00%					
23	. Харитонов Николай Михайлович	4842	117	194	87	78	57	31	105	5	52	145	131	55	77	33	336	170	170	12	30	55	141	14	114	57	25	131	18	120	203	45	14	479	577	23	199	75	130	18	18	102	91	177	51	53	27					
		29.59%	16.93%	41.63%	54.72%	22.94%	25.68%	19.25%	27.34%	5.95%	35.37%	35.28%	27.01%	37.16%	39.90%	16.67%	32.06%	41.87%	40.48%	12.63%	19.23%	23.31%	26.60%	19.72%	26.64%	34.55%	35.71%	38.53%	19.57%	48.39%	29.00%	24.46%	7.45%	29.40%	27.63%	29.11%	36.58%	42.61%	27.54%	12.59%	13.33%	37.36%	45.50%	32.96%	23.50%	30.81%	11.74%					
																																																				
24	Против всех	310	10	8	2	9	1	7	1	4	0	6	1	2	2	2	28	7	8	0	4	0	15	0	11	0	0	6	0	4	13	5	1	41	66	0	13	5	4	2	0	3	0	5	5	5	4					
		1.89%	1.45%	1.72%	1.26%	2.65%	0.45%	4.35%	0.26%	4.76%	0.00%	1.46%	0.21%	1.35%	1.04%	1.01%	2.67%	1.72%	1.90%	0.00%	2.56%	0.00%	2.83%	0.00%	2.57%	0.00%	0.00%	1.76%	0.00%	1.61%	1.86%	2.72%	0.53%	2.52%	3.16%	0.00%	2.39%	2.84%	0.85%	1.40%	0.00%	1.10%	0.00%	0.93%	2.30%	2.91%	1.74%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
