Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Унечская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156					
11	Число полученных открепительных  удостоверений	495	17	17	17	17	15	17	14	23	21	6	17	8	16	8	8	12	8	9	12	12	12	12	9	9	12	12	9	12	12	9	9	12	12	11	9	12	12	9	9	9	9					
12	Число выданных открепительных удостоверений	233	9	13	15	15	14	12	13	23	21	3	17	0	14	8	8	2	0	1	1	0	1	5	1	3	1	1	1	1	1	0	0	1	1	2	8	3	12	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	13	10	8	19	10	25	10	15	17	3	12	1	3	4	3	3	2	2	4	5	7	5	1	3	0	3	1	2	3	1	2	3	3	4	0	4	5	0	3	3	2					
14	Число неиспользованных открепительных удостоверений	262	8	4	2	2	1	5	1	0	0	3	0	8	2	0	0	10	8	8	11	12	11	7	8	6	11	11	8	11	11	9	9	11	11	9	1	9	0	9	9	7	9					
15	"Число открепительных удостоверений, выданных в ТИК"	5	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	796	56	45	65	57	51	61	49	53	53	30	57	2	10	3	5	4	2	2	5	11	10	25	3	7	3	14	3	7	7	1	0	21	25	4	2	12	13	6	2	10	0					
		3.83%	5.98%	4.49%	5.07%	4.46%	5.70%	6.17%	4.64%	4.77%	4.72%	3.95%	4.24%	1.52%	2.23%	1.48%	1.95%	1.00%	0.84%	1.03%	1.21%	3.31%	3.18%	4.59%	1.30%	3.12%	0.93%	2.71%	2.33%	1.62%	2.21%	0.36%	0.00%	3.98%	6.10%	1.04%	0.85%	3.48%	3.11%	9.52%	0.92%	3.09%	0.00%					
19	. Малышкин Олег Александрович	627	19	37	40	15	31	42	30	26	25	18	22	5	21	8	15	3	7	3	17	15	10	21	6	2	8	22	2	21	14	13	0	18	11	14	3	23	25	3	7	5	0					
		3.02%	2.03%	3.69%	3.12%	1.17%	3.46%	4.25%	2.84%	2.34%	2.22%	2.37%	1.64%	3.79%	4.68%	3.94%	5.86%	0.75%	2.95%	1.54%	4.11%	4.52%	3.18%	3.85%	2.61%	0.89%	2.49%	4.26%	1.55%	4.85%	4.42%	4.66%	0.00%	3.41%	2.68%	3.66%	1.28%	6.67%	5.98%	4.76%	3.23%	1.54%	0.00%					
20	. Миронов Сергей Михайлович	203	10	3	13	14	9	12	9	6	3	5	14	2	3	2	2	2	2	3	1	4	8	8	0	6	3	5	1	5	4	4	2	2	7	1	2	7	7	0	5	6	1					
		0.98%	1.07%	0.30%	1.01%	1.10%	1.01%	1.21%	0.85%	0.54%	0.27%	0.66%	1.04%	1.52%	0.67%	0.99%	0.78%	0.50%	0.84%	1.54%	0.24%	1.20%	2.55%	1.47%	0.00%	2.68%	0.93%	0.97%	0.78%	1.15%	1.26%	1.43%	2.22%	0.38%	1.71%	0.26%	0.85%	2.03%	1.67%	0.00%	2.30%	1.85%	1.35%					
21	. Путин Владимир Владимирович	11973	515	572	739	670	480	544	589	632	612	406	760	78	263	128	178	235	142	145	281	166	196	350	131	126	196	316	85	217	164	175	64	363	200	178	182	223	257	43	125	199	48					
		57.59%	55.02%	57.09%	57.60%	52.43%	53.63%	55.06%	55.72%	56.89%	54.45%	53.49%	56.59%	59.09%	58.57%	63.05%	69.53%	58.60%	59.92%	74.36%	67.87%	50.00%	62.42%	64.22%	56.96%	56.25%	61.06%	61.24%	65.89%	50.12%	51.74%	62.72%	71.11%	68.75%	48.78%	46.48%	77.45%	64.64%	61.48%	68.25%	57.60%	61.42%	64.86%					
22	. Хакамада Ирина Муцуовна	318	7	28	22	35	11	14	25	25	17	7	15	2	5	2	6	5	3	1	0	4	1	5	2	2	7	6	2	4	4	5	0	11	10	10	2	1	8	0	0	4	0					
		1.53%	0.75%	2.79%	1.71%	2.74%	1.23%	1.42%	2.37%	2.25%	1.51%	0.92%	1.12%	1.52%	1.11%	0.99%	2.34%	1.25%	1.27%	0.51%	0.00%	1.20%	0.32%	0.92%	0.87%	0.89%	2.18%	1.16%	1.55%	0.92%	1.26%	1.79%	0.00%	2.08%	2.44%	2.61%	0.85%	0.29%	1.91%	0.00%	0.00%	1.23%	0.00%					
23	. Харитонов Николай Михайлович	6170	290	267	347	440	284	280	322	334	357	269	427	40	134	56	43	140	73	37	98	126	75	109	79	80	93	139	36	172	117	70	20	101	150	166	41	63	98	9	72	91	25					
		29.68%	30.98%	26.65%	27.05%	34.43%	31.73%	28.34%	30.46%	30.06%	31.76%	35.44%	31.79%	30.30%	29.84%	27.59%	16.80%	34.91%	30.80%	18.97%	23.67%	37.95%	23.89%	20.00%	34.35%	35.71%	28.97%	26.94%	27.91%	39.72%	36.91%	25.09%	22.22%	19.13%	36.59%	43.34%	17.45%	18.26%	23.44%	14.29%	33.18%	28.09%	33.78%					
																																																
24	Против всех	532	31	39	43	42	26	33	32	32	47	17	39	2	6	2	7	6	4	1	2	3	9	15	8	0	7	12	0	4	2	10	2	7	3	8	1	13	7	0	4	6	0					
		2.56%	3.31%	3.89%	3.35%	3.29%	2.91%	3.34%	3.03%	2.88%	4.18%	2.24%	2.90%	1.52%	1.34%	0.99%	2.73%	1.50%	1.69%	0.51%	0.48%	0.90%	2.87%	2.75%	3.48%	0.00%	2.18%	2.33%	0.00%	0.92%	0.63%	3.58%	2.22%	1.33%	0.73%	2.09%	0.43%	3.77%	1.67%	0.00%	1.84%	1.85%	0.00%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
