Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Маслянинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692					
22	. Хакамада Ирина Муцуовна	240	4	3	1	6	3	1	4	3	5	7	2	1	4	0	3	5	0	2	1	2	17	6	2	3	2	0	4	17	22	16	7	11	24	3	19	19	11					
		1.74%	1.29%	2.14%	0.29%	2.69%	0.82%	1.75%	1.14%	2.46%	1.12%	1.78%	1.38%	0.87%	0.97%	0.00%	0.58%	3.65%	0.00%	1.19%	0.29%	1.09%	2.01%	1.82%	2.30%	0.99%	1.21%	0.00%	1.25%	3.17%	2.40%	1.76%	1.82%	1.88%	2.33%	0.77%	3.66%	3.32%	1.95%					
23	. Харитонов Николай Михайлович	3007	58	35	60	30	85	20	127	22	88	87	5	4	59	58	73	40	18	18	52	11	181	72	11	38	22	33	65	145	264	215	81	103	312	96	121	133	165					
		21.82%	18.71%	25.00%	17.54%	13.45%	23.35%	35.09%	36.29%	18.03%	19.69%	22.14%	3.45%	3.48%	14.32%	22.05%	14.23%	29.20%	11.61%	10.71%	15.03%	5.98%	21.37%	21.82%	12.64%	12.58%	13.33%	24.26%	20.31%	27.05%	28.82%	23.63%	21.09%	17.58%	30.23%	24.68%	23.31%	23.25%	29.26%					
																																												
24	Против всех	252	8	1	4	6	5	2	5	0	9	4	0	4	8	8	9	0	0	2	0	1	13	3	1	6	1	1	4	10	25	23	12	20	22	1	10	15	9					
		1.83%	2.58%	0.71%	1.17%	2.69%	1.37%	3.51%	1.43%	0.00%	2.01%	1.02%	0.00%	3.48%	1.94%	3.04%	1.75%	0.00%	0.00%	1.19%	0.00%	0.54%	1.53%	0.91%	1.15%	1.99%	0.61%	0.74%	1.25%	1.87%	2.73%	2.53%	3.12%	3.41%	2.13%	0.26%	1.93%	2.62%	1.60%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
