Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Абдулинская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43					
		62.23%	65.21%	63.32%	60.14%	62.92%	61.59%	62.66%	62.82%	60.13%	60.73%	60.04%	68.47%	73.93%	49.57%	61.34%	63.64%	46.02%	56.78%	53.85%	60.55%	67.16%	60.40%	38.10%	49.23%	44.04%	52.81%	39.22%	68.15%	53.03%	60.62%	63.47%	59.19%	56.50%	63.53%	60.76%	66.25%	76.71%	64.62%	68.87%	70.73%	71.04%	62.90%	71.63%	75.23%					
22	. Хакамада Ирина Муцуовна	331	21	19	10	19	19	20	23	17	28	29	2	3	0	7	2	5	7	3	1	1	1	3	4	2	1	1	4	0	12	1	6	4	4	3	19	1	5	5	0	6	11	0	2					
		1.78%	1.58%	1.85%	1.02%	2.07%	1.66%	1.80%	1.95%	1.81%	2.19%	2.94%	0.90%	1.28%	0.00%	1.96%	1.82%	2.84%	2.56%	1.78%	0.39%	1.49%	0.67%	2.04%	2.05%	1.83%	0.56%	1.96%	1.19%	0.00%	2.32%	0.46%	2.21%	1.63%	1.57%	1.90%	2.95%	1.37%	1.46%	1.32%	0.00%	1.36%	2.96%	0.00%	0.61%					
23	. Харитонов Николай Михайлович	4957	308	254	277	245	304	279	279	273	329	271	50	38	37	91	31	62	90	71	74	19	44	81	65	48	62	28	85	24	141	66	66	85	77	53	151	10	97	74	29	112	88	29	60					
		26.63%	23.14%	24.78%	28.24%	26.72%	26.60%	25.04%	23.68%	29.10%	25.68%	27.48%	22.52%	16.24%	32.17%	25.49%	28.18%	35.23%	32.97%	42.01%	28.91%	28.36%	29.53%	55.10%	33.33%	44.04%	34.83%	54.90%	25.30%	36.36%	27.22%	30.14%	24.26%	34.55%	30.20%	33.54%	23.48%	13.70%	28.36%	19.53%	23.58%	25.34%	23.66%	20.57%	18.35%					
																																																		
24	Против всех	221	15	13	14	11	21	18	26	12	22	24	3	1	1	4	0	3	1	0	0	0	0	2	1	0	2	0	0	0	6	1	0	1	1	0	4	0	1	3	2	1	6	0	1					
		1.19%	1.13%	1.27%	1.43%	1.20%	1.84%	1.62%	2.21%	1.28%	1.72%	2.43%	1.35%	0.43%	0.87%	1.12%	0.00%	1.70%	0.37%	0.00%	0.00%	0.00%	0.00%	1.36%	0.51%	0.00%	1.12%	0.00%	0.00%	0.00%	1.16%	0.46%	0.00%	0.41%	0.39%	0.00%	0.62%	0.00%	0.29%	0.79%	1.63%	0.23%	1.61%	0.00%	0.31%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
