Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Иловлинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847					
11	Число полученных открепительных  удостоверений	265	10	15	10	10	10	10	5	5	5	5	5	10	5	5	10	5	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	103	9	12	5	3	4	0	0	0	2	0	1	6	5	0	9	0	18	0	4	1	2	1	1	3	0	5	3	0	0	0	0	1	2	0	0	0	4	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	4	3	9	3	0	3	1	0	2	0	4	6	5	5	2	2	4	1	1	1	0	0	0	12	1	4	4	1	1	4	8	27	3	0	1	1	3	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	162	1	3	5	7	6	10	5	5	3	5	4	4	0	5	1	5	2	5	1	4	3	4	4	2	5	0	2	5	5	5	5	4	3	5	5	5	1	5	5	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	508	51	30	43	44	15	7	10	15	12	1	5	13	28	1	12	1	17	0	5	14	6	1	9	35	1	22	27	2	1	28	7	8	10	0	0	1	12	0	0	12	2					
		3.26%	5.35%	3.58%	4.54%	5.41%	2.63%	1.63%	4.17%	11.03%	3.13%	0.65%	1.92%	1.49%	3.13%	0.71%	3.37%	1.18%	3.44%	0.00%	1.07%	2.62%	4.23%	1.00%	4.84%	6.82%	0.74%	3.92%	3.76%	1.54%	1.05%	3.09%	3.24%	4.88%	2.28%	0.00%	0.00%	1.72%	2.55%	0.00%	0.00%	2.44%	1.25%					
19	. Малышкин Олег Александрович	467	31	25	31	20	15	19	7	11	6	3	5	16	26	6	21	4	18	5	12	13	3	2	8	10	8	19	24	2	2	21	6	2	17	0	3	5	11	4	2	19	5					
		2.99%	3.25%	2.98%	3.27%	2.46%	2.63%	4.42%	2.92%	8.09%	1.57%	1.95%	1.92%	1.83%	2.91%	4.29%	5.90%	4.71%	3.64%	2.75%	2.56%	2.43%	2.11%	2.00%	4.30%	1.95%	5.93%	3.39%	3.34%	1.54%	2.11%	2.32%	2.78%	1.22%	3.87%	0.00%	5.66%	8.62%	2.34%	3.74%	1.72%	3.87%	3.12%					
20	. Миронов Сергей Михайлович	94	8	3	7	7	1	2	5	1	3	0	1	7	7	1	3	0	4	0	1	4	0	1	1	0	0	7	1	0	0	2	0	4	3	0	0	0	7	0	2	0	1					
		0.60%	0.84%	0.36%	0.74%	0.86%	0.18%	0.47%	2.08%	0.74%	0.78%	0.00%	0.38%	0.80%	0.78%	0.71%	0.84%	0.00%	0.81%	0.00%	0.21%	0.75%	0.00%	1.00%	0.54%	0.00%	0.00%	1.25%	0.14%	0.00%	0.00%	0.22%	0.00%	2.44%	0.68%	0.00%	0.00%	0.00%	1.49%	0.00%	1.72%	0.00%	0.62%					
21	. Путин Владимир Владимирович	9912	610	583	598	497	389	287	165	78	245	107	174	493	503	93	212	47	346	103	340	336	90	69	105	349	108	358	383	83	78	651	166	93	256	52	41	26	285	38	96	286	93					
		63.54%	63.94%	69.49%	63.08%	61.13%	68.13%	66.74%	68.75%	57.35%	63.97%	69.48%	66.92%	56.54%	56.26%	66.43%	59.55%	55.29%	70.04%	56.59%	72.65%	62.92%	63.38%	69.00%	56.45%	68.03%	80.00%	63.81%	53.34%	63.85%	82.11%	71.78%	76.85%	56.71%	58.31%	61.90%	77.36%	44.83%	60.51%	35.51%	82.76%	58.25%	58.12%					
22	. Хакамада Ирина Муцуовна	294	11	14	22	18	19	14	3	1	5	8	1	2	14	1	7	5	18	3	7	4	0	1	2	9	1	13	15	1	1	15	1	2	20	1	0	1	7	2	6	12	7					
		1.88%	1.15%	1.67%	2.32%	2.21%	3.33%	3.26%	1.25%	0.74%	1.31%	5.19%	0.38%	0.23%	1.57%	0.71%	1.97%	5.88%	3.64%	1.65%	1.50%	0.75%	0.00%	1.00%	1.08%	1.75%	0.74%	2.32%	2.09%	0.77%	1.05%	1.65%	0.46%	1.22%	4.56%	1.19%	0.00%	1.72%	1.49%	1.87%	5.17%	2.44%	4.38%					
23	. Харитонов Николай Михайлович	3723	187	143	198	184	104	84	43	26	94	25	66	319	296	34	88	24	74	65	94	144	39	24	53	102	13	116	218	40	11	162	33	44	114	28	9	24	137	60	10	145	49					
		23.87%	19.60%	17.04%	20.89%	22.63%	18.21%	19.53%	17.92%	19.12%	24.54%	16.23%	25.38%	36.58%	33.11%	24.29%	24.72%	28.24%	14.98%	35.71%	20.09%	26.97%	27.46%	24.00%	28.49%	19.88%	9.63%	20.68%	30.36%	30.77%	11.58%	17.86%	15.28%	26.83%	25.97%	33.33%	16.98%	41.38%	29.09%	56.07%	8.62%	29.53%	30.62%					
																																																
24	Против всех	474	53	38	43	33	21	13	5	4	17	9	4	16	20	2	12	2	13	6	6	9	3	2	5	8	3	10	42	2	1	23	3	9	9	2	0	1	9	1	0	13	2					
		3.04%	5.56%	4.53%	4.54%	4.06%	3.68%	3.02%	2.08%	2.94%	4.44%	5.84%	1.54%	1.83%	2.24%	1.43%	3.37%	2.35%	2.63%	3.30%	1.28%	1.69%	2.11%	2.00%	2.69%	1.56%	2.22%	1.78%	5.85%	1.54%	1.05%	2.54%	1.39%	5.49%	2.05%	2.38%	0.00%	1.72%	1.91%	0.93%	0.00%	2.65%	1.25%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
