Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
		65.56%	68.11%	68.33%	60.88%	62.40%	62.65%	63.18%	61.22%	60.92%	65.77%	63.32%	60.62%	57.55%	60.66%	61.57%	64.08%	64.75%	63.94%	59.21%	66.27%	68.43%	65.87%	72.87%	73.56%	68.00%	64.59%	65.85%	69.02%	64.75%	63.54%	66.75%	66.12%	62.71%	64.00%	65.56%	66.67%	56.31%	60.04%	60.48%	76.88%	80.05%	68.42%	67.58%	68.57%	68.11%	70.40%	69.62%	61.94%	62.81%	87.36%	68.75%	71.96%	61.36%	67.49%	68.82%	66.67%	67.48%	65.01%	68.92%	63.43%	67.64%	65.14%	64.23%	70.00%	66.28%	76.10%	68.66%					
22	. Хакамада Ирина Муцуовна	4221	90	97	60	112	74	89	99	87	129	127	112	68	129	70	100	88	130	83	89	52	93	40	4	88	72	33	74	101	73	49	36	85	90	55	69	82	57	75	42	66	3	33	33	21	30	26	44	62	3	121	43	88	66	51	5	50	39	76	40	74	31	26	19	52	6	10					
		6.68%	7.48%	7.21%	6.98%	9.89%	9.80%	7.64%	8.48%	7.66%	8.10%	9.24%	8.87%	6.94%	9.01%	6.48%	6.87%	7.33%	9.15%	10.20%	6.27%	5.30%	7.20%	3.84%	2.30%	9.00%	6.14%	4.51%	5.69%	6.76%	5.71%	5.90%	4.19%	7.11%	7.83%	5.23%	6.59%	8.85%	6.12%	10.55%	5.08%	5.07%	3.16%	4.73%	6.07%	3.49%	4.60%	4.51%	4.95%	6.65%	3.45%	8.71%	4.71%	8.92%	7.08%	6.60%	1.39%	5.55%	5.11%	5.98%	6.36%	6.16%	5.07%	4.13%	2.50%	3.78%	1.89%	4.98%					
23	. Харитонов Николай Михайлович	9799	145	176	149	151	115	187	177	209	227	212	234	191	230	209	222	200	210	122	236	128	188	130	20	115	188	127	167	198	230	125	167	197	201	202	175	185	175	112	56	92	19	90	76	108	92	92	168	168	7	174	99	171	128	115	74	126	125	166	105	165	126	151	134	253	46	41					
		15.51%	12.04%	13.09%	17.35%	13.33%	15.23%	16.05%	15.15%	18.40%	14.26%	15.43%	18.54%	19.49%	16.07%	19.35%	15.25%	16.67%	14.79%	14.99%	16.62%	13.03%	14.55%	12.46%	11.49%	11.76%	16.04%	17.35%	12.84%	13.24%	18.00%	15.06%	19.44%	16.47%	17.48%	19.22%	16.71%	19.96%	18.80%	15.75%	6.78%	7.06%	20.00%	12.91%	13.97%	17.94%	14.11%	15.97%	18.92%	18.01%	8.05%	12.53%	10.84%	17.34%	13.73%	14.88%	20.56%	13.98%	16.38%	13.06%	16.69%	13.73%	20.62%	24.01%	17.63%	18.39%	14.47%	20.40%					
																																																																									
24	Против всех	2424	46	46	43	47	19	39	49	40	65	51	42	36	45	40	66	38	47	44	47	48	73	26	1	31	36	40	64	71	58	44	21	55	34	35	35	45	44	32	48	35	3	31	19	24	27	18	33	41	0	57	32	48	33	25	2	38	29	54	24	51	18	13	25	35	15	3					
		3.84%	3.82%	3.42%	5.01%	4.15%	2.52%	3.35%	4.20%	3.52%	4.08%	3.71%	3.33%	3.67%	3.14%	3.70%	4.53%	3.17%	3.31%	5.41%	3.31%	4.89%	5.65%	2.49%	0.57%	3.17%	3.07%	5.46%	4.92%	4.75%	4.54%	5.30%	2.44%	4.60%	2.96%	3.33%	3.34%	4.85%	4.73%	4.50%	5.81%	2.69%	3.16%	4.45%	3.49%	3.99%	4.14%	3.12%	3.72%	4.39%	0.00%	4.10%	3.50%	4.87%	3.54%	3.23%	0.56%	4.22%	3.80%	4.25%	3.82%	4.24%	2.95%	2.07%	3.29%	2.54%	4.72%	1.49%					
																																																																									
																																																																									
