Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Монастырщинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
		53.89%	53.23%	47.67%	48.68%	55.56%	70.18%	80.95%	64.84%	50.85%	36.53%	55.15%	69.06%	68.73%	46.30%	49.44%	55.74%	52.00%	66.05%	54.06%	55.14%	64.29%	39.72%	44.49%	50.14%	47.09%					
22	. Хакамада Ирина Муцуовна	146	6	5	8	4	3	0	5	2	2	2	3	18	2	1	3	5	5	4	5	1	4	1	42	15					
		1.92%	2.42%	2.59%	1.63%	1.65%	1.38%	0.00%	3.91%	0.68%	0.91%	1.21%	2.16%	3.18%	1.85%	0.56%	1.64%	2.50%	1.85%	0.71%	1.71%	0.48%	1.42%	0.44%	2.94%	2.43%					
23	. Харитонов Николай Михайлович	2758	79	74	211	84	46	19	28	127	118	55	33	119	47	82	61	84	79	217	105	53	148	108	530	251					
		36.21%	31.85%	38.34%	42.97%	34.57%	21.10%	12.93%	21.88%	43.05%	53.88%	33.33%	23.74%	21.02%	43.52%	46.07%	33.33%	42.00%	29.15%	38.34%	35.96%	25.24%	52.48%	47.58%	37.06%	40.61%					
																															
24	Против всех	152	6	6	2	8	4	2	2	5	3	4	5	9	1	1	6	2	4	6	2	3	4	7	47	13					
		2.00%	2.42%	3.11%	0.41%	3.29%	1.83%	1.36%	1.56%	1.69%	1.37%	2.42%	3.60%	1.59%	0.93%	0.56%	3.28%	1.00%	1.48%	1.06%	0.68%	1.43%	1.42%	3.08%	3.29%	2.10%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
