Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Сибайская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	6	5	8	9	8	16	2	5	0	12	10	2	6	12	7	16	5	10	3	5	1	3	4	0	1					
14	Число неиспользованных открепительных удостоверений	407	23	16	26	13	23	8	14	23	7	8	15	18	6	10	17	21	14	13	16	26	17	30	23	14	6					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	390	11	34	25	13	16	18	17	33	10	13	7	15	18	7	19	18	25	5	22	6	17	5	25	7	4					
		1.04%	0.73%	2.14%	1.63%	0.81%	0.97%	1.00%	1.04%	2.04%	0.62%	0.79%	0.55%	1.20%	1.49%	0.48%	1.12%	0.82%	1.42%	0.29%	1.25%	0.38%	1.44%	0.29%	2.07%	0.98%	0.63%					
19	. Малышкин Олег Александрович	185	5	13	8	12	11	7	8	11	5	6	4	16	5	5	3	10	5	7	5	11	9	7	5	2	5					
		0.49%	0.33%	0.82%	0.52%	0.75%	0.67%	0.39%	0.49%	0.68%	0.31%	0.37%	0.32%	1.29%	0.41%	0.34%	0.18%	0.46%	0.28%	0.40%	0.29%	0.70%	0.76%	0.41%	0.41%	0.28%	0.79%					
20	. Миронов Сергей Михайлович	139	3	5	4	10	3	12	9	0	4	5	4	17	2	4	5	9	9	3	9	5	6	2	4	3	2					
		0.37%	0.20%	0.31%	0.26%	0.62%	0.18%	0.67%	0.55%	0.00%	0.25%	0.31%	0.32%	1.37%	0.17%	0.27%	0.29%	0.41%	0.51%	0.17%	0.51%	0.32%	0.51%	0.12%	0.33%	0.42%	0.32%					
21	. Путин Владимир Владимирович	35009	1386	1432	1433	1531	1564	1696	1523	1538	1493	1556	1177	1172	1097	1379	1586	2037	1620	1682	1648	1498	1001	1657	1101	665	537					
		93.19%	92.46%	89.95%	93.23%	95.09%	94.56%	94.12%	92.98%	95.00%	92.96%	95.05%	93.04%	94.14%	90.51%	93.81%	93.18%	93.10%	92.05%	96.44%	93.96%	95.17%	84.97%	96.00%	90.99%	93.27%	85.10%					
22	. Хакамада Ирина Муцуовна	368	5	31	26	6	8	11	14	15	22	11	13	11	16	6	16	25	21	15	20	9	24	8	14	11	10					
		0.98%	0.33%	1.95%	1.69%	0.37%	0.48%	0.61%	0.85%	0.93%	1.37%	0.67%	1.03%	0.88%	1.32%	0.41%	0.94%	1.14%	1.19%	0.86%	1.14%	0.57%	2.04%	0.46%	1.16%	1.54%	1.58%					
23	. Харитонов Николай Михайлович	1066	76	50	23	20	38	37	59	12	67	35	50	5	63	37	41	61	62	14	37	29	105	19	42	20	64					
		2.84%	5.07%	3.14%	1.50%	1.24%	2.30%	2.05%	3.60%	0.74%	4.17%	2.14%	3.95%	0.40%	5.20%	2.52%	2.41%	2.79%	3.52%	0.80%	2.11%	1.84%	8.91%	1.10%	3.47%	2.81%	10.14%					
																																
24	Против всех	200	5	13	9	5	8	13	5	6	2	8	5	6	7	5	4	25	0	10	10	8	11	17	15	2	1					
		0.53%	0.33%	0.82%	0.59%	0.31%	0.48%	0.72%	0.31%	0.37%	0.12%	0.49%	0.40%	0.48%	0.58%	0.34%	0.24%	1.14%	0.00%	0.57%	0.57%	0.51%	0.93%	0.98%	1.24%	0.28%	0.16%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
