Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Заиграевская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189					
11	Число полученных открепительных  удостоверений	1297	77	60	15	50	80	30	25	40	5	35	25	65	70	10	20	45	70	70	30	55	15	15	10	5	10	20	10	30	40	25	5	35	25	15	25	15	15	45	10	20	30					
12	Число выданных открепительных удостоверений	472	32	20	6	13	45	15	25	24	0	23	21	17	16	2	15	18	25	14	4	6	15	1	1	0	0	7	1	7	11	4	0	11	5	4	22	4	2	8	8	6	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	249	11	15	5	9	24	2	4	10	1	4	7	11	5	4	5	13	10	30	4	3	4	1	0	3	0	2	0	2	7	8	2	7	0	0	4	2	2	6	0	10	12					
14	Число неиспользованных открепительных удостоверений	825	45	40	9	37	35	15	0	16	5	12	4	48	54	8	5	27	45	56	26	49	0	14	9	5	10	13	9	23	29	21	5	24	20	11	3	11	13	37	2	14	16					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	624	31	30	10	24	27	24	8	9	1	14	8	41	32	4	4	31	37	36	26	35	9	5	3	0	3	8	1	20	15	8	1	29	8	3	12	9	8	17	2	12	19					
		2.60%	2.31%	2.94%	2.91%	3.16%	1.79%	3.77%	1.62%	1.19%	1.49%	1.87%	1.90%	4.08%	2.76%	1.65%	1.44%	2.95%	3.68%	2.81%	4.50%	3.55%	2.50%	1.47%	1.85%	0.00%	1.88%	2.29%	0.59%	2.81%	2.20%	1.43%	1.49%	4.02%	1.63%	1.03%	2.06%	2.81%	3.65%	1.99%	2.41%	2.24%	3.45%					
19	. Малышкин Олег Александрович	417	26	18	4	10	44	15	13	22	2	17	3	21	18	4	1	16	11	14	15	24	8	1	2	1	1	11	5	16	11	2	0	3	13	0	4	0	5	9	4	12	11					
		1.74%	1.94%	1.77%	1.16%	1.32%	2.92%	2.35%	2.64%	2.92%	2.99%	2.28%	0.71%	2.09%	1.55%	1.65%	0.36%	1.52%	1.09%	1.09%	2.60%	2.44%	2.22%	0.29%	1.23%	0.79%	0.62%	3.14%	2.94%	2.25%	1.61%	0.36%	0.00%	0.42%	2.64%	0.00%	0.69%	0.00%	2.28%	1.05%	4.82%	2.24%	2.00%					
20	. Миронов Сергей Михайлович	186	10	9	2	7	12	7	5	6	2	6	1	6	8	3	2	6	6	6	4	15	8	4	2	1	0	1	0	6	12	8	0	3	0	4	4	0	0	7	0	1	2					
		0.77%	0.74%	0.88%	0.58%	0.92%	0.80%	1.10%	1.01%	0.80%	2.99%	0.80%	0.24%	0.60%	0.69%	1.24%	0.72%	0.57%	0.60%	0.47%	0.69%	1.52%	2.22%	1.17%	1.23%	0.79%	0.00%	0.29%	0.00%	0.84%	1.76%	1.43%	0.00%	0.42%	0.00%	1.37%	0.69%	0.00%	0.00%	0.82%	0.00%	0.19%	0.36%					
21	. Путин Владимир Владимирович	16672	977	714	267	522	1011	429	318	527	33	454	296	692	712	182	210	695	748	929	373	563	253	260	118	94	142	243	118	542	476	465	58	482	341	209	431	188	139	571	50	442	398					
		69.42%	72.75%	70.07%	77.62%	68.68%	67.09%	67.35%	64.50%	69.89%	49.25%	60.78%	70.31%	68.79%	61.38%	75.21%	75.81%	66.19%	74.43%	72.52%	64.53%	57.16%	70.28%	76.25%	72.84%	74.60%	88.75%	69.43%	69.41%	76.12%	69.69%	83.04%	86.57%	66.85%	69.31%	71.82%	73.93%	58.75%	63.47%	66.86%	60.24%	82.62%	72.23%					
22	. Хакамада Ирина Муцуовна	946	75	44	8	28	69	29	17	17	2	23	19	20	38	3	24	30	27	33	16	22	21	6	2	5	2	2	4	9	21	23	1	114	17	53	47	3	5	19	6	21	21					
		3.94%	5.58%	4.32%	2.33%	3.68%	4.58%	4.55%	3.45%	2.25%	2.99%	3.08%	4.51%	1.99%	3.28%	1.24%	8.66%	2.86%	2.69%	2.58%	2.77%	2.23%	5.83%	1.76%	1.23%	3.97%	1.25%	0.57%	2.35%	1.26%	3.07%	4.11%	1.49%	15.81%	3.46%	18.21%	8.06%	0.94%	2.28%	2.22%	7.23%	3.93%	3.81%					
23	. Харитонов Николай Михайлович	4365	185	178	41	138	272	78	105	137	27	205	64	202	314	43	34	225	143	241	124	268	54	58	35	21	9	75	40	97	136	51	5	73	102	15	80	109	59	198	16	28	80					
		18.18%	13.78%	17.47%	11.92%	18.16%	18.05%	12.24%	21.30%	18.17%	40.30%	27.44%	15.20%	20.08%	27.07%	17.77%	12.27%	21.43%	14.23%	18.81%	21.45%	27.21%	15.00%	17.01%	21.60%	16.67%	5.62%	21.43%	23.53%	13.62%	19.91%	9.11%	7.46%	10.12%	20.73%	5.15%	13.72%	34.06%	26.94%	23.19%	19.28%	5.23%	14.52%					
																																																
24	Против всех	426	24	11	9	13	48	47	13	19	0	8	11	10	17	3	2	24	9	12	12	28	5	2	0	1	1	2	2	11	11	3	2	12	11	3	1	2	1	7	1	17	11					
		1.77%	1.79%	1.08%	2.62%	1.71%	3.19%	7.38%	2.64%	2.52%	0.00%	1.07%	2.61%	0.99%	1.47%	1.24%	0.72%	2.29%	0.90%	0.94%	2.08%	2.84%	1.39%	0.59%	0.00%	0.79%	0.62%	0.57%	1.18%	1.54%	1.61%	0.54%	2.99%	1.66%	2.24%	1.03%	0.17%	0.62%	0.46%	0.82%	1.20%	3.18%	2.00%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
