Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Ишимская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
11	Число полученных открепительных  удостоверений	495	15	5	10	5	10	15	10	5	5	5	5	5	10	5	5	5	10	30	10	10	5	10	5	10	5	10	10	5	10	5	30	5	10	5	5	10	5	15	10	5	10	5	5	20	20	10	5	5	10	5	5	5	10	5	5	10	5					
12	Число выданных открепительных удостоверений	163	5	0	1	0	3	15	6	0	0	0	0	4	5	1	1	0	6	22	1	1	0	6	0	7	0	0	0	0	1	0	23	0	5	0	0	4	0	5	2	0	2	2	5	8	11	1	0	3	4	0	1	0	0	0	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	151	3	1	2	2	4	6	2	0	2	0	1	1	1	1	1	1	1	10	4	5	2	2	0	5	4	3	2	3	5	2	6	1	5	0	1	3	1	5	7	0	3	3	3	8	0	4	2	0	6	1	1	0	3	2	4	3	3					
14	Число неиспользованных открепительных удостоверений	332	10	5	9	5	7	0	4	5	5	5	5	1	5	4	4	5	4	8	9	9	5	4	5	3	5	10	10	5	9	5	7	5	5	5	5	6	5	10	8	5	8	3	0	12	9	9	5	2	6	5	4	5	10	5	5	8	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	211	2	9	1	2	2	5	6	0	1	1	2	4	5	4	1	6	6	19	5	3	2	7	1	15	1	4	6	4	9	0	5	0	2	0	4	0	2	10	4	2	1	1	3	15	12	0	2	2	2	1	0	0	0	0	7	1	2					
		0.88%	0.36%	4.33%	0.32%	0.79%	0.48%	0.72%	1.31%	0.00%	0.33%	0.40%	0.97%	2.48%	1.66%	1.48%	1.10%	2.22%	2.08%	1.64%	0.83%	0.54%	1.38%	1.24%	0.48%	1.81%	0.65%	0.71%	0.81%	2.37%	1.91%	0.00%	0.50%	0.00%	0.45%	0.00%	1.86%	0.00%	0.56%	1.68%	0.62%	1.80%	0.24%	0.43%	1.71%	1.00%	0.70%	0.00%	0.86%	0.35%	0.24%	0.69%	0.00%	0.00%	0.00%	0.00%	3.43%	0.18%	0.59%					
19	. Малышкин Олег Александрович	268	2	4	5	1	5	9	14	1	5	4	3	1	2	2	5	5	9	12	7	4	6	8	2	20	2	7	15	4	9	2	3	1	3	0	4	2	3	8	10	0	1	2	0	10	8	3	7	2	4	2	0	1	5	0	8	3	3					
		1.12%	0.36%	1.92%	1.58%	0.40%	1.19%	1.30%	3.06%	1.02%	1.66%	1.60%	1.46%	0.62%	0.66%	0.74%	5.49%	1.85%	3.11%	1.04%	1.16%	0.72%	4.14%	1.42%	0.96%	2.41%	1.31%	1.23%	2.03%	2.37%	1.91%	1.50%	0.30%	0.35%	0.67%	0.00%	1.86%	0.39%	0.83%	1.34%	1.56%	0.00%	0.24%	0.87%	0.00%	0.67%	0.47%	0.99%	3.02%	0.35%	0.49%	1.38%	0.00%	0.60%	1.03%	0.00%	3.92%	0.53%	0.89%					
20	. Миронов Сергей Михайлович	86	3	1	3	0	2	5	1	0	1	0	0	0	1	0	0	3	2	7	2	2	0	2	1	3	0	2	7	1	0	2	1	0	3	0	2	2	3	3	4	1	1	1	1	2	2	1	0	1	2	1	0	1	1	1	0	1	0					
		0.36%	0.54%	0.48%	0.95%	0.00%	0.48%	0.72%	0.22%	0.00%	0.33%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	1.11%	0.69%	0.61%	0.33%	0.36%	0.00%	0.36%	0.48%	0.36%	0.00%	0.35%	0.95%	0.59%	0.00%	1.50%	0.10%	0.00%	0.67%	0.00%	0.93%	0.39%	0.83%	0.50%	0.62%	0.90%	0.24%	0.43%	0.57%	0.13%	0.12%	0.33%	0.00%	0.18%	0.24%	0.69%	0.00%	0.60%	0.21%	0.71%	0.00%	0.18%	0.00%					
21	. Путин Владимир Владимирович	22109	528	174	251	226	386	642	417	82	285	238	190	148	277	244	67	245	264	1037	545	542	126	516	196	748	132	528	636	149	434	125	898	281	430	114	198	504	338	526	593	103	405	210	133	1433	1636	284	221	549	768	134	174	160	466	137	177	540	319					
		92.53%	95.14%	83.65%	79.18%	89.68%	92.12%	93.04%	91.05%	83.67%	94.37%	95.20%	92.23%	91.93%	92.03%	90.37%	73.63%	90.74%	91.35%	89.71%	90.68%	96.96%	86.90%	91.65%	94.23%	90.12%	86.27%	93.12%	85.95%	88.17%	91.95%	93.98%	90.52%	98.25%	95.77%	97.44%	92.09%	97.11%	93.89%	88.11%	92.66%	92.79%	95.52%	90.91%	76.00%	95.98%	96.01%	94.04%	95.26%	96.15%	94.00%	92.41%	97.75%	95.24%	96.28%	97.86%	86.76%	95.07%	94.38%					
22	. Хакамада Ирина Муцуовна	149	5	2	4	2	2	5	3	2	1	0	3	1	4	2	1	3	4	12	6	2	3	3	1	14	3	3	10	0	3	0	2	0	1	1	0	2	2	7	3	2	0	0	1	2	3	3	2	3	3	0	0	1	1	1	3	1	1					
		0.62%	0.90%	0.96%	1.26%	0.79%	0.48%	0.72%	0.66%	2.04%	0.33%	0.00%	1.46%	0.62%	1.33%	0.74%	1.10%	1.11%	1.38%	1.04%	1.00%	0.36%	2.07%	0.53%	0.48%	1.69%	1.96%	0.53%	1.35%	0.00%	0.64%	0.00%	0.20%	0.00%	0.22%	0.85%	0.00%	0.39%	0.56%	1.17%	0.47%	1.80%	0.00%	0.00%	0.57%	0.13%	0.18%	0.99%	0.86%	0.53%	0.37%	0.00%	0.00%	0.60%	0.21%	0.71%	1.47%	0.18%	0.30%					
23	. Харитонов Николай Михайлович	844	13	16	51	18	21	20	11	12	9	7	4	5	10	12	15	6	3	26	36	6	8	24	5	22	14	19	53	8	15	3	75	4	4	2	7	4	4	27	11	3	14	10	30	24	42	11	0	12	29	5	4	5	10	0	7	18	10					
		3.53%	2.34%	7.69%	16.09%	7.14%	5.01%	2.90%	2.40%	12.24%	2.98%	2.80%	1.94%	3.11%	3.32%	4.44%	16.48%	2.22%	1.04%	2.25%	5.99%	1.07%	5.52%	4.26%	2.40%	2.65%	9.15%	3.35%	7.16%	4.73%	3.18%	2.26%	7.56%	1.40%	0.89%	1.71%	3.26%	0.77%	1.11%	4.52%	1.72%	2.70%	3.30%	4.33%	17.14%	1.61%	2.46%	3.64%	0.00%	2.10%	3.55%	3.45%	2.25%	2.98%	2.07%	0.00%	3.43%	3.17%	2.96%					
																																																																
24	Против всех	164	2	2	1	3	0	4	6	1	0	0	4	2	2	6	1	0	0	18	0	0	0	3	2	6	1	4	9	1	2	1	7	0	5	0	0	5	4	16	9	0	0	4	5	7	1	0	0	2	6	2	0	0	1	1	2	3	3					
		0.69%	0.36%	0.96%	0.32%	1.19%	0.00%	0.58%	1.31%	1.02%	0.00%	0.00%	1.94%	1.24%	0.66%	2.22%	1.10%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.53%	0.96%	0.72%	0.65%	0.71%	1.22%	0.59%	0.42%	0.75%	0.71%	0.00%	1.11%	0.00%	0.00%	0.96%	1.11%	2.68%	1.41%	0.00%	0.00%	1.73%	2.86%	0.47%	0.06%	0.00%	0.00%	0.35%	0.73%	1.38%	0.00%	0.00%	0.21%	0.71%	0.98%	0.53%	0.89%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
