Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Шацкая																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075					
		0.68%	0.46%	1.08%	1.95%	3.49%	2.33%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	1.02%	0.29%	0.52%	0.91%	0.00%	1.96%	0.90%	0.00%	0.33%	0.46%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	1.04%	0.00%	3.17%	2.15%	0.45%	0.40%	0.61%	0.00%	0.40%	0.58%	1.89%	1.54%	2.02%	0.55%	0.00%	1.49%	0.00%	4.71%	0.68%	0.78%	1.91%	0.42%	1.01%	0.79%	0.46%	0.59%	0.63%	0.69%	0.00%	0.44%	0.00%					
21	. Путин Владимир Владимирович	12017	153	300	128	59	70	142	270	177	97	284	58	147	534	422	163	52	47	354	46	232	175	221	143	342	93	253	169	140	65	98	131	158	184	270	197	176	402	133	37	64	139	42	125	82	65	125	93	156	344	418	111	618	758	572	628	140	325	90					
		75.07%	70.51%	81.08%	83.12%	68.60%	81.40%	85.03%	74.38%	78.32%	71.32%	84.27%	81.69%	75.00%	77.50%	73.26%	74.09%	89.66%	92.16%	79.55%	66.67%	77.08%	80.65%	83.08%	80.79%	79.53%	90.29%	79.81%	66.54%	72.54%	69.89%	77.78%	56.22%	71.82%	74.19%	82.32%	75.19%	69.84%	77.61%	62.74%	56.92%	64.65%	76.37%	79.25%	62.19%	80.39%	76.47%	84.46%	72.09%	74.64%	72.12%	70.37%	88.10%	71.53%	74.02%	72.59%	72.35%	86.96%	72.22%	78.26%					
22	. Хакамада Ирина Муцуовна	183	2	1	0	1	0	2	3	0	2	3	0	2	7	15	1	0	0	3	0	2	1	1	1	4	3	5	2	2	0	3	3	2	0	3	3	2	7	1	1	0	2	0	3	1	1	0	0	0	13	10	0	19	11	14	15	1	3	2					
		1.14%	0.92%	0.27%	0.00%	1.16%	0.00%	1.20%	0.83%	0.00%	1.47%	0.89%	0.00%	1.02%	1.02%	2.60%	0.45%	0.00%	0.00%	0.67%	0.00%	0.66%	0.46%	0.38%	0.56%	0.93%	2.91%	1.58%	0.79%	1.04%	0.00%	2.38%	1.29%	0.91%	0.00%	0.91%	1.15%	0.79%	1.35%	0.47%	1.54%	0.00%	1.10%	0.00%	1.49%	0.98%	1.18%	0.00%	0.00%	0.00%	2.73%	1.68%	0.00%	2.20%	1.07%	1.78%	1.73%	0.62%	0.67%	1.74%					
23	. Харитонов Николай Михайлович	2651	49	43	17	17	12	15	72	33	25	31	12	35	100	102	44	5	3	58	20	42	29	28	24	63	4	40	62	39	21	17	74	50	58	39	52	65	75	63	23	28	28	10	60	18	14	15	27	44	75	106	12	141	144	119	128	11	94	16					
		16.56%	22.58%	11.62%	11.04%	19.77%	13.95%	8.98%	19.83%	14.60%	18.38%	9.20%	16.90%	17.86%	14.51%	17.71%	20.00%	8.62%	5.88%	13.03%	28.99%	13.95%	13.36%	10.53%	13.56%	14.65%	3.88%	12.62%	24.41%	20.21%	22.58%	13.49%	31.76%	22.73%	23.39%	11.89%	19.85%	25.79%	14.48%	29.72%	35.38%	28.28%	15.38%	18.87%	29.85%	17.65%	16.47%	10.14%	20.93%	21.05%	15.72%	17.85%	9.52%	16.32%	14.06%	15.10%	14.75%	6.83%	20.89%	13.91%					
																																																																	
24	Против всех	298	7	7	3	5	1	1	5	3	2	4	0	3	8	13	2	0	0	9	0	5	5	5	2	5	0	5	7	3	2	0	7	5	0	1	6	3	2	3	0	1	4	0	3	1	0	1	1	2	11	15	0	28	26	26	32	4	4	0					
		1.86%	3.23%	1.89%	1.95%	5.81%	1.16%	0.60%	1.38%	1.33%	1.47%	1.19%	0.00%	1.53%	1.16%	2.26%	0.91%	0.00%	0.00%	2.02%	0.00%	1.66%	2.30%	1.88%	1.13%	1.16%	0.00%	1.58%	2.76%	1.55%	2.15%	0.00%	3.00%	2.27%	0.00%	0.30%	2.29%	1.19%	0.39%	1.42%	0.00%	1.01%	2.20%	0.00%	1.49%	0.98%	0.00%	0.68%	0.78%	0.96%	2.31%	2.53%	0.00%	3.24%	2.54%	3.30%	3.69%	2.48%	0.89%	0.00%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
