Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Усть-Донецкая																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
12	Число выданных открепительных удостоверений	615	3	15	20	39	28	12	10	7	3	20	95	78	100	5	38	7	30	5	30	20	15	10	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	211	5	2	13	10	20	16	7	4	11	7	23	11	21	4	8	3	13	4	6	10	3	3	7					
14	Число неиспользованных открепительных удостоверений	31	0	0	0	0	0	13	0	0	4	0	0	12	0	0	2	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	283	0	2	18	11	5	11	2	2	0	21	8	9	55	9	46	9	47	5	2	1	4	5	11					
		1.50%	0.00%	0.40%	1.95%	0.88%	0.57%	1.09%	0.70%	0.85%	0.00%	3.33%	0.37%	0.40%	2.43%	3.90%	3.32%	3.12%	4.45%	1.43%	0.31%	0.23%	1.15%	1.15%	1.20%					
19	. Малышкин Олег Александрович	255	2	5	11	6	11	10	2	5	5	17	10	18	11	4	54	15	32	11	3	3	2	9	9					
		1.35%	0.99%	1.01%	1.19%	0.48%	1.26%	0.99%	0.70%	2.12%	2.58%	2.69%	0.46%	0.79%	0.49%	1.73%	3.90%	5.21%	3.03%	3.15%	0.47%	0.69%	0.57%	2.07%	0.98%					
20	. Миронов Сергей Михайлович	83	0	2	6	7	5	1	1	1	2	12	7	3	6	0	12	2	2	1	1	1	5	1	5					
		0.44%	0.00%	0.40%	0.65%	0.56%	0.57%	0.10%	0.35%	0.42%	1.03%	1.90%	0.32%	0.13%	0.26%	0.00%	0.87%	0.69%	0.19%	0.29%	0.16%	0.23%	1.43%	0.23%	0.55%					
21	. Путин Владимир Владимирович	15641	183	466	811	1129	821	910	260	212	141	435	1861	1927	1952	192	923	192	724	274	449	406	312	400	661					
		82.86%	90.59%	94.14%	87.68%	90.10%	93.94%	90.28%	90.59%	89.83%	72.68%	68.94%	86.40%	84.96%	86.14%	83.12%	66.64%	66.67%	68.63%	78.51%	70.16%	92.91%	89.40%	91.95%	72.32%					
22	. Хакамада Ирина Муцуовна	156	0	3	8	12	7	6	2	1	2	11	12	8	9	3	27	7	20	5	2	2	3	4	2					
		0.83%	0.00%	0.61%	0.86%	0.96%	0.80%	0.60%	0.70%	0.42%	1.03%	1.74%	0.56%	0.35%	0.40%	1.30%	1.95%	2.43%	1.90%	1.43%	0.31%	0.46%	0.86%	0.92%	0.22%					
23	. Харитонов Николай Михайлович	2174	16	13	52	58	14	53	18	14	38	113	229	281	222	19	279	53	214	41	180	17	19	12	219					
		11.52%	7.92%	2.63%	5.62%	4.63%	1.60%	5.26%	6.27%	5.93%	19.59%	17.91%	10.63%	12.39%	9.80%	8.23%	20.14%	18.40%	20.28%	11.75%	28.12%	3.89%	5.44%	2.76%	23.96%					
																														
24	Против всех	170	1	3	11	12	8	10	0	1	4	12	12	17	4	2	32	8	9	8	0	2	3	4	7					
		0.90%	0.50%	0.61%	1.19%	0.96%	0.92%	0.99%	0.00%	0.42%	2.06%	1.90%	0.56%	0.75%	0.18%	0.87%	2.31%	2.78%	0.85%	2.29%	0.00%	0.46%	0.86%	0.92%	0.77%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
