Выборы Президента Российской Федерации																																																																									
																																																																									
Наименование Избирательной комиссии:    Красногорская																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075					
18	. Глазьев Сергей Юрьевич	4793	64	70	86	70	90	105	76	66	98	92	100	100	113	52	131	79	64	67	146	127	124	103	63	82	71	67	82	63	52	76	69	102	56	125	5	29	73	90	113	104	80	53	58	79	57	69	43	91	52	86	56	18	42	71	72	43	70	18	102	29	55	60	33	25	60	26					
		7.02%	8.08%	5.97%	7.67%	8.43%	7.86%	8.80%	6.15%	7.60%	8.14%	7.32%	7.30%	7.74%	9.36%	7.07%	8.78%	7.07%	6.21%	5.23%	8.59%	7.72%	7.88%	7.06%	6.73%	7.37%	6.15%	6.16%	7.54%	7.41%	5.59%	6.52%	6.65%	7.63%	6.80%	7.62%	1.94%	4.64%	5.71%	6.92%	8.38%	6.71%	7.98%	5.21%	4.40%	5.39%	5.78%	6.55%	5.56%	8.36%	6.23%	6.55%	7.26%	6.16%	4.31%	7.68%	7.74%	7.29%	7.79%	5.88%	8.76%	4.50%	8.70%	7.86%	4.58%	8.59%	7.53%	5.62%					
19	. Малышкин Олег Александрович	921	4	24	19	4	12	11	13	9	22	16	15	20	15	12	17	14	3	17	17	20	17	15	9	20	24	13	13	13	18	13	9	18	9	19	3	5	18	26	20	26	22	17	26	15	15	17	11	19	14	22	13	6	9	10	11	8	10	9	18	9	9	6	7	6	16	4					
		1.35%	0.51%	2.05%	1.69%	0.48%	1.05%	0.92%	1.05%	1.04%	1.83%	1.27%	1.09%	1.55%	1.24%	1.63%	1.14%	1.25%	0.29%	1.33%	1.00%	1.22%	1.08%	1.03%	0.96%	1.80%	2.08%	1.20%	1.20%	1.53%	1.93%	1.11%	0.87%	1.35%	1.09%	1.16%	1.16%	0.80%	1.41%	2.00%	1.48%	1.68%	2.20%	1.67%	1.97%	1.02%	1.52%	1.61%	1.42%	1.75%	1.68%	1.68%	1.69%	2.05%	0.92%	1.08%	1.18%	1.36%	1.11%	2.94%	1.55%	1.40%	1.42%	0.79%	0.97%	2.06%	2.01%	0.86%					
20	. Миронов Сергей Михайлович	429	6	9	0	5	8	10	9	6	11	10	12	9	4	2	7	4	3	5	9	6	7	13	9	5	2	4	7	5	2	9	6	10	7	16	2	6	7	4	5	8	5	25	8	9	6	12	8	9	6	8	1	1	6	6	6	3	4	2	5	6	7	6	4	2	4	1					
		0.63%	0.76%	0.77%	0.00%	0.60%	0.70%	0.84%	0.73%	0.69%	0.91%	0.80%	0.88%	0.70%	0.33%	0.27%	0.47%	0.36%	0.29%	0.39%	0.53%	0.36%	0.44%	0.89%	0.96%	0.45%	0.17%	0.37%	0.64%	0.59%	0.21%	0.77%	0.58%	0.75%	0.85%	0.98%	0.78%	0.96%	0.55%	0.31%	0.37%	0.52%	0.50%	2.46%	0.61%	0.61%	0.61%	1.14%	1.03%	0.83%	0.72%	0.61%	0.13%	0.34%	0.62%	0.65%	0.65%	0.51%	0.44%	0.65%	0.43%	0.93%	1.11%	0.79%	0.56%	0.69%	0.50%	0.22%					
21	. Путин Владимир Владимирович	46969	533	830	788	585	773	778	902	587	801	892	944	884	770	507	977	738	743	884	1117	1089	1008	949	625	742	787	759	740	584	677	774	710	899	608	1015	229	461	912	910	865	1162	690	709	1005	1021	678	725	607	734	606	878	523	200	763	600	663	390	641	214	731	456	397	520	553	211	577	339					
		68.82%	67.30%	70.82%	70.29%	70.48%	67.51%	65.21%	72.98%	67.63%	66.53%	71.02%	68.91%	68.42%	63.79%	68.98%	65.48%	66.01%	72.14%	69.06%	65.71%	66.16%	64.04%	65.09%	66.77%	66.67%	68.14%	69.83%	68.08%	68.71%	72.72%	66.38%	68.47%	67.29%	73.88%	61.89%	88.76%	73.76%	71.31%	70.00%	64.17%	75.02%	68.86%	69.71%	76.25%	69.65%	68.76%	68.79%	78.42%	67.46%	72.57%	66.87%	67.83%	68.49%	78.34%	64.86%	71.29%	66.10%	71.30%	69.93%	62.75%	70.81%	62.82%	68.15%	76.81%	72.51%	72.40%	73.22%					
22	. Хакамада Ирина Муцуовна	3854	51	74	60	39	57	89	54	35	69	72	76	90	84	44	107	78	53	81	111	117	99	88	59	54	84	65	63	50	36	70	69	101	47	98	4	15	76	38	83	70	66	47	52	79	52	65	26	48	49	90	48	8	39	76	39	35	25	16	60	46	63	43	26	10	27	9					
		5.65%	6.44%	6.31%	5.35%	4.70%	4.98%	7.46%	4.37%	4.03%	5.73%	5.73%	5.55%	6.97%	6.96%	5.99%	7.17%	6.98%	5.15%	6.33%	6.53%	7.11%	6.29%	6.04%	6.30%	4.85%	7.27%	5.98%	5.80%	5.88%	3.87%	6.00%	6.65%	7.56%	5.71%	5.98%	1.55%	2.40%	5.94%	2.92%	6.16%	4.52%	6.59%	4.62%	3.95%	5.39%	5.27%	6.17%	3.36%	4.41%	5.87%	6.85%	6.23%	2.74%	4.00%	8.22%	4.19%	5.93%	2.78%	5.23%	5.15%	7.14%	9.97%	5.64%	3.61%	3.44%	3.39%	1.94%					
23	. Харитонов Николай Михайлович	6648	79	68	87	64	118	143	113	93	125	79	126	102	142	61	150	134	102	128	189	193	183	191	106	133	122	108	100	79	82	145	92	106	47	235	7	82	114	143	191	57	62	101	98	149	115	73	39	123	73	151	78	40	50	98	86	60	101	27	151	44	58	80	56	21	44	51					
		9.74%	9.97%	5.80%	7.76%	7.71%	10.31%	11.99%	9.14%	10.71%	10.38%	6.29%	9.20%	7.89%	11.76%	8.30%	10.05%	11.99%	9.90%	10.00%	11.12%	11.73%	11.63%	13.10%	11.32%	11.95%	10.56%	9.94%	9.20%	9.29%	8.81%	12.44%	8.87%	7.93%	5.71%	14.33%	2.71%	13.12%	8.91%	11.00%	14.17%	3.68%	6.19%	9.93%	7.44%	10.16%	11.66%	6.93%	5.04%	11.31%	8.74%	11.50%	10.12%	13.70%	5.13%	10.59%	9.25%	10.17%	11.23%	8.82%	12.96%	6.83%	9.18%	10.48%	7.78%	7.22%	5.52%	11.02%					
																																																																									
24	Против всех	4140	48	94	76	60	74	54	63	64	71	90	90	81	68	52	96	63	57	87	104	89	118	93	59	67	59	53	80	48	59	52	73	97	47	120	6	22	69	81	70	117	75	58	60	103	55	89	35	51	27	71	41	15	62	45	46	44	44	17	76	42	40	48	34	12	52	27					
		6.07%	6.06%	8.02%	6.78%	7.23%	6.46%	4.53%	5.10%	7.37%	5.90%	7.17%	6.57%	6.27%	5.63%	7.07%	6.43%	5.64%	5.53%	6.80%	6.12%	5.41%	7.50%	6.38%	6.30%	6.02%	5.11%	4.88%	7.36%	5.65%	6.34%	4.46%	7.04%	7.26%	5.71%	7.32%	2.33%	3.52%	5.39%	6.23%	5.19%	7.55%	7.49%	5.70%	4.55%	7.03%	5.58%	8.44%	4.52%	4.69%	3.23%	5.41%	5.32%	5.14%	6.37%	4.86%	4.95%	7.46%	4.89%	5.56%	6.52%	6.52%	6.33%	6.29%	4.72%	4.12%	6.52%	5.83%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
