Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Коркинская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960					
		5.13%	4.93%	4.93%	4.34%	5.71%	6.40%	4.56%	4.59%	3.95%	3.29%	4.63%	4.40%	7.40%	4.70%	6.92%	6.28%	5.69%	5.86%	6.77%	4.30%	4.39%	6.82%	2.74%	5.32%	5.76%	6.42%	3.62%	6.02%	6.14%	9.55%	9.21%	3.17%	5.36%	4.49%	3.58%	3.57%	5.23%					
20	. Миронов Сергей Михайлович	276	14	7	9	8	13	7	6	10	13	5	10	4	12	5	3	13	8	3	3	6	11	3	10	10	6	6	10	5	0	6	0	12	9	10	6	13					
		0.81%	1.30%	0.62%	0.83%	0.63%	1.03%	0.63%	0.49%	0.73%	1.10%	0.41%	0.81%	0.35%	0.96%	0.82%	0.63%	1.27%	0.94%	0.92%	0.50%	1.15%	1.53%	0.68%	0.89%	0.90%	0.51%	0.52%	1.20%	0.81%	0.00%	0.95%	0.00%	1.26%	0.79%	0.83%	0.50%	1.00%					
21	. Путин Владимир Владимирович	21221	651	740	674	742	748	727	767	857	711	720	733	707	725	382	311	629	519	195	383	335	441	339	646	660	679	690	480	393	98	404	128	631	742	872	858	904					
		62.52%	60.56%	65.08%	62.29%	58.80%	59.13%	64.97%	62.92%	62.69%	59.90%	58.49%	59.69%	62.29%	57.77%	62.93%	65.06%	61.67%	60.84%	60.00%	63.41%	63.93%	61.34%	77.40%	57.32%	59.35%	58.13%	59.53%	57.76%	63.49%	62.42%	64.13%	57.92%	66.28%	65.37%	72.61%	71.32%	69.59%					
22	. Хакамада Ирина Муцуовна	1046	36	43	37	67	46	39	51	37	59	37	43	32	46	9	13	20	23	9	18	15	11	9	23	35	29	28	27	18	2	13	6	24	41	25	36	39					
		3.08%	3.35%	3.78%	3.42%	5.31%	3.64%	3.49%	4.18%	2.71%	4.97%	3.01%	3.50%	2.82%	3.67%	1.48%	2.72%	1.96%	2.70%	2.77%	2.98%	2.86%	1.53%	2.05%	2.04%	3.15%	2.48%	2.42%	3.25%	2.91%	1.27%	2.06%	2.71%	2.52%	3.61%	2.08%	2.99%	3.00%					
23	. Харитонов Николай Михайлович	6405	208	192	201	231	226	189	205	286	215	268	263	184	262	107	85	208	188	73	135	111	154	54	284	239	254	294	179	108	29	113	67	133	187	160	153	160					
		18.87%	19.35%	16.89%	18.58%	18.30%	17.87%	16.89%	16.82%	20.92%	18.11%	21.77%	21.42%	16.21%	20.88%	17.63%	17.78%	20.39%	22.04%	22.46%	22.35%	21.18%	21.42%	12.33%	25.20%	21.49%	21.75%	25.37%	21.54%	17.45%	18.47%	17.94%	30.32%	13.97%	16.48%	13.32%	12.72%	12.32%					
																																											
24	Против всех	1774	63	61	51	79	79	48	76	56	81	80	72	74	99	30	17	57	37	11	12	13	24	10	61	67	69	55	44	15	7	20	7	62	56	52	53	76					
		5.23%	5.86%	5.36%	4.71%	6.26%	6.25%	4.29%	6.23%	4.10%	6.82%	6.50%	5.86%	6.52%	7.89%	4.94%	3.56%	5.59%	4.34%	3.38%	1.99%	2.48%	3.34%	2.28%	5.41%	6.03%	5.91%	4.75%	5.29%	2.42%	4.46%	3.17%	3.17%	6.51%	4.93%	4.33%	4.41%	5.85%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
