Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Кумертауская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955					
24	Против всех	271	8	19	5	10	10	10	33	3	7	24	13	2	2	14	0	29	9	7	36	7	2	2	8	3	4	4	0					
		0.59%	0.47%	0.74%	0.21%	0.40%	0.52%	0.56%	1.84%	0.41%	0.57%	1.14%	1.59%	0.17%	0.09%	0.73%	0.00%	1.18%	0.69%	0.60%	2.51%	0.30%	0.08%	0.10%	0.38%	0.20%	0.49%	0.24%	0.00%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
