Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Камышинская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	573	1	14	9	8	11	4	0	20	6	15	2	2	1	3	14	12	6	8	4	41	12	2	12	19	36	53	36	34	34	3	1	26	29	7	17	6	9	22	32	2					
		2.85%	0.34%	1.59%	2.80%	1.58%	2.29%	1.60%	0.00%	2.95%	2.19%	3.16%	1.92%	1.55%	1.33%	3.06%	1.69%	2.31%	3.92%	1.54%	1.91%	5.42%	1.86%	1.07%	3.00%	3.42%	4.74%	5.07%	4.03%	4.80%	2.34%	0.75%	0.16%	5.13%	5.56%	5.69%	2.34%	1.06%	2.28%	3.76%	2.61%	1.43%					
19	. Малышкин Олег Александрович	619	7	30	6	12	19	10	5	17	9	23	6	1	4	7	20	12	3	33	5	24	12	13	8	18	25	44	17	18	48	11	7	9	13	9	24	7	13	14	48	8					
		3.08%	2.40%	3.41%	1.87%	2.38%	3.96%	4.00%	4.00%	2.51%	3.28%	4.84%	5.77%	0.78%	5.33%	7.14%	2.41%	2.31%	1.96%	6.35%	2.39%	3.17%	1.86%	6.95%	2.00%	3.24%	3.29%	4.21%	1.90%	2.54%	3.30%	2.76%	1.15%	1.78%	2.49%	7.32%	3.31%	1.24%	3.29%	2.39%	3.91%	5.71%					
20	. Миронов Сергей Михайлович	177	0	9	1	5	7	0	1	5	2	1	0	1	1	1	11	4	0	3	5	6	7	3	3	7	10	16	5	5	12	4	7	4	2	2	6	3	4	3	10	1					
		0.88%	0.00%	1.02%	0.31%	0.99%	1.46%	0.00%	0.80%	0.74%	0.73%	0.21%	0.00%	0.78%	1.33%	1.02%	1.33%	0.77%	0.00%	0.58%	2.39%	0.79%	1.09%	1.60%	0.75%	1.26%	1.32%	1.53%	0.56%	0.71%	0.83%	1.01%	1.15%	0.79%	0.38%	1.63%	0.83%	0.53%	1.01%	0.51%	0.81%	0.71%					
21	. Путин Владимир Владимирович	13113	227	655	239	344	267	175	92	504	170	301	81	96	48	70	614	350	90	352	146	466	410	136	271	375	488	648	490	378	1077	244	397	354	244	59	437	308	282	331	807	90					
		65.19%	77.74%	74.43%	74.45%	68.12%	55.62%	70.00%	73.60%	74.45%	62.04%	63.37%	77.88%	74.42%	64.00%	71.43%	73.98%	67.31%	58.82%	67.69%	69.86%	61.64%	63.57%	72.73%	67.75%	67.57%	64.30%	62.01%	54.81%	53.39%	74.07%	61.31%	65.30%	69.82%	46.74%	47.97%	60.28%	54.42%	71.39%	56.58%	65.77%	64.29%					
22	. Хакамада Ирина Муцуовна	524	8	28	13	11	24	6	2	13	2	27	0	5	5	3	15	13	7	11	4	36	12	0	13	21	7	36	25	13	25	2	8	17	20	1	21	15	13	13	28	1					
		2.60%	2.74%	3.18%	4.05%	2.18%	5.00%	2.40%	1.60%	1.92%	0.73%	5.68%	0.00%	3.88%	6.67%	3.06%	1.81%	2.50%	4.58%	2.12%	1.91%	4.76%	1.86%	0.00%	3.25%	3.78%	0.92%	3.44%	2.80%	1.84%	1.72%	0.50%	1.32%	3.35%	3.83%	0.81%	2.90%	2.65%	3.29%	2.22%	2.28%	0.71%					
23	. Харитонов Николай Михайлович	4553	44	105	51	110	140	54	23	109	74	87	9	20	13	12	145	117	42	103	28	162	164	26	85	106	172	220	284	242	218	128	178	79	192	44	205	214	61	194	256	37					
		22.63%	15.07%	11.93%	15.89%	21.78%	29.17%	21.60%	18.40%	16.10%	27.01%	18.32%	8.65%	15.50%	17.33%	12.24%	17.47%	22.50%	27.45%	19.81%	13.40%	21.43%	25.43%	13.90%	21.25%	19.10%	22.66%	21.05%	31.77%	34.18%	14.99%	32.16%	29.28%	15.58%	36.78%	35.77%	28.28%	37.81%	15.44%	33.16%	20.86%	26.43%					
																																															
24	Против всех	367	2	31	2	10	3	1	1	7	5	15	6	0	2	0	4	9	1	3	13	15	21	3	7	5	12	22	31	7	28	3	7	8	16	1	3	11	6	8	37	1					
		1.82%	0.68%	3.52%	0.62%	1.98%	0.62%	0.40%	0.80%	1.03%	1.82%	3.16%	5.77%	0.00%	2.67%	0.00%	0.48%	1.73%	0.65%	0.58%	6.22%	1.98%	3.26%	1.60%	1.75%	0.90%	1.58%	2.11%	3.47%	0.99%	1.93%	0.75%	1.15%	1.58%	3.07%	0.81%	0.41%	1.94%	1.52%	1.37%	3.02%	0.71%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
