Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Качугская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №1581					
		21.61%	23.77%	24.23%	24.07%	27.93%	27.51%	20.66%	23.18%	17.49%	23.49%	20.37%	22.99%	10.00%	12.82%	16.96%	15.52%	10.74%	20.80%	31.25%	20.09%	23.81%	18.18%	26.09%	32.79%	7.06%	16.82%	22.40%	18.81%	18.80%	15.49%	18.38%	29.91%	22.39%	4.94%	36.84%	25.69%	11.97%	16.91%	15.04%	4.20%	22.08%	24.16%	26.85%	13.64%	22.94%	19.14%	31.36%					
																																																					
24	Против всех	158	21	18	7	7	6	2	4	4	7	0	2	1	1	2	0	1	3	0	7	0	0	2	11	1	0	2	0	2	7	1	4	1	1	0	7	0	0	5	0	10	1	3	2	1	1	3					
		1.83%	3.70%	2.78%	4.32%	1.58%	3.17%	1.65%	1.12%	1.52%	2.49%	0.00%	2.30%	0.91%	2.56%	1.79%	0.00%	0.83%	0.48%	0.00%	3.20%	0.00%	0.00%	2.90%	3.61%	1.18%	0.00%	1.60%	0.00%	1.50%	1.90%	0.74%	1.71%	1.49%	1.23%	0.00%	3.21%	0.00%	0.00%	4.42%	0.00%	2.48%	0.67%	2.01%	1.82%	0.92%	0.48%	1.78%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
