Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ярцевская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432					
11	Число полученных открепительных  удостоверений	1252	15	25	35	30	25	115	15	15	20	40	25	15	15	15	31	20	15	15	15	15	15	15	21	15	15	15	15	15	15	15	35	85	15	15	50	45	15	55	45	45	25	25	30	40	55					
12	Число выданных открепительных удостоверений	947	12	22	22	30	23	99	3	0	15	26	13	11	8	13	25	19	9	5	4	6	14	13	17	7	1	3	8	13	11	15	25	71	13	15	20	43	15	52	32	45	17	16	30	40	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	323	10	11	11	8	7	6	4	0	19	3	12	4	8	5	9	5	2	3	8	5	14	10	8	6	3	6	9	10	22	1	0	13	3	0	6	9	12	7	15	4	11	5	6	2	1					
14	Число неиспользованных открепительных удостоверений	305	3	3	13	0	2	16	12	15	5	14	12	4	7	2	6	1	6	10	11	9	1	2	4	8	14	12	7	2	4	0	10	14	2	0	30	2	0	3	13	0	8	9	0	0	9					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	912	41	45	53	52	51	18	7	3	47	63	28	27	26	34	27	44	12	8	14	7	31	41	42	8	6	11	29	28	30	8	2	17	1	2	5	1	2	7	3	4	0	10	7	7	3					
		3.35%	4.44%	3.92%	4.58%	5.54%	5.23%	2.64%	1.73%	1.86%	4.86%	5.61%	2.30%	3.89%	3.67%	3.93%	3.03%	4.15%	2.47%	2.46%	2.01%	2.01%	3.16%	4.08%	5.40%	2.52%	1.91%	1.61%	4.63%	2.91%	3.41%	2.46%	1.21%	2.43%	1.11%	1.09%	1.35%	0.44%	1.35%	1.23%	1.05%	1.12%	0.00%	1.80%	2.46%	3.04%	0.93%					
19	. Малышкин Олег Александрович	594	19	24	30	19	30	15	3	3	32	37	35	18	9	24	13	30	5	6	14	7	16	12	10	12	6	10	10	16	17	12	8	21	3	3	5	6	5	12	11	6	1	7	6	3	3					
		2.18%	2.06%	2.09%	2.59%	2.03%	3.07%	2.20%	0.74%	1.86%	3.31%	3.29%	2.87%	2.59%	1.27%	2.77%	1.46%	2.83%	1.03%	1.85%	2.01%	2.01%	1.63%	1.19%	1.29%	3.79%	1.91%	1.47%	1.60%	1.66%	1.93%	3.69%	4.85%	3.00%	3.33%	1.63%	1.35%	2.64%	3.38%	2.11%	3.85%	1.68%	0.83%	1.26%	2.11%	1.30%	0.93%					
20	. Миронов Сергей Михайлович	230	2	9	12	5	7	4	1	0	6	5	8	8	6	6	7	9	5	8	6	4	11	10	9	6	3	6	5	6	8	7	1	9	0	2	2	0	1	10	3	1	2	6	2	0	2					
		0.84%	0.22%	0.78%	1.04%	0.53%	0.72%	0.59%	0.25%	0.00%	0.62%	0.45%	0.66%	1.15%	0.85%	0.69%	0.79%	0.85%	1.03%	2.46%	0.86%	1.15%	1.12%	0.99%	1.16%	1.89%	0.96%	0.88%	0.80%	0.62%	0.91%	2.15%	0.61%	1.29%	0.00%	1.09%	0.54%	0.00%	0.68%	1.75%	1.05%	0.28%	1.65%	1.08%	0.70%	0.00%	0.62%					
21	. Путин Владимир Владимирович	17378	617	757	758	596	642	493	343	117	674	747	923	413	398	520	526	643	304	240	428	204	597	578	428	183	194	403	368	522	497	222	109	465	71	85	214	167	92	325	202	242	97	343	216	169	246					
		63.77%	66.77%	65.88%	65.51%	63.54%	65.78%	72.39%	84.90%	72.67%	69.63%	66.52%	75.78%	59.51%	56.14%	60.12%	59.10%	60.72%	62.68%	73.85%	61.49%	58.62%	60.86%	57.46%	55.01%	57.73%	61.78%	59.09%	58.79%	54.26%	56.54%	68.31%	66.06%	66.43%	78.89%	46.20%	57.68%	73.57%	62.16%	57.02%	70.63%	67.60%	80.17%	61.80%	75.79%	73.48%	76.40%					
22	. Хакамада Ирина Муцуовна	867	43	37	41	38	49	32	8	2	31	49	43	26	32	26	28	28	19	6	26	10	20	34	20	6	9	20	19	30	37	12	2	13	1	3	3	9	7	9	5	7	2	3	10	4	8					
		3.18%	4.65%	3.22%	3.54%	4.05%	5.02%	4.70%	1.98%	1.24%	3.20%	4.36%	3.53%	3.75%	4.51%	3.01%	3.15%	2.64%	3.92%	1.85%	3.74%	2.87%	2.04%	3.38%	2.57%	1.89%	2.87%	2.93%	3.04%	3.12%	4.21%	3.69%	1.21%	1.86%	1.11%	1.63%	0.81%	3.96%	4.73%	1.58%	1.75%	1.96%	1.65%	0.54%	3.51%	1.74%	2.48%					
23	. Харитонов Николай Михайлович	6145	158	226	199	181	147	80	37	31	135	156	154	170	205	203	238	247	131	43	172	105	267	291	240	84	91	218	164	325	258	54	40	161	14	82	132	38	37	191	48	92	18	167	36	37	42					
		22.55%	17.10%	19.67%	17.20%	19.30%	15.06%	11.75%	9.16%	19.25%	13.95%	13.89%	12.64%	24.50%	28.91%	23.47%	26.74%	23.32%	27.01%	13.23%	24.71%	30.17%	27.22%	28.93%	30.85%	26.50%	28.98%	31.96%	26.20%	33.78%	29.35%	16.62%	24.24%	23.00%	15.56%	44.57%	35.58%	16.74%	25.00%	33.51%	16.78%	25.70%	14.88%	30.09%	12.63%	16.09%	13.04%					
																																																				
24	Против всех	946	38	43	57	41	45	30	4	4	38	63	21	25	22	46	39	51	9	12	31	8	31	33	28	13	3	9	30	29	26	7	1	12	0	5	8	5	3	13	13	6	1	15	5	8	15					
		3.47%	4.11%	3.74%	4.93%	4.37%	4.61%	4.41%	0.99%	2.48%	3.93%	5.61%	1.72%	3.60%	3.10%	5.32%	4.38%	4.82%	1.86%	3.69%	4.45%	2.30%	3.16%	3.28%	3.60%	4.10%	0.96%	1.32%	4.79%	3.01%	2.96%	2.15%	0.61%	1.71%	0.00%	2.72%	2.16%	2.20%	2.03%	2.28%	4.55%	1.68%	0.83%	2.70%	1.75%	3.48%	4.66%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
