Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Амурская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №450	УИК №451					
18	. Глазьев Сергей Юрьевич	2115	78	94	83	42	67	78	77	89	98	78	61	62	82	85	74	80	82	84	120	73	0	15	42	50	38	40	37	48	45	27	3	38	27	13	8	4	32	48	9	4					
		6.10%	6.34%	8.01%	7.00%	4.32%	7.07%	7.61%	7.36%	8.64%	8.51%	7.30%	6.67%	5.01%	6.75%	8.05%	5.88%	6.30%	7.30%	6.64%	8.91%	6.35%	0.00%	5.42%	4.95%	5.43%	5.03%	4.60%	4.78%	5.98%	4.20%	4.70%	1.72%	4.00%	2.79%	5.73%	1.44%	1.67%	6.18%	4.51%	5.14%	3.85%					
19	. Малышкин Олег Александрович	1296	49	27	38	33	33	24	37	22	32	45	38	44	50	55	53	55	32	45	59	48	4	5	54	30	28	46	24	31	44	41	3	28	42	5	17	4	11	49	9	2					
		3.74%	3.98%	2.30%	3.21%	3.40%	3.48%	2.34%	3.54%	2.14%	2.78%	4.21%	4.15%	3.55%	4.12%	5.21%	4.21%	4.33%	2.85%	3.56%	4.38%	4.18%	2.48%	1.81%	6.37%	3.26%	3.70%	5.29%	3.10%	3.86%	4.11%	7.13%	1.72%	2.95%	4.34%	2.20%	3.05%	1.67%	2.12%	4.60%	5.14%	1.92%					
20	. Миронов Сергей Михайлович	418	9	12	18	12	19	13	13	17	15	17	15	14	13	12	13	15	14	23	10	20	2	2	6	12	5	8	12	8	7	2	2	7	9	5	6	1	13	14	2	1					
		1.20%	0.73%	1.02%	1.52%	1.23%	2.00%	1.27%	1.24%	1.65%	1.30%	1.59%	1.64%	1.13%	1.07%	1.14%	1.03%	1.18%	1.25%	1.82%	0.74%	1.74%	1.24%	0.72%	0.71%	1.30%	0.66%	0.92%	1.55%	1.00%	0.65%	0.35%	1.15%	0.74%	0.93%	2.20%	1.08%	0.42%	2.51%	1.31%	1.14%	0.96%					
21	. Путин Владимир Владимирович	21288	742	711	687	582	568	588	599	569	602	621	523	707	703	588	727	773	700	767	790	702	112	173	518	629	506	554	498	514	689	404	127	686	640	154	437	196	341	681	109	71					
		61.35%	60.33%	60.56%	57.97%	59.88%	59.92%	57.37%	57.27%	55.24%	52.26%	58.15%	57.16%	57.11%	57.91%	55.68%	57.74%	60.87%	62.28%	60.63%	58.65%	61.10%	69.57%	62.45%	61.08%	68.30%	66.93%	63.75%	64.34%	64.01%	64.33%	70.26%	72.99%	72.29%	66.18%	67.84%	78.46%	81.67%	65.83%	63.94%	62.29%	68.27%					
22	. Хакамада Ирина Муцуовна	1146	46	50	31	17	30	29	46	39	42	43	31	45	35	36	47	50	38	50	51	53	7	5	24	18	21	28	20	30	32	17	4	15	29	18	13	8	8	22	10	8					
		3.30%	3.74%	4.26%	2.62%	1.75%	3.16%	2.83%	4.40%	3.79%	3.65%	4.03%	3.39%	3.63%	2.88%	3.41%	3.73%	3.94%	3.38%	3.95%	3.79%	4.61%	4.35%	1.81%	2.83%	1.95%	2.78%	3.22%	2.58%	3.74%	2.99%	2.96%	2.30%	1.58%	3.00%	7.93%	2.33%	3.33%	1.54%	2.07%	5.71%	7.69%					
23	. Харитонов Николай Михайлович	6403	241	219	263	251	170	236	207	246	284	205	182	287	249	217	260	187	176	211	209	165	26	56	146	124	120	131	149	121	213	54	29	136	191	25	55	19	94	205	29	15					
		18.45%	19.59%	18.65%	22.19%	25.82%	17.93%	23.02%	19.79%	23.88%	24.65%	19.19%	19.89%	23.18%	20.51%	20.55%	20.65%	14.72%	15.66%	16.68%	15.52%	14.36%	16.15%	20.22%	17.22%	13.46%	15.87%	15.07%	19.25%	15.07%	19.89%	9.39%	16.67%	14.33%	19.75%	11.01%	9.87%	7.92%	18.15%	19.25%	16.57%	14.42%					
																																															
24	Против всех	1789	60	52	57	32	48	47	60	45	77	48	57	75	74	58	76	102	72	81	104	83	5	17	55	52	30	51	28	43	33	29	3	29	29	4	18	5	10	31	6	3					
		5.16%	4.88%	4.43%	4.81%	3.29%	5.06%	4.59%	5.74%	4.37%	6.68%	4.49%	6.23%	6.06%	6.10%	5.49%	6.04%	8.03%	6.41%	6.40%	7.72%	7.22%	3.11%	6.14%	6.49%	5.65%	3.97%	5.87%	3.62%	5.35%	3.08%	5.04%	1.72%	3.06%	3.00%	1.76%	3.23%	2.08%	1.93%	2.91%	3.43%	2.88%					
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
																																															
