Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Прохоровская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847					
11	Число полученных открепительных  удостоверений	358	15	5	15	3	3	3	10	3	10	2	5	5	5	3	3	10	10	10	10	8	3	5	3	3	10	3	3	10	3	3	3	10	15	15	15	15	16	15	15	15	3	5	5	3	5	3	3	10	3					
12	Число выданных открепительных удостоверений	125	8	5	0	1	0	2	0	1	2	0	1	0	0	1	1	5	0	0	2	0	2	2	1	0	2	0	0	9	0	0	2	2	7	11	4	12	8	10	14	5	0	1	2	0	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	8	6	2	1	0	1	2	1	3	1	2	1	4	2	2	2	3	1	4	1	2	3	4	5	5	3	1	1	1	2	0	5	3	9	3	0	6	1	9	4	0	4	3	2	6	2	0	3	0					
14	Число неиспользованных открепительных удостоверений	233	7	0	15	2	3	1	10	2	8	2	4	5	5	2	2	5	10	10	8	8	1	3	2	3	8	3	3	1	3	3	1	8	8	4	11	3	8	5	1	10	3	4	3	3	4	2	3	10	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	447	29	7	21	3	13	3	7	1	14	2	4	4	7	2	4	5	8	9	13	0	1	10	15	3	5	4	0	3	0	0	5	17	14	27	35	33	23	11	34	14	2	7	11	0	3	1	2	6	5					
		2.22%	2.60%	2.81%	2.80%	1.43%	5.16%	1.10%	1.13%	0.56%	2.55%	1.22%	1.76%	1.05%	1.85%	1.32%	1.75%	1.42%	2.76%	2.72%	2.88%	0.00%	0.67%	2.81%	4.78%	2.38%	0.80%	1.50%	0.00%	0.46%	0.00%	0.00%	4.63%	3.07%	1.67%	3.00%	3.87%	3.51%	2.98%	1.92%	3.01%	2.89%	1.40%	3.78%	2.27%	0.00%	0.75%	0.51%	1.53%	1.00%	1.72%					
19	. Малышкин Олег Александрович	462	26	7	8	6	1	4	5	1	16	2	7	5	6	4	2	6	11	13	10	1	1	6	12	3	15	12	4	15	3	4	3	10	21	22	16	38	15	19	24	17	3	7	12	4	14	6	0	6	9					
		2.29%	2.33%	2.81%	1.07%	2.86%	0.40%	1.47%	0.81%	0.56%	2.91%	1.22%	3.08%	1.31%	1.59%	2.63%	0.88%	1.70%	3.79%	3.93%	2.22%	0.50%	0.67%	1.69%	3.82%	2.38%	2.40%	4.51%	3.31%	2.29%	1.94%	1.51%	2.78%	1.81%	2.50%	2.44%	1.77%	4.05%	1.94%	3.32%	2.13%	3.51%	2.10%	3.78%	2.48%	3.17%	3.50%	3.05%	0.00%	1.00%	3.09%					
20	. Миронов Сергей Михайлович	101	4	0	1	1	0	0	0	2	4	0	1	4	4	0	1	2	1	1	2	0	1	1	0	0	1	3	0	1	0	3	1	4	5	2	3	10	5	2	7	6	2	2	7	0	2	0	1	3	1					
		0.50%	0.36%	0.00%	0.13%	0.48%	0.00%	0.00%	0.00%	1.12%	0.73%	0.00%	0.44%	1.05%	1.06%	0.00%	0.44%	0.57%	0.34%	0.30%	0.44%	0.00%	0.67%	0.28%	0.00%	0.00%	0.16%	1.13%	0.00%	0.15%	0.00%	1.13%	0.93%	0.72%	0.60%	0.22%	0.33%	1.06%	0.65%	0.35%	0.62%	1.24%	1.40%	1.08%	1.45%	0.00%	0.50%	0.00%	0.76%	0.50%	0.34%					
21	. Путин Владимир Владимирович	12595	698	163	408	142	158	186	555	138	324	109	160	215	168	88	122	273	214	233	327	153	104	264	167	98	293	111	82	425	93	142	70	334	529	505	543	552	473	326	676	209	107	113	292	96	311	126	106	419	195					
		62.52%	62.54%	65.46%	54.40%	67.62%	62.70%	68.38%	89.37%	77.09%	58.91%	66.46%	70.48%	56.28%	44.44%	57.89%	53.51%	77.56%	73.79%	70.39%	72.51%	76.88%	69.33%	74.16%	53.18%	77.78%	46.81%	41.73%	67.77%	64.89%	60.00%	53.58%	64.81%	60.40%	63.05%	56.11%	60.00%	58.79%	61.19%	56.99%	59.93%	43.09%	74.83%	61.08%	60.33%	76.19%	77.75%	63.96%	80.92%	69.83%	67.01%					
22	. Хакамада Ирина Муцуовна	349	13	7	16	1	2	1	0	0	9	2	3	9	4	7	4	7	3	8	4	3	2	3	5	5	12	2	7	14	4	3	3	8	9	19	15	31	20	8	31	20	3	3	7	0	2	3	0	5	2					
		1.73%	1.16%	2.81%	2.13%	0.48%	0.79%	0.37%	0.00%	0.00%	1.64%	1.22%	1.32%	2.36%	1.06%	4.61%	1.75%	1.99%	1.03%	2.42%	0.89%	1.51%	1.33%	0.84%	1.59%	3.97%	1.92%	0.75%	5.79%	2.14%	2.58%	1.13%	2.78%	1.45%	1.07%	2.11%	1.66%	3.30%	2.59%	1.40%	2.75%	4.12%	2.10%	1.62%	1.45%	0.00%	0.50%	1.52%	0.00%	0.83%	0.69%					
23	. Харитонов Николай Михайлович	5363	299	54	288	52	77	72	35	36	164	47	49	138	165	46	91	48	40	49	87	34	32	65	111	8	266	120	26	142	48	101	24	146	228	266	271	224	193	168	284	190	25	50	132	21	52	56	22	146	75					
		26.62%	26.79%	21.69%	38.40%	24.76%	30.56%	26.47%	5.64%	20.11%	29.82%	28.66%	21.59%	36.13%	43.65%	30.26%	39.91%	13.64%	13.79%	14.80%	19.29%	17.09%	21.33%	18.26%	35.35%	6.35%	42.49%	45.11%	21.49%	21.68%	30.97%	38.11%	22.22%	26.40%	27.18%	29.56%	29.94%	23.86%	24.97%	29.37%	25.18%	39.18%	17.48%	27.03%	27.27%	16.67%	13.00%	28.43%	16.79%	24.33%	25.77%					
																																																								
24	Против всех	531	39	8	8	5	1	6	2	0	13	1	2	5	2	3	1	2	9	8	8	0	8	6	3	9	13	6	0	11	5	3	2	15	28	51	20	44	37	33	65	20	0	2	8	2	5	2	0	7	3					
		2.64%	3.49%	3.21%	1.07%	2.38%	0.40%	2.21%	0.32%	0.00%	2.36%	0.61%	0.88%	1.31%	0.53%	1.97%	0.44%	0.57%	3.10%	2.42%	1.77%	0.00%	5.33%	1.69%	0.96%	7.14%	2.08%	2.26%	0.00%	1.68%	3.23%	1.13%	1.85%	2.71%	3.34%	5.67%	2.21%	4.69%	4.79%	5.77%	5.76%	4.12%	0.00%	1.08%	1.65%	1.59%	1.25%	1.02%	0.00%	1.17%	1.03%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
