Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Кузнецкая городская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
11	Число полученных открепительных  удостоверений	980	26	24	24	24	34	29	24	24	24	24	29	24	24	24	27	24	24	24	0	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	3	70	90					
12	Число выданных открепительных удостоверений	623	4	13	10	16	26	24	23	14	21	19	24	24	19	4	25	17	13	22	0	7	17	4	21	13	10	20	9	4	7	17	12	7	8	2	0	57	90					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	482	3	9	13	8	9	6	11	3	10	14	7	81	5	8	12	12	8	4	138	6	4	3	17	21	4	12	3	11	9	0	7	4	0	2	1	3	14					
14	Число неиспользованных открепительных удостоверений	357	22	11	14	8	8	5	1	10	3	5	5	0	5	20	2	7	11	2	0	17	7	20	3	11	14	4	15	20	17	7	12	17	16	22	3	13	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	2010	37	36	20	39	83	112	123	48	86	57	102	104	97	29	77	65	66	67	10	42	64	15	88	70	60	62	32	18	48	57	57	22	37	24	3	22	31					
		5.20%	5.01%	2.92%	2.17%	3.62%	6.22%	7.38%	7.75%	5.70%	6.14%	4.31%	7.11%	7.12%	7.26%	4.23%	6.30%	5.45%	5.22%	6.09%	7.25%	4.54%	5.66%	2.04%	6.43%	5.73%	6.30%	5.76%	5.39%	3.43%	4.24%	4.12%	5.18%	3.03%	4.72%	5.57%	2.70%	1.66%	2.38%					
19	. Малышкин Олег Александрович	857	10	24	15	32	32	35	32	27	28	39	37	40	29	18	23	36	32	22	2	24	16	6	31	23	21	19	10	7	18	32	30	29	20	8	6	26	18					
		2.22%	1.35%	1.95%	1.63%	2.97%	2.40%	2.31%	2.02%	3.21%	2.00%	2.95%	2.58%	2.74%	2.17%	2.62%	1.88%	3.02%	2.53%	2.00%	1.45%	2.59%	1.42%	0.82%	2.26%	1.88%	2.21%	1.77%	1.68%	1.33%	1.59%	2.31%	2.72%	3.99%	2.55%	1.86%	5.41%	1.96%	1.38%					
20	. Миронов Сергей Михайлович	207	5	11	2	8	5	7	9	6	8	9	12	6	2	2	10	3	2	10	0	4	5	2	11	6	7	5	5	3	7	6	3	7	4	4	2	6	3					
		0.54%	0.68%	0.89%	0.22%	0.74%	0.37%	0.46%	0.57%	0.71%	0.57%	0.68%	0.84%	0.41%	0.15%	0.29%	0.82%	0.25%	0.16%	0.91%	0.00%	0.43%	0.44%	0.27%	0.80%	0.49%	0.74%	0.46%	0.84%	0.57%	0.62%	0.43%	0.27%	0.96%	0.51%	0.93%	1.80%	0.45%	0.23%					
21	. Путин Владимир Владимирович	24481	438	727	597	675	850	860	915	508	852	794	884	919	864	428	709	723	779	627	80	545	687	548	815	789	557	643	385	373	779	886	686	442	473	273	82	1159	1130					
		63.37%	59.27%	59.06%	64.75%	62.67%	63.72%	56.69%	57.66%	60.33%	60.86%	60.11%	61.65%	62.95%	64.62%	62.39%	58.02%	60.65%	61.58%	56.95%	57.97%	58.92%	60.80%	74.66%	59.53%	64.62%	58.51%	59.76%	64.81%	71.05%	68.82%	64.02%	62.31%	60.80%	60.33%	63.34%	73.87%	87.27%	86.92%					
22	. Хакамада Ирина Муцуовна	852	11	20	17	20	27	24	27	20	36	33	35	33	24	10	35	33	25	20	4	27	31	8	35	30	37	31	7	5	21	39	24	19	27	12	0	25	20					
		2.21%	1.49%	1.62%	1.84%	1.86%	2.02%	1.58%	1.70%	2.38%	2.57%	2.50%	2.44%	2.26%	1.80%	1.46%	2.86%	2.77%	1.98%	1.82%	2.90%	2.92%	2.74%	1.09%	2.56%	2.46%	3.89%	2.88%	1.18%	0.95%	1.86%	2.82%	2.18%	2.61%	3.44%	2.78%	0.00%	1.88%	1.54%					
23	. Харитонов Николай Михайлович	8466	203	380	252	256	284	401	395	183	318	322	287	285	237	170	313	276	296	311	39	227	263	115	302	239	236	263	124	105	228	314	252	175	191	92	17	54	61					
		21.92%	27.47%	30.87%	27.33%	23.77%	21.29%	26.43%	24.89%	21.73%	22.71%	24.38%	20.01%	19.52%	17.73%	24.78%	25.61%	23.15%	23.40%	28.25%	28.26%	24.54%	23.27%	15.67%	22.06%	19.57%	24.79%	24.44%	20.88%	20.00%	20.14%	22.69%	22.89%	24.07%	24.36%	21.35%	15.32%	4.07%	4.69%					
																																												
24	Против всех	1470	26	27	14	37	45	69	76	46	66	52	70	62	75	19	48	48	54	39	2	50	60	10	77	55	25	46	31	8	21	40	40	24	25	15	0	34	34					
		3.81%	3.52%	2.19%	1.52%	3.44%	3.37%	4.55%	4.79%	5.46%	4.71%	3.94%	4.88%	4.25%	5.61%	2.77%	3.93%	4.03%	4.27%	3.54%	1.45%	5.41%	5.31%	1.36%	5.62%	4.50%	2.63%	4.28%	5.22%	1.52%	1.86%	2.89%	3.63%	3.30%	3.19%	3.48%	0.00%	2.56%	2.62%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
