Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Богородицкая																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992					
11	Число полученных открепительных  удостоверений	437	22	18	15	30	24	15	30	20	19	18	18	12	7	8	25	20	2	4	2	1	12	17	7	14	10	10	2	2	1	1	3	1	1	5	4	1	4	2	1	2	1	1	2	2	10	5	4	1	1					
12	Число выданных открепительных удостоверений	282	20	15	7	18	22	15	15	8	19	13	14	3	1	2	13	12	0	1	1	1	9	15	4	10	2	10	1	1	1	1	0	0	0	0	4	0	3	1	1	0	0	0	0	2	10	5	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	187	4	10	11	9	4	2	7	5	9	4	12	2	1	7	1	4	3	3	3	2	5	8	3	3	3	4	3	4	5	0	1	5	1	1	2	2	5	2	1	8	2	3	3	2	3	3	0	2	0					
14	Число неиспользованных открепительных удостоверений	155	2	3	8	12	2	0	15	12	0	5	4	9	6	6	12	8	2	3	1	0	3	2	3	4	8	0	1	1	0	0	3	1	1	5	0	1	1	1	0	2	1	1	2	0	0	0	2	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	1041	39	38	52	64	62	45	52	46	65	52	50	27	10	21	99	27	3	2	4	8	23	17	4	38	43	24	16	4	5	3	2	0	2	6	13	1	14	7	3	4	2	9	5	7	9	11	3	0	0					
		4.46%	4.55%	5.60%	6.90%	6.70%	5.81%	6.47%	4.86%	5.70%	7.17%	6.99%	5.32%	6.31%	6.71%	5.37%	7.78%	3.19%	5.00%	1.10%	3.28%	2.80%	3.22%	2.51%	2.37%	4.37%	5.70%	2.57%	4.11%	3.10%	1.77%	2.21%	1.02%	0.00%	2.11%	1.63%	4.51%	0.94%	7.04%	1.43%	0.76%	1.62%	1.13%	1.83%	2.07%	2.68%	1.88%	1.97%	1.30%	0.00%	0.00%					
19	. Малышкин Олег Александрович	461	19	14	14	9	25	19	24	15	15	17	18	6	3	8	25	9	1	2	1	7	15	22	0	24	18	27	7	2	4	1	3	2	1	8	5	2	3	5	11	3	2	4	1	9	12	13	3	3	0					
		1.97%	2.22%	2.06%	1.86%	0.94%	2.34%	2.73%	2.25%	1.86%	1.65%	2.28%	1.92%	1.40%	2.01%	2.05%	1.97%	1.06%	1.67%	1.10%	0.82%	2.45%	2.10%	3.25%	0.00%	2.76%	2.39%	2.89%	1.80%	1.55%	1.41%	0.74%	1.52%	2.17%	1.05%	2.17%	1.74%	1.89%	1.51%	1.02%	2.77%	1.21%	1.13%	0.81%	0.41%	3.45%	2.51%	2.33%	1.30%	2.70%	0.00%					
20	. Миронов Сергей Михайлович	141	4	2	6	3	8	3	6	4	1	1	7	0	2	4	8	10	0	6	0	1	9	5	3	9	3	6	0	1	3	1	6	0	0	2	1	1	0	0	4	0	0	2	0	4	1	2	2	0	0					
		0.60%	0.47%	0.29%	0.80%	0.31%	0.75%	0.43%	0.56%	0.50%	0.11%	0.13%	0.75%	0.00%	1.34%	1.02%	0.63%	1.18%	0.00%	3.30%	0.00%	0.35%	1.26%	0.74%	1.78%	1.04%	0.40%	0.64%	0.00%	0.78%	1.06%	0.74%	3.05%	0.00%	0.00%	0.54%	0.35%	0.94%	0.00%	0.00%	1.01%	0.00%	0.00%	0.41%	0.00%	1.53%	0.21%	0.36%	0.87%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14783	547	416	430	578	570	441	647	485	543	424	560	274	108	259	715	530	32	118	88	165	457	459	119	498	501	657	294	98	206	83	110	69	75	218	213	65	121	295	246	182	153	368	205	202	297	406	163	38	55					
		63.27%	63.83%	61.27%	57.03%	60.52%	53.37%	63.36%	60.52%	60.10%	59.87%	56.99%	59.64%	64.02%	72.48%	66.24%	56.21%	62.57%	53.33%	64.84%	72.13%	57.69%	64.01%	67.80%	70.41%	57.31%	66.45%	70.34%	75.58%	75.97%	72.79%	61.03%	55.84%	75.00%	78.95%	59.24%	73.96%	61.32%	60.80%	60.08%	61.96%	73.68%	86.44%	74.80%	84.71%	77.39%	62.13%	72.76%	70.56%	34.23%	79.71%					
22	. Хакамада Ирина Муцуовна	511	24	21	29	33	38	8	22	16	41	26	28	12	5	2	41	14	0	3	4	3	8	7	4	14	10	18	6	0	2	3	1	1	1	4	10	0	10	4	3	3	0	2	2	4	6	11	6	1	0					
		2.19%	2.80%	3.09%	3.85%	3.46%	3.56%	1.15%	2.06%	1.98%	4.52%	3.49%	2.98%	2.80%	3.36%	0.51%	3.22%	1.65%	0.00%	1.65%	3.28%	1.05%	1.12%	1.03%	2.37%	1.61%	1.33%	1.93%	1.54%	0.00%	0.71%	2.21%	0.51%	1.09%	1.05%	1.09%	3.47%	0.00%	5.03%	0.81%	0.76%	1.21%	0.00%	0.41%	0.83%	1.53%	1.26%	1.97%	2.60%	0.90%	0.00%					
23	. Харитонов Николай Михайлович	5391	181	165	192	225	308	155	252	205	184	187	226	83	16	75	327	212	19	39	21	89	173	140	20	252	149	146	51	20	56	43	67	17	15	112	30	31	34	168	113	55	19	92	24	31	143	100	49	67	13					
		23.07%	21.12%	24.30%	25.46%	23.56%	28.84%	22.27%	23.57%	25.40%	20.29%	25.13%	24.07%	19.39%	10.74%	19.18%	25.71%	25.03%	31.67%	21.43%	17.21%	31.12%	24.23%	20.68%	11.83%	29.00%	19.76%	15.63%	13.11%	15.50%	19.79%	31.62%	34.01%	18.48%	15.79%	30.43%	10.42%	29.25%	17.09%	34.22%	28.46%	22.27%	10.73%	18.70%	9.92%	11.88%	29.92%	17.92%	21.21%	60.36%	18.84%					
																																																								
24	Против всех	869	36	20	31	42	47	20	66	30	53	30	45	21	5	21	45	30	3	12	3	10	22	22	8	29	19	46	12	4	5	2	7	3	1	14	9	3	17	10	15	0	1	15	3	3	10	13	5	0	1					
		3.72%	4.20%	2.95%	4.11%	4.40%	4.40%	2.87%	6.17%	3.72%	5.84%	4.03%	4.79%	4.91%	3.36%	5.37%	3.54%	3.54%	5.00%	6.59%	2.46%	3.50%	3.08%	3.25%	4.73%	3.34%	2.52%	4.93%	3.08%	3.10%	1.77%	1.47%	3.55%	3.26%	1.05%	3.80%	3.12%	2.83%	8.54%	2.04%	3.78%	0.00%	0.56%	3.05%	1.24%	1.15%	2.09%	2.33%	2.16%	0.00%	1.45%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
