Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Ичалковская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	32	0	1	0	1	0	1	2	0	2	1	2	1	1	2	1	0	1	0	1	2	0	1	2	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0					
		0.19%	0.00%	0.51%	0.00%	0.37%	0.00%	0.19%	0.41%	0.00%	0.34%	0.18%	0.36%	0.16%	0.16%	0.53%	0.37%	0.00%	0.20%	0.00%	0.36%	0.93%	0.00%	0.16%	0.32%	0.00%	0.24%	0.18%	0.29%	0.00%	0.00%	0.27%	0.58%	0.44%	1.32%	0.70%	0.00%	0.26%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	36	0	1	0	2	0	1	2	0	3	1	0	1	1	0	0	0	0	0	0	0	1	2	2	4	1	5	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	2	0	0					
		0.21%	0.00%	0.51%	0.00%	0.73%	0.00%	0.19%	0.41%	0.00%	0.52%	0.18%	0.00%	0.16%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.32%	0.32%	0.68%	0.24%	0.88%	0.29%	0.00%	0.00%	0.27%	0.58%	0.00%	1.32%	0.70%	0.00%	0.26%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	16	1	0	0	1	0	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0					
		0.09%	0.28%	0.00%	0.00%	0.37%	0.00%	0.00%	0.20%	0.19%	0.00%	0.54%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.17%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%					
21	. Путин Владимир Владимирович	16542	348	190	265	261	497	509	447	520	541	544	548	631	612	367	266	158	491	136	275	208	632	618	592	576	404	554	339	120	186	361	167	221	74	140	220	374	412	244	270	402	335	183	168	623	390	123					
		97.21%	99.15%	97.44%	98.15%	95.60%	97.07%	97.32%	91.22%	98.67%	93.28%	97.14%	98.21%	99.06%	98.08%	97.09%	98.88%	97.53%	98.20%	98.55%	98.21%	97.20%	99.06%	98.41%	94.27%	97.46%	97.12%	97.02%	97.41%	97.56%	98.94%	97.04%	96.53%	97.36%	97.37%	97.90%	97.35%	97.14%	97.17%	97.60%	98.18%	97.34%	97.95%	97.34%	97.11%	98.42%	93.30%	97.62%					
22	. Хакамада Ирина Муцуовна	38	0	1	0	1	2	0	3	1	1	1	2	1	1	0	0	1	0	0	0	0	0	2	3	3	1	1	1	0	0	1	0	1	0	0	1	1	2	0	0	3	0	0	0	1	1	1					
		0.22%	0.00%	0.51%	0.00%	0.37%	0.39%	0.00%	0.61%	0.19%	0.17%	0.18%	0.36%	0.16%	0.16%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.48%	0.51%	0.24%	0.18%	0.29%	0.00%	0.00%	0.27%	0.00%	0.44%	0.00%	0.00%	0.44%	0.26%	0.47%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.16%	0.24%	0.79%					
23	. Харитонов Николай Михайлович	322	2	2	5	5	13	10	34	5	33	9	6	2	7	7	2	3	6	1	3	4	4	5	25	4	8	8	5	3	2	7	3	4	0	1	4	6	9	6	2	6	7	5	5	5	27	2					
		1.89%	0.57%	1.03%	1.85%	1.83%	2.54%	1.91%	6.94%	0.95%	5.69%	1.61%	1.08%	0.31%	1.12%	1.85%	0.74%	1.85%	1.20%	0.72%	1.07%	1.87%	0.63%	0.80%	3.98%	0.68%	1.92%	1.40%	1.44%	2.44%	1.06%	1.88%	1.73%	1.76%	0.00%	0.70%	1.77%	1.56%	2.12%	2.40%	0.73%	1.45%	2.05%	2.66%	2.89%	0.79%	6.46%	1.59%					
																																																					
24	Против всех	22	0	0	0	1	0	1	0	0	0	1	0	0	2	2	0	0	2	1	1	0	1	0	1	3	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
		0.13%	0.00%	0.00%	0.00%	0.37%	0.00%	0.19%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.32%	0.53%	0.00%	0.00%	0.40%	0.72%	0.36%	0.00%	0.16%	0.00%	0.16%	0.51%	0.24%	0.18%	0.29%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
