Выборы Президента Российской Федерации																																																					
																																																					
"Наименование Избирательной комиссии:    Нижний Тагил, Дзержинская"																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185					
20	. Миронов Сергей Михайлович	363	5	5	4	4	9	6	7	7	10	10	6	7	9	8	7	6	13	6	7	9	9	12	10	10	4	11	11	13	12	4	11	10	7	11	6	8	3	4	11	11	4	5	11	3	13	4					
		0.64%	0.38%	0.43%	0.40%	0.34%	0.66%	0.52%	0.66%	0.59%	0.79%	0.78%	0.52%	0.59%	0.78%	0.64%	0.63%	0.42%	0.92%	0.52%	0.62%	0.63%	0.66%	0.88%	0.71%	0.70%	0.32%	0.93%	0.95%	0.88%	0.75%	0.35%	0.86%	0.63%	0.71%	0.85%	0.57%	0.77%	0.47%	0.31%	0.81%	0.92%	0.31%	0.59%	0.77%	0.25%	1.00%	0.30%					
21	. Путин Владимир Владимирович	43166	986	832	716	911	1061	850	805	879	944	997	908	924	889	976	856	1071	1060	847	851	1066	1036	984	1038	1080	960	941	883	1158	1154	864	983	1171	806	1016	796	774	499	985	989	920	975	626	1114	944	1026	1015					
		75.80%	75.04%	70.87%	70.75%	78.06%	77.90%	73.15%	76.09%	73.93%	74.74%	77.71%	78.89%	77.32%	77.10%	78.39%	77.40%	74.12%	74.86%	73.27%	74.85%	74.75%	76.23%	72.51%	73.77%	75.10%	75.65%	79.75%	76.38%	78.62%	72.26%	76.12%	76.62%	73.69%	81.33%	78.40%	76.03%	74.42%	77.85%	76.71%	72.77%	76.79%	75.52%	73.56%	77.79%	77.19%	78.98%	75.92%					
22	. Хакамада Ирина Муцуовна	2884	89	91	77	48	69	68	62	59	56	56	75	68	62	76	75	94	56	38	51	132	66	75	83	62	63	42	46	62	89	68	55	88	28	57	55	41	22	60	69	54	75	35	40	43	35	69					
		5.06%	6.77%	7.75%	7.61%	4.11%	5.07%	5.85%	5.86%	4.96%	4.43%	4.36%	6.52%	5.69%	5.38%	6.10%	6.78%	6.51%	3.95%	3.29%	4.49%	9.26%	4.86%	5.53%	5.90%	4.31%	4.96%	3.56%	3.98%	4.21%	5.57%	5.99%	4.29%	5.54%	2.83%	4.40%	5.25%	3.94%	3.43%	4.67%	5.08%	4.51%	5.81%	4.11%	2.79%	3.52%	2.69%	5.16%					
23	. Харитонов Николай Михайлович	4349	103	116	103	77	78	117	88	99	113	82	49	70	60	61	59	107	140	102	79	53	82	125	126	132	111	85	97	100	160	71	112	128	56	87	99	93	57	91	119	79	93	90	113	114	85	88					
		7.64%	7.84%	9.88%	10.18%	6.60%	5.73%	10.07%	8.32%	8.33%	8.95%	6.39%	4.26%	5.86%	5.20%	4.90%	5.33%	7.40%	9.89%	8.82%	6.95%	3.72%	6.03%	9.21%	8.96%	9.18%	8.75%	7.20%	8.39%	6.79%	10.02%	6.26%	8.73%	8.06%	5.65%	6.71%	9.46%	8.94%	8.89%	7.09%	8.76%	6.59%	7.20%	10.58%	7.89%	9.32%	6.54%	6.58%					
																																																					
24	Против всех	1867	36	39	40	33	47	41	25	46	36	44	28	49	35	51	33	64	44	52	39	57	52	52	34	44	25	25	22	44	50	50	31	70	31	31	30	30	8	51	72	44	49	29	45	21	32	56					
		3.28%	2.74%	3.32%	3.95%	2.83%	3.45%	3.53%	2.36%	3.87%	2.85%	3.43%	2.43%	4.10%	3.04%	4.10%	2.98%	4.43%	3.11%	4.50%	3.43%	4.00%	3.83%	3.83%	2.42%	3.06%	1.97%	2.12%	1.90%	2.99%	3.13%	4.41%	2.42%	4.41%	3.13%	2.39%	2.87%	2.88%	1.25%	3.97%	5.30%	3.67%	3.80%	3.41%	3.14%	1.72%	2.46%	4.19%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
