Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Артемовская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
14	Число неиспользованных открепительных удостоверений	452	12	9	10	18	5	14	9	18	2	13	2	27	10	3	16	24	14	16	15	18	18	26	27	10	15	14	10	10	5	5	5	5	9	10	17	2	5	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	726	31	18	17	52	20	20	7	12	9	37	40	35	5	23	19	33	26	16	24	34	23	50	40	16	15	6	10	14	4	6	0	4	16	9	16	4	2	10	3					
		2.87%	3.08%	4.48%	2.44%	3.73%	4.15%	2.36%	2.17%	1.78%	1.60%	3.08%	3.41%	3.09%	1.79%	3.51%	2.75%	2.66%	4.13%	2.53%	3.24%	3.73%	3.35%	4.07%	3.50%	2.81%	2.58%	1.02%	1.66%	2.34%	1.61%	1.84%	0.00%	1.59%	3.76%	2.22%	1.64%	1.20%	1.64%	3.61%	1.61%					
19	. Малышкин Олег Александрович	604	19	10	15	29	12	31	5	9	9	24	17	21	9	17	17	27	11	19	28	19	18	28	21	18	12	16	18	15	11	12	2	7	8	19	19	9	5	8	10					
		2.39%	1.88%	2.49%	2.16%	2.08%	2.49%	3.65%	1.55%	1.33%	1.60%	2.00%	1.45%	1.85%	3.23%	2.60%	2.46%	2.17%	1.75%	3.00%	3.78%	2.08%	2.62%	2.28%	1.84%	3.16%	2.06%	2.73%	2.98%	2.50%	4.42%	3.68%	2.82%	2.79%	1.88%	4.69%	1.95%	2.70%	4.10%	2.89%	5.38%					
20	. Миронов Сергей Михайлович	200	8	4	4	10	1	5	3	2	4	10	9	11	3	5	5	11	6	3	4	4	8	17	13	1	6	1	14	5	0	2	0	4	4	2	5	3	1	2	0					
		0.79%	0.79%	1.00%	0.57%	0.72%	0.21%	0.59%	0.93%	0.30%	0.71%	0.83%	0.77%	0.97%	1.08%	0.76%	0.72%	0.89%	0.95%	0.47%	0.54%	0.44%	1.17%	1.39%	1.14%	0.18%	1.03%	0.17%	2.32%	0.83%	0.00%	0.61%	0.00%	1.59%	0.94%	0.49%	0.51%	0.90%	0.82%	0.72%	0.00%					
21	. Путин Владимир Владимирович	17871	718	284	502	948	352	599	255	498	409	800	780	761	200	419	489	914	439	452	475	595	452	795	729	351	424	482	450	458	196	275	56	196	309	305	793	254	102	218	137					
		70.64%	71.23%	70.65%	72.13%	68.05%	73.03%	70.55%	78.95%	73.67%	72.78%	66.67%	66.50%	67.17%	71.68%	63.97%	70.66%	73.59%	69.68%	71.41%	64.10%	65.24%	65.89%	64.79%	63.78%	61.69%	72.85%	82.11%	74.50%	76.46%	78.71%	84.36%	78.87%	78.09%	72.71%	75.31%	81.42%	76.28%	83.61%	78.70%	73.66%					
22	. Хакамада Ирина Муцуовна	1255	56	20	32	94	20	44	12	33	38	96	77	84	16	35	32	60	22	34	33	38	32	116	58	24	17	5	22	24	5	3	2	6	10	12	23	5	4	6	5					
		4.96%	5.56%	4.98%	4.60%	6.75%	4.15%	5.18%	3.72%	4.88%	6.76%	8.00%	6.56%	7.41%	5.73%	5.34%	4.62%	4.83%	3.49%	5.37%	4.45%	4.17%	4.66%	9.45%	5.07%	4.22%	2.92%	0.85%	3.64%	4.01%	2.01%	0.92%	2.82%	2.39%	2.35%	2.96%	2.36%	1.50%	3.28%	2.17%	2.69%					
23	. Харитонов Николай Михайлович	3323	126	45	78	194	46	93	25	89	54	159	184	154	28	118	94	151	90	65	144	169	113	141	215	124	80	64	69	62	21	17	6	25	61	39	77	48	7	20	28					
		13.14%	12.50%	11.19%	11.21%	13.93%	9.54%	10.95%	7.74%	13.17%	9.61%	13.25%	15.69%	13.59%	10.04%	18.02%	13.58%	12.16%	14.29%	10.27%	19.43%	18.53%	16.47%	11.49%	18.81%	21.79%	13.75%	10.90%	11.42%	10.35%	8.43%	5.21%	8.45%	9.96%	14.35%	9.63%	7.91%	14.41%	5.74%	7.22%	15.05%					
																																														
24	Против всех	1035	38	19	40	57	26	43	12	28	36	61	59	57	13	33	21	35	32	35	28	45	30	66	53	18	14	9	12	14	7	11	3	6	12	15	30	7	0	9	1					
		4.09%	3.77%	4.73%	5.75%	4.09%	5.39%	5.06%	3.72%	4.14%	6.41%	5.08%	5.03%	5.03%	4.66%	5.04%	3.03%	2.82%	5.08%	5.53%	3.78%	4.93%	4.37%	5.38%	4.64%	3.16%	2.41%	1.53%	1.99%	2.34%	2.81%	3.37%	4.23%	2.39%	2.82%	3.70%	3.08%	2.10%	0.00%	3.25%	0.54%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
