Выборы Президента Российской Федерации																																																																												
																																																																												
Наименование Избирательной комиссии:    Александровская																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69					
		70.86%	67.05%	70.07%	70.75%	71.35%	72.17%	66.69%	67.06%	69.67%	68.83%	61.72%	66.21%	65.58%	73.29%	65.15%	69.12%	69.13%	66.72%	66.77%	67.09%	69.76%	75.37%	69.75%	68.90%	72.80%	67.26%	72.03%	73.40%	72.54%	77.00%	77.27%	81.44%	75.16%	72.80%	72.50%	77.15%	63.71%	74.03%	87.31%	76.26%	76.74%	74.18%	65.85%	66.39%	72.35%	79.17%	76.39%	74.64%	79.73%	74.15%	58.06%	72.77%	70.25%	72.91%	74.63%	63.60%	77.77%	76.33%	66.46%	75.20%	78.82%	79.00%	69.45%	67.22%	74.80%	78.91%	72.46%	66.35%	74.57%	70.59%					
22	. Хакамада Ирина Муцуовна	1108	25	12	24	30	13	42	25	28	43	34	49	47	12	38	44	35	35	38	38	38	25	23	5	44	30	29	3	5	3	2	5	1	1	12	3	8	3	1	8	7	2	1	2	4	6	3	10	3	0	2	13	7	10	12	10	12	14	19	9	9	13	12	7	12	3	8	8	17	12					
		2.34%	2.22%	2.72%	2.80%	2.92%	1.47%	3.56%	2.68%	2.27%	3.13%	3.74%	3.99%	3.56%	1.68%	3.94%	3.81%	3.54%	2.71%	2.92%	3.01%	3.06%	1.83%	1.74%	1.67%	3.15%	2.23%	2.38%	3.19%	2.05%	0.78%	1.01%	1.89%	0.64%	0.80%	1.64%	0.99%	2.15%	1.95%	0.25%	4.04%	1.87%	0.82%	1.22%	1.64%	1.12%	1.67%	0.58%	4.78%	2.03%	0.00%	2.15%	2.83%	4.43%	1.70%	2.93%	1.51%	1.18%	1.16%	2.41%	1.76%	1.48%	1.12%	1.82%	1.28%	2.34%	0.56%	1.23%	1.09%	1.33%	6.42%					
23	. Харитонов Николай Михайлович	6643	178	63	136	144	119	176	156	154	213	169	194	208	82	109	146	125	237	215	174	166	132	178	45	157	180	144	19	39	55	22	21	22	25	92	49	102	27	36	35	46	52	16	24	57	48	52	28	15	15	25	63	27	73	44	168	109	170	132	67	53	100	105	116	56	70	81	119	165	3					
		14.04%	15.81%	14.29%	15.85%	14.04%	13.46%	14.92%	16.74%	12.49%	15.51%	18.59%	15.80%	15.73%	11.47%	11.31%	12.63%	12.65%	18.34%	16.54%	13.80%	13.39%	9.68%	13.50%	15.05%	11.24%	13.36%	11.81%	20.21%	15.98%	14.21%	11.11%	7.95%	14.01%	20.00%	12.59%	16.23%	27.42%	17.53%	8.96%	17.68%	12.30%	21.31%	19.51%	19.67%	15.92%	13.33%	9.98%	13.40%	10.14%	10.20%	26.88%	13.73%	17.09%	12.44%	10.73%	25.38%	10.68%	14.12%	16.71%	13.09%	8.70%	8.64%	15.96%	21.25%	10.94%	13.18%	12.46%	16.15%	12.95%	1.60%					
																																																																												
24	Против всех	1935	62	16	26	46	24	53	36	53	45	57	54	64	33	53	58	55	55	56	58	52	48	71	21	75	111	64	0	1	8	4	2	4	1	40	2	3	0	6	0	13	2	2	3	6	6	11	5	1	8	5	10	3	11	7	19	30	30	39	17	26	29	16	15	20	15	35	47	63	24					
		4.09%	5.51%	3.63%	3.03%	4.48%	2.71%	4.49%	3.86%	4.30%	3.28%	6.27%	4.40%	4.84%	4.62%	5.50%	5.02%	5.57%	4.26%	4.31%	4.60%	4.19%	3.52%	5.38%	7.02%	5.37%	8.24%	5.25%	0.00%	0.41%	2.07%	2.02%	0.76%	2.55%	0.80%	5.47%	0.66%	0.81%	0.00%	1.49%	0.00%	3.48%	0.82%	2.44%	2.46%	1.68%	1.67%	2.11%	2.39%	0.68%	5.44%	5.38%	2.18%	1.90%	1.87%	1.71%	2.87%	2.94%	2.49%	4.94%	3.32%	4.27%	2.51%	2.43%	2.75%	3.91%	2.82%	5.38%	6.38%	4.95%	12.83%					
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
