Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Волгоград, Кировская"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339					
12	Число выданных открепительных удостоверений	670	7	20	20	21	36	15	33	25	33	21	17	16	22	13	30	25	12	16	13	20	19	22	9	22	16	15	18	10	16	14	70	13	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	609	28	48	12	4	30	15	15	15	20	17	23	26	10	6	14	16	25	19	7	30	18	15	18	13	5	9	14	24	16	17	47	21	12					
14	Число неиспользованных открепительных удостоверений	1320	53	40	40	39	24	45	27	35	27	39	43	44	38	47	30	35	48	44	47	40	41	38	51	38	44	45	42	50	44	46	0	47	49					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	1804	43	46	67	71	82	36	60	63	73	73	55	47	44	51	44	93	71	51	42	57	61	63	36	35	62	53	42	60	43	46	46	55	33					
		4.61%	4.84%	4.11%	5.58%	5.00%	5.21%	2.92%	4.69%	4.50%	4.63%	5.44%	4.88%	4.25%	3.91%	4.82%	3.96%	6.40%	5.91%	4.84%	3.87%	4.18%	4.61%	5.47%	3.23%	3.38%	5.64%	5.46%	4.20%	5.14%	3.95%	4.83%	3.65%	4.63%	3.14%					
19	. Малышкин Олег Александрович	789	26	15	31	21	31	23	25	25	26	32	29	23	17	14	24	31	40	24	23	29	25	31	19	20	11	14	22	40	16	14	25	21	22					
		2.02%	2.92%	1.34%	2.58%	1.48%	1.97%	1.87%	1.95%	1.78%	1.65%	2.38%	2.57%	2.08%	1.51%	1.32%	2.16%	2.13%	3.33%	2.28%	2.12%	2.12%	1.89%	2.69%	1.71%	1.93%	1.00%	1.44%	2.20%	3.43%	1.47%	1.47%	1.98%	1.77%	2.10%					
20	. Миронов Сергей Михайлович	374	3	5	19	8	8	11	8	11	12	14	9	11	11	7	9	23	18	5	14	23	28	30	7	14	8	5	11	10	8	4	4	11	5					
		0.96%	0.34%	0.45%	1.58%	0.56%	0.51%	0.89%	0.63%	0.79%	0.76%	1.04%	0.80%	0.99%	0.98%	0.66%	0.81%	1.58%	1.50%	0.47%	1.29%	1.68%	2.11%	2.60%	0.63%	1.35%	0.73%	0.52%	1.10%	0.86%	0.74%	0.42%	0.32%	0.93%	0.48%					
21	. Путин Владимир Владимирович	25234	578	798	721	950	965	844	831	879	1016	783	746	704	762	657	691	920	709	668	679	892	846	691	763	655	706	621	649	703	685	642	974	758	748					
		64.50%	65.02%	71.38%	60.03%	66.90%	61.27%	68.45%	64.97%	62.74%	64.47%	58.35%	66.13%	63.60%	67.73%	62.04%	62.14%	63.32%	59.03%	63.38%	62.58%	65.35%	63.90%	59.98%	68.55%	63.22%	64.24%	64.02%	64.90%	60.24%	62.96%	67.37%	77.18%	63.86%	71.24%					
22	. Хакамада Ирина Муцуовна	2017	44	46	54	81	76	60	76	64	92	78	42	56	47	55	54	67	67	47	57	92	81	77	35	46	68	50	39	78	78	68	62	41	39					
		5.16%	4.95%	4.11%	4.50%	5.70%	4.83%	4.87%	5.94%	4.57%	5.84%	5.81%	3.72%	5.06%	4.18%	5.19%	4.86%	4.61%	5.58%	4.46%	5.25%	6.74%	6.12%	6.68%	3.14%	4.44%	6.19%	5.15%	3.90%	6.68%	7.17%	7.14%	4.91%	3.45%	3.71%					
23	. Харитонов Николай Михайлович	6828	146	161	250	213	321	193	214	282	271	307	182	208	187	218	235	252	245	200	204	188	200	174	209	210	194	176	172	209	197	140	82	238	150					
		17.45%	16.42%	14.40%	20.82%	15.00%	20.38%	15.65%	16.73%	20.13%	17.20%	22.88%	16.13%	18.79%	16.62%	20.59%	21.13%	17.34%	20.40%	18.98%	18.80%	13.77%	15.11%	15.10%	18.78%	20.27%	17.65%	18.14%	17.20%	17.91%	18.11%	14.69%	6.50%	20.05%	14.29%					
																																								
24	Против всех	1706	44	43	55	64	74	52	59	69	58	45	57	49	46	41	46	64	40	46	48	69	66	70	34	44	38	41	47	58	48	31	63	51	46					
		4.36%	4.95%	3.85%	4.58%	4.51%	4.70%	4.22%	4.61%	4.93%	3.68%	3.35%	5.05%	4.43%	4.09%	3.87%	4.14%	4.40%	3.33%	4.36%	4.42%	5.05%	4.98%	6.08%	3.05%	4.25%	3.46%	4.23%	4.70%	4.97%	4.41%	3.25%	4.99%	4.30%	4.38%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
