Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Упоровская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031					
		1.23%	1.50%	0.32%	2.17%	0.54%	0.78%	3.12%	1.86%	0.00%	0.00%	0.45%	0.43%	0.00%	0.00%	0.00%	1.49%	2.05%	0.00%	2.03%	8.89%	1.60%	0.00%	1.03%	2.70%	0.00%	0.00%	2.18%	0.45%	0.00%	1.86%	1.36%	0.68%	1.85%	1.56%	0.00%	0.95%	0.00%	2.73%	0.00%	1.68%	1.89%	4.05%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
