Выборы Президента Российской Федерации																																																																									
																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Сормовская"																																																																									
																																																																									
Итоги голосования 																																																																									
																																																																									
		Сумма	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837					
14	Число неиспользованных открепительных удостоверений	409	5	7	9	6	7	9	16	8	13	5	5	1	4	5	4	7	6	2	2	3	1	8	12	3	5	3	10	3	6	4	2	3	9	1	10	6	6	8	5	4	1	5	3	13	5	8	6	7	11	6	7	2	4	5	5	7	4	6	5	11	13	7	5	9	13	8					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	. Глазьев Сергей Юрьевич	2997	29	25	18	43	61	27	47	22	53	50	67	52	38	50	51	42	53	33	47	64	55	61	71	35	25	51	34	31	46	43	28	50	63	39	74	49	26	63	54	28	23	39	45	34	42	40	43	54	47	44	50	53	34	42	67	42	46	45	56	62	63	49	51	64	39	25					
		4.02%	4.08%	2.84%	3.11%	4.12%	4.53%	2.14%	4.32%	2.51%	5.35%	3.82%	4.38%	4.11%	3.76%	4.85%	5.21%	4.82%	4.36%	3.75%	3.29%	5.35%	4.28%	4.32%	5.23%	3.48%	2.90%	5.27%	3.78%	3.46%	4.41%	4.73%	3.90%	5.38%	4.52%	3.46%	5.34%	3.98%	2.79%	4.79%	4.03%	1.14%	2.71%	4.68%	3.95%	3.20%	4.64%	4.23%	4.32%	4.55%	4.19%	3.96%	4.94%	4.00%	2.91%	4.83%	5.21%	3.17%	4.15%	4.29%	4.35%	4.60%	4.32%	3.74%	4.72%	4.34%	2.82%	2.65%					
19	. Малышкин Олег Александрович	1313	7	24	19	25	25	29	31	22	11	35	25	21	19	11	15	22	13	8	25	28	11	12	10	7	15	10	13	12	10	14	11	15	20	21	19	26	25	24	29	50	21	19	18	17	22	14	14	30	27	13	33	34	29	15	14	22	23	18	18	19	20	24	11	19	33	17					
		1.76%	0.99%	2.73%	3.28%	2.39%	1.86%	2.29%	2.85%	2.51%	1.11%	2.67%	1.64%	1.66%	1.88%	1.07%	1.53%	2.53%	1.07%	0.91%	1.75%	2.34%	0.86%	0.85%	0.74%	0.70%	1.74%	1.03%	1.44%	1.34%	0.96%	1.54%	1.53%	1.61%	1.43%	1.87%	1.37%	2.11%	2.68%	1.83%	2.17%	2.04%	2.48%	2.28%	1.58%	1.60%	2.43%	1.48%	1.41%	2.53%	2.40%	1.17%	3.26%	2.57%	2.48%	1.73%	1.09%	1.66%	2.07%	1.72%	1.40%	1.41%	1.37%	1.83%	1.02%	1.29%	2.39%	1.80%					
20	. Миронов Сергей Михайлович	615	6	14	4	11	14	14	5	11	3	25	9	4	5	6	6	13	7	8	19	14	14	7	14	11	11	10	8	8	12	16	9	7	14	20	8	14	11	8	8	7	6	0	12	13	9	3	4	10	5	6	13	8	4	3	6	5	7	3	6	8	17	10	6	16	14	6					
		0.83%	0.85%	1.59%	0.69%	1.05%	1.04%	1.11%	0.46%	1.26%	0.30%	1.91%	0.59%	0.32%	0.49%	0.58%	0.61%	1.49%	0.58%	0.91%	1.33%	1.17%	1.09%	0.50%	1.03%	1.09%	1.28%	1.03%	0.89%	0.89%	1.15%	1.76%	1.25%	0.75%	1.00%	1.78%	0.58%	1.14%	1.18%	0.61%	0.60%	0.29%	0.71%	0.00%	1.05%	1.23%	0.99%	0.32%	0.40%	0.84%	0.45%	0.54%	1.28%	0.60%	0.34%	0.35%	0.47%	0.38%	0.63%	0.29%	0.47%	0.59%	1.16%	0.76%	0.56%	1.08%	1.01%	0.64%					
21	. Путин Владимир Владимирович	49309	498	597	378	639	958	927	702	593	643	834	1032	858	671	669	580	552	812	613	874	724	803	829	884	674	589	583	617	563	668	540	464	536	871	696	864	785	674	849	901	2117	578	558	776	727	594	634	668	760	744	692	649	893	794	604	782	870	697	698	825	877	968	895	721	1007	969	668					
		66.17%	70.14%	67.84%	65.28%	61.21%	71.17%	73.34%	64.52%	67.77%	64.95%	63.71%	67.54%	67.83%	66.37%	64.89%	59.30%	63.38%	66.78%	69.58%	61.25%	60.54%	62.44%	58.71%	65.10%	67.00%	68.41%	60.29%	68.56%	62.91%	64.05%	59.34%	64.62%	57.63%	62.48%	61.81%	62.38%	63.82%	72.32%	64.56%	67.29%	86.55%	68.16%	66.99%	68.19%	68.52%	65.64%	67.09%	67.14%	63.97%	66.25%	62.23%	64.13%	67.45%	67.86%	69.51%	60.76%	65.56%	62.85%	66.54%	64.15%	65.06%	66.30%	68.27%	66.70%	68.22%	70.12%	70.91%					
22	. Хакамада Ирина Муцуовна	5319	33	49	31	81	43	71	51	65	65	89	119	87	96	96	104	72	98	80	130	120	122	155	83	108	73	81	71	80	81	86	46	82	129	76	77	82	35	80	76	56	58	39	78	70	78	59	59	85	82	88	67	91	83	52	116	99	74	53	112	87	111	80	78	114	95	52					
		7.14%	4.65%	5.57%	5.35%	7.76%	3.19%	5.62%	4.69%	7.43%	6.57%	6.80%	7.79%	6.88%	9.50%	9.31%	10.63%	8.27%	8.06%	9.08%	9.11%	10.03%	9.49%	10.98%	6.11%	10.74%	8.48%	8.38%	7.89%	8.94%	7.77%	9.45%	6.41%	8.82%	9.25%	6.75%	5.56%	6.67%	3.76%	6.08%	5.68%	2.29%	6.84%	4.68%	6.85%	6.60%	8.62%	6.24%	5.93%	7.15%	7.30%	7.91%	6.62%	6.87%	7.09%	5.98%	9.01%	7.46%	6.67%	5.05%	8.71%	6.45%	7.60%	6.10%	7.22%	7.72%	6.87%	5.52%					
23	. Харитонов Николай Михайлович	10993	98	122	101	170	216	133	200	116	144	192	190	181	118	123	172	134	158	90	228	169	202	251	216	110	109	177	110	153	157	171	118	189	206	216	264	208	116	215	188	87	120	141	152	157	127	147	154	188	176	206	144	203	183	117	210	229	206	182	208	226	201	180	161	164	167	126					
		14.75%	13.80%	13.86%	17.44%	16.28%	16.05%	10.52%	18.38%	13.26%	14.55%	14.67%	12.43%	14.31%	11.67%	11.93%	17.59%	15.38%	12.99%	10.22%	15.98%	14.13%	15.71%	17.78%	15.91%	10.93%	12.66%	18.30%	12.22%	17.09%	15.05%	18.79%	16.43%	20.32%	14.78%	19.18%	19.06%	16.91%	12.45%	16.35%	14.04%	3.56%	14.15%	16.93%	13.36%	14.80%	14.03%	15.56%	15.48%	15.82%	15.67%	18.53%	14.23%	15.33%	15.64%	13.46%	16.32%	17.26%	18.58%	17.35%	16.17%	16.77%	13.77%	13.73%	14.89%	11.11%	12.08%	13.38%					
																																																																									
24	Против всех	3687	35	49	27	65	27	53	44	36	68	78	79	61	64	76	48	34	73	45	92	71	74	89	71	61	37	50	44	45	64	37	39	48	88	55	73	62	39	69	76	97	36	33	53	40	31	41	51	58	40	56	51	39	38	32	87	60	53	48	55	64	71	63	49	90	57	48					
		4.95%	4.93%	5.57%	4.66%	6.23%	2.01%	4.19%	4.04%	4.11%	6.87%	5.96%	5.17%	4.82%	6.33%	7.37%	4.91%	3.90%	6.00%	5.11%	6.45%	5.94%	5.75%	6.30%	5.23%	6.06%	4.30%	5.17%	4.89%	5.03%	6.14%	4.07%	5.43%	5.16%	6.31%	4.88%	5.27%	5.04%	4.18%	5.25%	5.68%	3.97%	4.25%	3.96%	4.66%	3.77%	3.43%	4.34%	5.13%	4.88%	3.56%	5.04%	5.04%	2.95%	3.25%	3.68%	6.76%	4.52%	4.78%	4.58%	4.28%	4.75%	4.86%	4.81%	4.53%	6.10%	4.12%	5.10%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
