Выборы Президента Российской Федерации																																																																								
																																																																								
"Наименование Избирательной комиссии:    Ставрополь, Промышленная"																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
		5.08%	4.46%	4.33%	4.71%	5.44%	5.03%	4.13%	5.64%	4.60%	5.32%	5.58%	5.32%	4.68%	3.69%	5.71%	4.26%	6.40%	5.08%	6.58%	5.25%	6.32%	6.19%	3.44%	4.77%	5.32%	5.28%	5.37%	3.64%	4.33%	3.36%	4.03%	3.67%	6.07%	4.48%	5.54%	4.70%	5.25%	4.84%	4.02%	5.60%	2.91%	4.94%	4.43%	4.70%	5.29%	6.22%	4.56%	5.85%	3.99%	4.47%	5.84%	4.69%	6.21%	6.01%	5.21%	5.63%	6.14%	5.51%	6.09%	5.24%	5.99%	5.59%	5.25%	5.60%	4.07%	2.82%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
