Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489					
11	Число полученных открепительных  удостоверений	1520	0	0	0	0	25	45	30	30	50	25	25	25	25	35	25	15	25	55	30	35	15	40	60	25	25	35	40	27	25	25	35	15	15	25	15	25	15	25	25	20	25	25	25	15	15	25	15	30	30	28	25	15	25	30	15	25	25	20	25	25	25					
12	Число выданных открепительных удостоверений	1126	0	0	0	0	16	39	26	18	43	19	19	9	23	22	17	9	15	51	26	26	9	30	58	16	14	27	40	27	20	23	35	8	5	6	2	25	9	24	22	9	18	17	6	12	10	13	9	27	19	27	13	10	16	29	3	25	12	19	13	20	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	865	45	9	51	121	14	17	17	14	10	18	15	10	8	4	17	8	14	12	15	10	36	7	18	19	11	9	15	11	7	7	12	3	4	8	11	5	13	11	6	26	6	11	13	10	5	31	8	3	17	10	4	4	10	1	5	7	10	8	9	6	19					
14	Число неиспользованных открепительных удостоверений	394	0	0	0	0	9	6	4	12	7	6	6	16	2	13	8	6	10	4	4	9	6	10	2	9	11	8	0	0	5	2	0	7	10	19	13	0	6	1	3	11	7	8	19	3	5	12	6	3	11	1	12	5	9	1	12	0	13	1	12	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	0	0	1	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	2080	7	0	4	11	37	59	41	34	55	53	44	36	31	37	33	5	41	57	61	48	20	78	53	25	23	33	24	57	39	43	45	22	11	10	20	25	13	50	33	41	38	28	36	18	14	20	29	51	20	23	32	21	61	41	7	48	29	53	35	66	51					
		3.61%	2.47%	0.00%	3.25%	3.62%	3.79%	4.37%	4.60%	4.21%	4.35%	6.17%	4.77%	4.67%	4.53%	3.28%	4.59%	1.36%	2.98%	4.48%	4.60%	4.58%	3.19%	6.24%	4.11%	2.97%	3.59%	3.15%	2.94%	4.32%	4.93%	3.89%	2.95%	3.66%	1.70%	1.09%	3.70%	1.81%	2.84%	4.69%	4.64%	4.31%	3.81%	3.47%	3.89%	2.62%	2.76%	2.38%	2.15%	3.27%	1.87%	1.91%	3.78%	2.14%	6.01%	2.58%	1.48%	3.61%	2.31%	3.58%	3.61%	5.20%	3.50%					
19	. Малышкин Олег Александрович	1888	15	0	3	11	66	64	25	32	49	23	44	17	30	32	22	29	49	37	40	39	19	41	39	9	25	38	18	33	25	32	31	25	27	37	13	21	26	38	17	34	31	33	32	24	17	31	65	35	21	48	51	20	19	23	18	41	49	39	22	37	57					
		3.28%	5.30%	0.00%	2.44%	3.62%	6.76%	4.74%	2.80%	3.96%	3.88%	2.68%	4.77%	2.20%	4.39%	2.84%	3.06%	7.88%	3.56%	2.91%	3.02%	3.72%	3.03%	3.28%	3.02%	1.07%	3.90%	3.62%	2.21%	2.50%	3.16%	2.90%	2.03%	4.16%	4.18%	4.02%	2.41%	1.52%	5.69%	3.56%	2.39%	3.58%	3.11%	4.09%	3.46%	3.49%	3.35%	3.69%	4.82%	2.24%	1.96%	3.98%	6.02%	2.04%	1.87%	1.45%	3.81%	3.09%	3.90%	2.64%	2.27%	2.91%	3.91%					
20	. Миронов Сергей Михайлович	532	0	0	3	2	13	21	10	2	14	8	6	13	11	5	10	0	10	16	18	7	7	13	10	7	5	19	9	6	7	12	13	1	5	5	5	11	4	9	2	9	10	9	4	3	10	9	9	15	18	9	4	13	5	12	9	8	14	7	5	9	22					
		0.92%	0.00%	0.00%	2.44%	0.66%	1.33%	1.56%	1.12%	0.25%	1.11%	0.93%	0.65%	1.69%	1.61%	0.44%	1.39%	0.00%	0.73%	1.26%	1.36%	0.67%	1.12%	1.04%	0.78%	0.83%	0.78%	1.81%	1.10%	0.45%	0.88%	1.09%	0.85%	0.17%	0.77%	0.54%	0.93%	0.80%	0.88%	0.84%	0.28%	0.95%	1.00%	1.12%	0.43%	0.44%	1.97%	1.07%	0.67%	0.96%	1.68%	0.75%	0.47%	1.33%	0.49%	0.76%	1.91%	0.60%	1.12%	0.47%	0.52%	0.71%	1.51%					
21	. Путин Владимир Владимирович	41165	208	6	100	212	637	941	593	554	866	538	576	555	443	810	474	277	1010	918	952	634	432	800	886	583	409	707	587	907	525	724	1136	424	480	726	403	1110	324	724	485	692	707	537	707	528	342	655	974	1225	776	961	614	796	739	1350	368	885	930	1132	718	826	1027					
		71.44%	73.50%	66.67%	81.30%	69.74%	65.20%	69.76%	66.48%	68.56%	68.57%	62.63%	62.41%	71.98%	64.77%	71.87%	65.92%	75.27%	73.40%	72.11%	71.85%	60.55%	68.90%	63.95%	68.68%	69.32%	63.81%	67.40%	71.94%	68.71%	66.37%	65.52%	74.39%	70.55%	74.30%	78.91%	74.63%	80.43%	70.90%	67.85%	68.21%	72.77%	70.84%	66.63%	76.43%	76.86%	67.32%	78.07%	72.26%	78.53%	72.52%	79.62%	72.49%	81.22%	72.81%	85.01%	77.97%	66.59%	74.10%	76.49%	74.10%	65.04%	70.44%					
22	. Хакамада Ирина Муцуовна	1382	3	1	3	8	29	38	22	22	43	32	27	21	25	28	15	9	28	46	29	38	9	29	35	17	27	38	17	29	32	41	48	9	11	8	4	13	13	26	39	19	24	18	18	10	8	9	16	39	20	20	17	22	24	24	6	33	22	26	26	42	27					
		2.40%	1.06%	11.11%	2.44%	2.63%	2.97%	2.82%	2.47%	2.72%	3.40%	3.73%	2.93%	2.72%	3.65%	2.48%	2.09%	2.45%	2.03%	3.61%	2.19%	3.63%	1.44%	2.32%	2.71%	2.02%	4.21%	3.62%	2.08%	2.20%	4.05%	3.71%	3.14%	1.50%	1.70%	0.87%	0.74%	0.94%	2.84%	2.44%	5.49%	2.00%	2.40%	2.23%	1.95%	1.46%	1.57%	1.07%	1.19%	2.50%	1.87%	1.66%	2.01%	2.24%	2.36%	1.51%	1.27%	2.48%	1.75%	1.76%	2.68%	3.31%	1.85%					
23	. Харитонов Николай Михайлович	7923	22	0	0	35	146	161	146	114	153	152	150	97	102	140	113	35	182	117	169	200	114	223	225	161	112	162	117	226	116	210	203	94	94	107	79	152	56	162	102	122	151	144	99	76	99	88	168	144	189	117	104	86	132	78	48	267	171	169	127	189	206					
		13.75%	7.77%	0.00%	0.00%	11.51%	14.94%	11.93%	16.37%	14.11%	12.11%	17.69%	16.25%	12.58%	14.91%	12.42%	15.72%	9.51%	13.23%	9.19%	12.75%	19.10%	18.18%	17.83%	17.44%	19.14%	17.47%	15.44%	14.34%	17.12%	14.66%	19.00%	13.29%	15.64%	14.55%	11.63%	14.63%	11.01%	12.25%	15.18%	14.35%	12.83%	15.13%	17.87%	10.70%	11.06%	19.49%	10.49%	12.46%	9.23%	17.66%	9.69%	12.28%	8.78%	13.00%	4.91%	10.17%	20.09%	13.63%	11.42%	13.11%	14.88%	14.13%					
																																																																				
24	Против всех	2201	24	2	10	25	40	57	47	47	76	42	57	28	40	38	47	12	49	75	52	46	21	37	35	35	36	45	41	55	30	41	45	21	13	27	13	39	16	51	27	31	37	34	29	28	15	20	75	47	26	25	6	18	31	46	14	32	31	52	34	79	49					
		3.82%	8.48%	22.22%	8.13%	8.22%	4.09%	4.23%	5.27%	5.82%	6.02%	4.89%	6.18%	3.63%	5.85%	3.37%	6.54%	3.26%	3.56%	5.89%	3.92%	4.39%	3.35%	2.96%	2.71%	4.16%	5.62%	4.29%	5.02%	4.17%	3.79%	3.71%	2.95%	3.49%	2.01%	2.93%	2.41%	2.83%	3.50%	4.78%	3.80%	3.26%	3.71%	4.22%	3.14%	4.08%	2.95%	2.38%	5.56%	3.01%	2.43%	2.07%	0.71%	1.84%	3.05%	2.90%	2.97%	2.41%	2.47%	3.51%	3.51%	6.22%	3.36%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
