Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Акбулакская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
14	Число неиспользованных открепительных удостоверений	275	0	6	1	3	3	6	7	5	6	7	6	15	6	4	0	2	7	7	7	15	7	7	9	7	7	11	11	7	0	0	5	1	0	7	7	7	6	14	4	7	7	11	7	13					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	354	26	52	72	48	14	2	0	2	6	0	2	9	1	6	1	8	0	2	10	8	0	1	8	0	0	11	9	0	1	3	0	8	12	2	0	2	2	0	0	6	0	9	4	7					
		2.32%	2.00%	4.38%	4.20%	3.09%	2.20%	1.10%	0.00%	0.79%	5.31%	0.00%	1.92%	2.06%	1.02%	2.27%	1.11%	1.43%	0.00%	2.60%	9.80%	2.48%	0.00%	0.68%	1.88%	0.00%	0.00%	3.21%	2.20%	0.00%	0.38%	0.53%	0.00%	1.78%	1.55%	2.02%	0.00%	2.02%	2.74%	0.00%	0.00%	6.90%	0.00%	1.58%	5.33%	1.74%					
19	. Малышкин Олег Александрович	538	53	41	91	83	33	0	8	6	4	0	1	15	0	19	8	12	1	5	2	9	5	6	14	0	0	10	13	1	6	14	1	11	16	0	2	0	0	3	8	0	8	9	2	18					
		3.52%	4.08%	3.45%	5.31%	5.35%	5.18%	0.00%	4.19%	2.38%	3.54%	0.00%	0.96%	3.43%	0.00%	7.20%	8.89%	2.15%	0.93%	6.49%	1.96%	2.80%	6.94%	4.11%	3.29%	0.00%	0.00%	2.92%	3.17%	1.22%	2.30%	2.48%	0.78%	2.45%	2.06%	0.00%	5.41%	0.00%	0.00%	1.61%	2.00%	0.00%	8.00%	1.58%	2.67%	4.47%					
20	. Миронов Сергей Михайлович	102	6	12	16	13	5	0	0	1	1	5	1	2	0	4	0	4	0	0	1	0	1	1	3	0	0	1	4	0	0	3	1	5	5	0	0	1	0	0	2	1	1	2	0	0					
		0.67%	0.46%	1.01%	0.93%	0.84%	0.78%	0.00%	0.00%	0.40%	0.88%	4.59%	0.96%	0.46%	0.00%	1.52%	0.00%	0.72%	0.00%	0.00%	0.98%	0.00%	1.39%	0.68%	0.71%	0.00%	0.00%	0.29%	0.98%	0.00%	0.00%	0.53%	0.78%	1.11%	0.64%	0.00%	0.00%	1.01%	0.00%	0.00%	0.50%	1.15%	1.00%	0.35%	0.00%	0.00%					
21	. Путин Владимир Владимирович	10494	875	730	1075	997	422	120	140	218	79	65	90	261	87	182	74	414	92	40	69	245	53	101	256	42	33	247	314	66	227	442	107	247	509	56	32	76	60	143	258	69	68	456	59	298					
		68.74%	67.31%	61.45%	62.68%	64.24%	66.25%	66.30%	73.30%	86.51%	69.91%	59.63%	86.54%	59.73%	88.78%	68.94%	82.22%	74.06%	85.98%	51.95%	67.65%	76.09%	73.61%	69.18%	60.24%	84.00%	97.06%	72.01%	76.59%	80.49%	86.97%	78.23%	83.59%	55.01%	65.59%	56.57%	86.49%	76.77%	82.19%	76.88%	64.50%	79.31%	68.00%	80.14%	78.67%	73.95%					
22	. Хакамада Ирина Муцуовна	185	20	14	20	24	11	2	4	4	1	6	1	6	3	2	0	3	1	1	3	2	0	0	3	1	0	0	3	0	3	12	2	10	6	1	1	2	0	3	3	0	1	2	0	4					
		1.21%	1.54%	1.18%	1.17%	1.55%	1.73%	1.10%	2.09%	1.59%	0.88%	5.50%	0.96%	1.37%	3.06%	0.76%	0.00%	0.54%	0.93%	1.30%	2.94%	0.62%	0.00%	0.00%	0.71%	2.00%	0.00%	0.00%	0.73%	0.00%	1.15%	2.12%	1.56%	2.23%	0.77%	1.01%	2.70%	2.02%	0.00%	1.61%	0.75%	0.00%	1.00%	0.35%	0.00%	0.99%					
23	. Харитонов Николай Михайлович	3237	294	307	390	342	134	55	32	20	21	23	8	139	5	48	7	106	9	24	17	49	11	35	133	6	1	66	52	14	19	79	15	154	212	40	2	16	11	34	118	10	21	86	7	65					
		21.20%	22.62%	25.84%	22.74%	22.04%	21.04%	30.39%	16.75%	7.94%	18.58%	21.10%	7.69%	31.81%	5.10%	18.18%	7.78%	18.96%	8.41%	31.17%	16.67%	15.22%	15.28%	23.97%	31.29%	12.00%	2.94%	19.24%	12.68%	17.07%	7.28%	13.98%	11.72%	34.30%	27.32%	40.40%	5.41%	16.16%	15.07%	18.28%	29.50%	11.49%	21.00%	15.11%	9.33%	16.13%					
																																																			
24	Против всех	202	15	16	38	34	16	0	2	0	1	1	0	5	2	2	0	5	1	3	0	4	2	1	5	0	0	2	5	0	3	4	1	12	8	0	0	0	0	0	5	1	1	0	3	4					
		1.32%	1.15%	1.35%	2.22%	2.19%	2.51%	0.00%	1.05%	0.00%	0.88%	0.92%	0.00%	1.14%	2.04%	0.76%	0.00%	0.89%	0.93%	3.90%	0.00%	1.24%	2.78%	0.68%	1.18%	0.00%	0.00%	0.58%	1.22%	0.00%	1.15%	0.71%	0.78%	2.67%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	1.15%	1.00%	0.00%	4.00%	0.99%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
