Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Тобольская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
18	. Глазьев Сергей Юрьевич	347	19	11	10	1	7	5	4	7	4	3	10	25	9	4	23	5	2	4	12	3	2	7	14	6	21	12	17	4	7	1	10	1	7	1	10	4	6	10	2	11	26					
		2.42%	1.63%	2.51%	1.74%	0.38%	1.19%	1.31%	0.71%	1.68%	1.57%	1.43%	2.29%	7.49%	4.41%	2.53%	5.74%	2.91%	2.60%	2.38%	1.16%	1.58%	2.90%	7.87%	3.32%	2.93%	3.06%	5.02%	3.36%	6.15%	2.49%	1.72%	1.76%	0.67%	4.14%	0.45%	1.96%	1.93%	2.30%	1.73%	0.67%	6.83%	4.81%					
19	. Малышкин Олег Александрович	361	51	10	12	0	7	10	9	1	7	6	7	15	5	1	9	2	2	7	10	7	0	6	16	7	28	7	16	9	5	3	16	6	1	5	6	9	6	31	0	1	5					
		2.52%	4.38%	2.28%	2.09%	0.00%	1.19%	2.61%	1.59%	0.24%	2.75%	2.86%	1.61%	4.49%	2.45%	0.63%	2.24%	1.16%	2.60%	4.17%	0.97%	3.68%	0.00%	6.74%	3.79%	3.41%	4.08%	2.93%	3.16%	13.85%	1.78%	5.17%	2.82%	4.00%	0.59%	2.27%	1.17%	4.35%	2.30%	5.36%	0.00%	0.62%	0.93%					
20	. Миронов Сергей Михайлович	84	7	1	3	0	2	1	7	4	1	0	2	3	3	0	4	2	0	0	6	1	0	0	5	0	4	1	2	1	4	2	2	0	2	0	2	0	0	4	1	1	6					
		0.59%	0.60%	0.23%	0.52%	0.00%	0.34%	0.26%	1.24%	0.96%	0.39%	0.00%	0.46%	0.90%	1.47%	0.00%	1.00%	1.16%	0.00%	0.00%	0.58%	0.53%	0.00%	0.00%	1.18%	0.00%	0.58%	0.42%	0.40%	1.54%	1.42%	3.45%	0.35%	0.00%	1.18%	0.00%	0.39%	0.00%	0.00%	0.69%	0.34%	0.62%	1.11%					
21	. Путин Владимир Владимирович	10980	885	327	501	154	518	271	440	342	188	141	293	232	157	120	258	131	50	141	933	133	63	50	304	174	531	195	338	41	246	42	449	122	129	190	391	133	196	410	234	94	433					
		76.69%	75.97%	74.66%	87.13%	57.89%	87.80%	70.76%	77.74%	82.21%	73.73%	67.14%	67.20%	69.46%	76.96%	75.95%	64.34%	76.16%	64.94%	83.93%	90.49%	70.00%	91.30%	56.18%	72.04%	84.88%	77.41%	81.59%	66.80%	63.08%	87.54%	72.41%	79.05%	81.33%	76.33%	86.36%	76.52%	64.25%	75.10%	70.93%	78.79%	58.39%	80.19%					
22	. Хакамада Ирина Муцуовна	280	21	0	11	3	11	4	11	4	4	6	8	5	6	5	12	1	0	4	9	4	0	3	17	2	15	3	19	0	2	1	21	5	5	5	3	4	3	18	7	5	13					
		1.96%	1.80%	0.00%	1.91%	1.13%	1.86%	1.04%	1.94%	0.96%	1.57%	2.86%	1.83%	1.50%	2.94%	3.16%	2.99%	0.58%	0.00%	2.38%	0.87%	2.11%	0.00%	3.37%	4.03%	0.98%	2.19%	1.26%	3.75%	0.00%	0.71%	1.72%	3.70%	3.33%	2.96%	2.27%	0.59%	1.93%	1.15%	3.11%	2.36%	3.11%	2.41%					
23	. Харитонов Николай Михайлович	1920	156	83	27	106	35	86	83	49	41	52	111	47	17	24	79	27	19	8	39	37	3	22	51	13	70	15	94	9	12	6	58	9	16	11	80	51	49	87	48	40	50					
		13.41%	13.39%	18.95%	4.70%	39.85%	5.93%	22.45%	14.66%	11.78%	16.08%	24.76%	25.46%	14.07%	8.33%	15.19%	19.70%	15.70%	24.68%	4.76%	3.78%	19.47%	4.35%	24.72%	12.09%	6.34%	10.20%	6.28%	18.58%	13.85%	4.27%	10.34%	10.21%	6.00%	9.47%	5.00%	15.66%	24.64%	18.77%	15.05%	16.16%	24.84%	9.26%					
																																																
24	Против всех	242	15	5	5	1	7	4	5	9	10	2	3	6	5	2	13	1	4	2	11	5	0	1	15	3	8	4	16	1	5	1	8	4	6	7	14	5	1	12	3	9	4					
		1.69%	1.29%	1.14%	0.87%	0.38%	1.19%	1.04%	0.88%	2.16%	3.92%	0.95%	0.69%	1.80%	2.45%	1.27%	3.24%	0.58%	5.19%	1.19%	1.07%	2.63%	0.00%	1.12%	3.55%	1.46%	1.17%	1.67%	3.16%	1.54%	1.78%	1.72%	1.41%	2.67%	3.55%	3.18%	2.74%	2.42%	0.38%	2.08%	1.01%	5.59%	0.74%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
