Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Дубенская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
19	. Малышкин Олег Александрович	7	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.06%	0.00%	0.00%	0.00%	0.10%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11875	928	385	84	949	821	717	462	573	243	119	274	518	485	277	75	473	487	386	734	839	419	201	550	412	464					
		98.19%	99.15%	98.97%	100.00%	98.44%	87.90%	99.58%	98.51%	99.83%	98.78%	98.35%	99.28%	99.62%	99.59%	97.19%	94.94%	99.16%	99.19%	99.23%	99.06%	98.94%	99.52%	96.17%	99.46%	99.76%	99.15%					
22	. Хакамада Ирина Муцуовна	11	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	176	6	4	0	10	86	3	5	1	3	2	2	2	2	6	4	4	4	2	7	9	0	6	3	1	4					
		1.46%	0.64%	1.03%	0.00%	1.04%	9.21%	0.42%	1.07%	0.17%	1.22%	1.65%	0.72%	0.38%	0.41%	2.11%	5.06%	0.84%	0.81%	0.51%	0.94%	1.06%	0.00%	2.87%	0.54%	0.24%	0.85%					
																																
24	Против всех	9	1	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.11%	0.00%	0.00%	0.10%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
