Выборы Президента Российской Федерации																																																
																																																
"Наименование Избирательной комиссии:    Орск, Советская"																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273	УИК  1274	УИК  1275	УИК  1276	УИК  1277	УИК  1278	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1595	7	2	1	23	21	25	33	26	65	17	33	28	21	76	100	77	89	99	56	14	39	17	56	36	72	66	41	84	41	16	32	51	21	62	4	37	39	18	23	4	23					
		5.39%	3.72%	0.89%	0.20%	4.94%	3.90%	5.76%	6.30%	4.67%	7.87%	4.47%	4.80%	8.89%	3.57%	6.96%	8.18%	6.28%	6.62%	7.95%	6.71%	3.66%	5.39%	3.41%	4.51%	5.45%	7.84%	5.27%	5.30%	6.50%	4.23%	3.31%	4.86%	4.52%	4.56%	7.11%	1.92%	3.72%	4.77%	2.65%	3.67%	2.20%	3.85%					
19	. Малышкин Олег Александрович	1483	2	2	21	8	35	19	18	23	31	16	50	30	36	54	51	62	68	77	46	20	28	21	44	27	34	52	46	55	55	22	22	95	24	55	4	60	39	38	49	9	35					
		5.01%	1.06%	0.89%	4.28%	1.72%	6.49%	4.38%	3.44%	4.13%	3.75%	4.21%	7.27%	9.52%	6.11%	4.95%	4.17%	5.06%	5.06%	6.18%	5.51%	5.24%	3.87%	4.21%	3.54%	4.08%	3.70%	4.15%	5.95%	4.26%	5.68%	4.55%	3.34%	8.41%	5.21%	6.31%	1.92%	6.03%	4.77%	5.60%	7.81%	4.95%	5.86%					
20	. Миронов Сергей Михайлович	237	2	1	3	2	0	4	1	3	11	5	5	1	3	5	11	14	3	16	2	2	1	6	17	3	6	6	9	8	9	6	6	9	4	10	11	0	11	3	5	2	11					
		0.80%	1.06%	0.44%	0.61%	0.43%	0.00%	0.92%	0.19%	0.54%	1.33%	1.32%	0.73%	0.32%	0.51%	0.46%	0.90%	1.14%	0.22%	1.29%	0.24%	0.52%	0.14%	1.20%	1.37%	0.45%	0.65%	0.48%	1.16%	0.62%	0.93%	1.24%	0.91%	0.80%	0.87%	1.15%	5.29%	0.00%	1.35%	0.44%	0.80%	1.10%	1.84%					
21	. Путин Владимир Владимирович	17769	99	162	411	299	327	275	335	340	486	215	425	170	373	653	721	712	772	733	495	243	484	270	750	394	545	749	439	831	584	277	368	637	257	384	141	652	544	413	375	104	325					
		60.02%	52.66%	72.00%	83.71%	64.16%	60.67%	63.36%	63.93%	61.04%	58.84%	56.58%	61.77%	53.97%	63.33%	59.80%	59.00%	58.08%	57.40%	58.88%	59.28%	63.61%	66.94%	54.11%	60.39%	59.61%	59.37%	59.82%	56.79%	64.32%	60.27%	57.35%	55.93%	56.42%	55.75%	44.04%	67.79%	65.53%	66.59%	60.82%	59.81%	57.14%	54.44%					
22	. Хакамада Ирина Муцуовна	859	1	6	14	19	27	9	12	17	16	6	11	6	7	36	19	47	47	41	41	14	15	26	26	12	18	39	20	52	39	17	17	31	13	21	3	25	27	27	15	0	20					
		2.90%	0.53%	2.67%	2.85%	4.08%	5.01%	2.07%	2.29%	3.05%	1.94%	1.58%	1.60%	1.90%	1.19%	3.30%	1.55%	3.83%	3.49%	3.29%	4.91%	3.66%	2.07%	5.21%	2.09%	1.82%	1.96%	3.12%	2.59%	4.02%	4.02%	3.52%	2.58%	2.75%	2.82%	2.41%	1.44%	2.51%	3.30%	3.98%	2.39%	0.00%	3.35%					
23	. Харитонов Николай Михайлович	6108	74	46	3	95	113	86	101	119	193	106	131	57	118	210	252	225	276	200	148	65	141	117	308	156	205	270	190	178	177	116	176	242	120	291	42	171	125	146	118	49	152					
		20.63%	39.36%	20.44%	0.61%	20.39%	20.96%	19.82%	19.27%	21.36%	23.37%	27.89%	19.04%	18.10%	20.03%	19.23%	20.62%	18.35%	20.52%	16.06%	17.72%	17.02%	19.50%	23.45%	24.80%	23.60%	22.33%	21.57%	24.58%	13.78%	18.27%	24.02%	26.75%	21.43%	26.03%	33.37%	20.19%	17.19%	15.30%	21.50%	18.82%	26.92%	25.46%					
																																																
24	Против всех	1259	2	4	38	15	13	16	20	23	15	10	19	18	26	47	61	73	66	73	41	17	13	36	36	23	26	61	17	69	59	20	31	57	16	29	3	40	28	25	34	13	26					
		4.25%	1.06%	1.78%	7.74%	3.22%	2.41%	3.69%	3.82%	4.13%	1.82%	2.63%	2.76%	5.71%	4.41%	4.30%	4.99%	5.95%	4.91%	5.86%	4.91%	4.45%	1.80%	7.21%	2.90%	3.48%	2.83%	4.87%	2.20%	5.34%	6.09%	4.14%	4.71%	5.05%	3.47%	3.33%	1.44%	4.02%	3.43%	3.68%	5.42%	7.14%	4.36%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
