Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Верховажская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198					
		1.31%	1.66%	1.91%	2.10%	0.65%	0.21%	0.51%	0.00%	1.33%	0.65%	1.47%	2.14%	0.55%	2.07%	1.49%	2.29%	2.06%	2.74%	1.09%	1.23%	1.68%	0.00%	0.42%	0.70%	2.02%	0.82%	0.00%	1.28%	0.50%					
19	. Малышкин Олег Александрович	196	22	18	11	3	4	5	0	9	5	0	4	5	3	3	3	10	3	11	8	4	0	9	13	18	4	9	7	5					
		2.14%	2.28%	2.29%	1.65%	0.98%	0.84%	2.53%	0.00%	2.99%	3.23%	0.00%	1.07%	1.37%	1.24%	2.24%	1.15%	10.31%	2.05%	2.00%	3.29%	3.36%	0.00%	3.78%	4.56%	2.60%	3.28%	2.27%	2.98%	1.26%					
20	. Миронов Сергей Михайлович	68	5	8	1	2	2	3	0	3	3	0	5	2	0	2	1	2	0	3	0	1	1	1	4	11	0	2	3	3					
		0.74%	0.52%	1.02%	0.15%	0.65%	0.42%	1.52%	0.00%	1.00%	1.94%	0.00%	1.34%	0.55%	0.00%	1.49%	0.38%	2.06%	0.00%	0.55%	0.00%	0.84%	0.87%	0.42%	1.40%	1.59%	0.00%	0.50%	1.28%	0.76%					
21	. Путин Владимир Владимирович	7475	759	612	541	268	441	159	91	200	105	186	310	323	202	108	231	55	119	454	210	92	98	202	211	521	90	364	180	343					
		81.47%	78.65%	77.76%	80.99%	87.30%	92.65%	80.30%	87.50%	66.45%	67.74%	91.18%	83.11%	88.49%	83.82%	80.60%	88.17%	56.70%	81.51%	82.70%	86.42%	77.31%	85.22%	84.87%	74.04%	75.29%	73.77%	91.69%	76.60%	86.40%					
22	. Хакамада Ирина Муцуовна	178	31	17	17	2	6	4	0	4	9	1	7	7	6	5	7	8	1	16	2	1	2	0	9	9	0	2	3	2					
		1.94%	3.21%	2.16%	2.54%	0.65%	1.26%	2.02%	0.00%	1.33%	5.81%	0.49%	1.88%	1.92%	2.49%	3.73%	2.67%	8.25%	0.68%	2.91%	0.82%	0.84%	1.74%	0.00%	3.16%	1.30%	0.00%	0.50%	1.28%	0.50%					
23	. Харитонов Николай Михайлович	949	101	73	68	27	17	21	12	69	28	12	36	21	22	10	10	20	16	54	18	15	12	24	39	109	22	18	35	40					
		10.34%	10.47%	9.28%	10.18%	8.79%	3.57%	10.61%	11.54%	22.92%	18.06%	5.88%	9.65%	5.75%	9.13%	7.46%	3.82%	20.62%	10.96%	9.84%	7.41%	12.61%	10.43%	10.08%	13.68%	15.75%	18.03%	4.53%	14.89%	10.08%					
																																			
24	Против всех	133	27	30	16	3	4	4	1	9	2	0	3	2	1	3	3	0	3	2	1	4	1	0	5	6	2	0	1	0					
		1.45%	2.80%	3.81%	2.40%	0.98%	0.84%	2.02%	0.96%	2.99%	1.29%	0.00%	0.80%	0.55%	0.41%	2.24%	1.15%	0.00%	2.05%	0.36%	0.41%	3.36%	0.87%	0.00%	1.75%	0.87%	1.64%	0.00%	0.43%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
